WP, 25, 2013100900,   , MIWU, 0, 157N, 1492E,  20, 1005, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Wipha,
WP, 25, 2013100906,   , MIWU, 0, 153N, 1484E,  20, 1005, DB,
WP, 25, 2013100912,   , MIWU, 0, 149N, 1474E,  20, 1004, DB,
WP, 25, 2013100918,   , MIWU, 0, 143N, 1465E,  30,  999, TD,
WP, 25, 2013101000,   , MIWU, 0, 138N, 1458E,  40,  993, TS,
WP, 25, 2013101006,   , MIWU, 0, 135N, 1449E,  40,  992, TS,
WP, 25, 2013101012,   , MIWU, 0, 135N, 1439E,  45,  989, TS,
WP, 25, 2013101018,   , MIWU, 0, 137N, 1430E,  50,  986, TS,
WP, 25, 2013101100,   , MIWU, 0, 140N, 1423E,  55,  983, TS,
WP, 25, 2013101106,   , MIWU, 0, 144N, 1415E,  60,  980, TS,
WP, 25, 2013101112,   , MIWU, 0, 150N, 1407E,  70,  972, TY,
WP, 25, 2013101118,   , MIWU, 0, 156N, 1399E,  70,  970, TY,
WP, 25, 2013101200,   , MIWU, 0, 162N, 1393E,  75,  965, TY,
WP, 25, 2013101206,   , MIWU, 0, 168N, 1387E,  75,  963, TY,
WP, 25, 2013101212,   , MIWU, 0, 175N, 1384E,  80,  958, TY,
WP, 25, 2013101218,   , MIWU, 0, 180N, 1379E,  85,  953, TY,
WP, 25, 2013101300,   , MIWU, 0, 185N, 1375E,  90,  948, TY,
WP, 25, 2013101306,   , MIWU, 0, 192N, 1370E, 105,  933, TY,
WP, 25, 2013101312,   , MIWU, 0, 198N, 1363E, 120,  918, TY,
WP, 25, 2013101318,   , MIWU, 0, 206N, 1359E, 115,  915, TY,
WP, 25, 2013101400,   , MIWU, 0, 217N, 1354E, 105,  920, TY,
WP, 25, 2013101406,   , MIWU, 0, 230N, 1348E, 105,  922, TY,
WP, 25, 2013101412,   , MIWU, 0, 243N, 1343E, 100,  926, TY,
WP, 25, 2013101418,   , MIWU, 0, 257N, 1340E,  95,  930, TY,
WP, 25, 2013101500,   , MIWU, 0, 270N, 1341E,  90,  935, TY,
WP, 25, 2013101506,   , MIWU, 0, 284N, 1346E,  85,  940, TY,
WP, 25, 2013101512,   , MIWU, 0, 304N, 1363E,  85,  943, TY,
WP, 25, 2013101518,   , MIWU, 0, 329N, 1390E,  80,  948, TY,
WP, 25, 2013101600,   , MIWU, 0, 360N, 1420E,  70,  958, TY,
WP, 25, 2013101606,   , MIWU, 0, 400N, 1460E,  70,  960, EX,
WP, 25, 2013101612,   , MIWU, 0, 442N, 1500E,  70,  960, EX,
WP, 25, 2013101618,   , MIWU, 0, 477N, 1543E,  70,  960, EX,
WP, 25, 2013101700,   , MIWU, 0, 503N, 1580E,  65,  964, EX,
WP, 25, 2013101706,   , MIWU, 0, 517N, 1613E,  65,  966, EX,
WP, 25, 2013101712,   , MIWU, 0, 526N, 1648E,  65,  967, EX,
WP, 25, 2013101718,   , MIWU, 0, 534N, 1686E,  60,  970, EX,
WP, 25, 2013101800,   , MIWU, 0, 539N, 1731E,  55,  973, EX,
WP, 25, 2013101806,   , MIWU, 0, 545N, 1777E,  55,  974, EX,
WP, 25, 2013101812,   , MIWU, 0, 548N, 1784W,  50,  977, EX,
WP, 25, 2013101818,   , MIWU, 0, 549N, 1732W,  45,  980, EX,
WP, 25, 2013101900,   , MIWU, 0, 553N, 1675W,  40,  984, EX,
WP, 25, 2013101906,   , MIWU, 0, 560N, 1640W,  35,  988, EX,
WP, 25, 2013101912,   , MIWU, 0, 571N, 1633W,  30,  992, EX,
WP, 25, 2013101918,   , MIWU, 0, 583N, 1634W,  25,  996, EX,
WP, 25, 2013102000,   , MIWU, 0, 596N, 1640W,  20,  999, EX,
WP, 25, 2013102006,   , MIWU, 0, 614N, 1655W,  20, 1000, EX,
WP, 25, 2013102012,   , MIWU, 0, 620N, 1671W,  20, 1000, EX,
WP, 25, 2013102018,   , MIWU, 0, 624N, 1691W,  15, 1003, EX,
WP, 25, 2013102100,   , MIWU, 0, 629N, 1709W,  15, 1004, EX,
