WP, 31, 2013110206,   , MIWU, 0,  62N, 1610E,  20, 1012, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Haiyan,
WP, 31, 2013110212,   , MIWU, 0,  60N, 1602E,  20, 1011, DB,
WP, 31, 2013110218,   , MIWU, 0,  59N, 1589E,  20, 1011, DB,
WP, 31, 2013110300,   , MIWU, 0,  60N, 1575E,  20, 1011, DB,
WP, 31, 2013110306,   , MIWU, 0,  61N, 1560E,  25, 1009, TD,
WP, 31, 2013110312,   , MIWU, 0,  61N, 1544E,  30, 1007, TD,
WP, 31, 2013110318,   , MIWU, 0,  60N, 1530E,  35, 1005, TS,
WP, 31, 2013110400,   , MIWU, 0,  61N, 1516E,  40, 1002, TS,
WP, 31, 2013110406,   , MIWU, 0,  63N, 1502E,  50,  996, TS,
WP, 31, 2013110412,   , MIWU, 0,  64N, 1488E,  60,  990, TS,
WP, 31, 2013110418,   , MIWU, 0,  65N, 1473E,  70,  984, TY,
WP, 31, 2013110500,   , MIWU, 0,  64N, 1458E,  80,  978, TY,
WP, 31, 2013110506,   , MIWU, 0,  64N, 1443E,  95,  966, TY,
WP, 31, 2013110512,   , MIWU, 0,  66N, 1429E, 110,  954, TY,
WP, 31, 2013110518,   , MIWU, 0,  70N, 1414E, 120,  946, TY,
WP, 31, 2013110600,   , MIWU, 0,  74N, 1398E, 125,  942, TY,
WP, 31, 2013110606,   , MIWU, 0,  77N, 1380E, 140,  927, ST,
WP, 31, 2013110612,   , MIWU, 0,  79N, 1362E, 150,  915, ST,
WP, 31, 2013110618,   , MIWU, 0,  82N, 1344E, 155,  909, ST,
WP, 31, 2013110700,   , MIWU, 0,  86N, 1327E, 155,  902, ST,
WP, 31, 2013110706,   , MIWU, 0,  94N, 1310E, 165,  895, ST,
WP, 31, 2013110712,   , MIWU, 0, 101N, 1290E, 185,  884, ST,
WP, 31, 2013110718,   , MIWU, 0, 105N, 1270E, 185,  885, ST,
WP, 31, 2013110723, 13, MIWU, 0, 109N, 1250E, 170,  898, ST,
WP, 31, 2013110800,   , MIWU, 0, 110N, 1248E, 155,  909, ST,
WP, 31, 2013110806,   , MIWU, 0, 115N, 1225E, 130,  919, ST,
WP, 31, 2013110812,   , MIWU, 0, 118N, 1204E, 115,  931, TY,
WP, 31, 2013110818,   , MIWU, 0, 122N, 1181E, 105,  940, TY,
WP, 31, 2013110900,   , MIWU, 0, 125N, 1163E,  90,  955, TY,
WP, 31, 2013110906,   , MIWU, 0, 134N, 1147E,  90,  956, TY,
WP, 31, 2013110912,   , MIWU, 0, 145N, 1130E,  95,  954, TY,
WP, 31, 2013110918,   , MIWU, 0, 156N, 1116E,  95,  954, TY,
WP, 31, 2013111000,   , MIWU, 0, 167N, 1102E,  95,  953, TY,
WP, 31, 2013111003,   , MIWU, 0, 172N, 1097E, 100,  950, TY,
WP, 31, 2013111006,   , MIWU, 0, 180N, 1091E, 100,  951, TY,
WP, 31, 2013111012,   , MIWU, 0, 194N, 1082E,  90,  959, TY,
WP, 31, 2013111018,   , MIWU, 0, 205N, 1077E,  70,  974, TY,
WP, 31, 2013111100,   , MIWU, 0, 218N, 1074E,  60,  982, TS,
WP, 31, 2013111106,   , MIWU, 0, 229N, 1079E,  45,  993, TS,
WP, 31, 2013111112,   , MIWU, 0, 235N, 1085E,  30, 1000, TD,
WP, 31, 2013111118,   , MIWU, 0, 239N, 1093E,  20, 1004, DB,
WP, 31, 2013111200,   , MIWU, 0, 240N, 1101E,  20, 1005, DB,
WP, 31, 2013111206,   , MIWU, 0, 239N, 1111E,  15, 1007, DB,
