CP, 06, 2015092306,   , MIWU, 0, 110N, 1460W,  20, 1008, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Niala,
CP, 06, 2015092312,   , MIWU, 0, 112N, 1465W,  20, 1007, DB,
CP, 06, 2015092318,   , MIWU, 0, 115N, 1469W,  20, 1007, DB,
CP, 06, 2015092400,   , MIWU, 0, 118N, 1473W,  25, 1005, TD,
CP, 06, 2015092406,   , MIWU, 0, 121N, 1478W,  25, 1004, TD,
CP, 06, 2015092412,   , MIWU, 0, 127N, 1481W,  30, 1002, TD,
CP, 06, 2015092418,   , MIWU, 0, 134N, 1485W,  30, 1001, TD,
CP, 06, 2015092500,   , MIWU, 0, 140N, 1490W,  35,  999, TS,
CP, 06, 2015092506,   , MIWU, 0, 145N, 1494W,  40,  997, TS,
CP, 06, 2015092512,   , MIWU, 0, 149N, 1498W,  45,  995, TS,
CP, 06, 2015092518,   , MIWU, 0, 155N, 1501W,  55,  991, TS,
CP, 06, 2015092521,   , MIWU, 0, 157N, 1503W,  65,  987, HU,
CP, 06, 2015092600,   , MIWU, 0, 160N, 1506W,  60,  989, TS,
CP, 06, 2015092606,   , MIWU, 0, 165N, 1510W,  60,  990, TS,
CP, 06, 2015092612,   , MIWU, 0, 169N, 1515W,  55,  992, TS,
CP, 06, 2015092618,   , MIWU, 0, 170N, 1519W,  55,  992, TS,
CP, 06, 2015092700,   , MIWU, 0, 168N, 1524W,  55,  993, TS,
CP, 06, 2015092706,   , MIWU, 0, 164N, 1530W,  50,  995, TS,
CP, 06, 2015092712,   , MIWU, 0, 162N, 1536W,  50,  995, TS,
CP, 06, 2015092718,   , MIWU, 0, 160N, 1542W,  45,  997, TS,
CP, 06, 2015092800,   , MIWU, 0, 158N, 1550W,  40,  999, TS,
CP, 06, 2015092806,   , MIWU, 0, 154N, 1558W,  40, 1000, TS,
CP, 06, 2015092812,   , MIWU, 0, 150N, 1566W,  35, 1002, LO,
CP, 06, 2015092818,   , MIWU, 0, 150N, 1575W,  25, 1006, LO,
CP, 06, 2015092900,   , MIWU, 0, 152N, 1584W,  25, 1007, LO,
CP, 06, 2015092906,   , MIWU, 0, 156N, 1593W,  20, 1009, LO,
CP, 06, 2015092912,   , MIWU, 0, 157N, 1600W,  20, 1010, LO,
CP, 06, 2015092918,   , MIWU, 0, 157N, 1606W,  15, 1012, LO,
CP, 06, 2015093000,   , MIWU, 0, 157N, 1612W,  15, 1013, LO,
