CP, 08, 2015092918,   , MIWU, 0, 116N, 1775W,  15, 1012, LO, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Eight-C,
CP, 08, 2015093000,   , MIWU, 0, 113N, 1772W,  20, 1010, LO,
CP, 08, 2015093006,   , MIWU, 0, 112N, 1769W,  20, 1009, LO,
CP, 08, 2015093012,   , MIWU, 0, 112N, 1765W,  25, 1007, LO,
CP, 08, 2015093018,   , MIWU, 0, 115N, 1761W,  25, 1006, LO,
CP, 08, 2015100100,   , MIWU, 0, 118N, 1755W,  30, 1004, LO,
CP, 08, 2015100106,   , MIWU, 0, 122N, 1748W,  30, 1004, LO,
CP, 08, 2015100112,   , MIWU, 0, 126N, 1741W,  30, 1004, LO,
CP, 08, 2015100118,   , MIWU, 0, 129N, 1735W,  30, 1004, LO,
CP, 08, 2015100200,   , MIWU, 0, 130N, 1730W,  30, 1003, LO,
CP, 08, 2015100206,   , MIWU, 0, 130N, 1727W,  30, 1003, LO,
CP, 08, 2015100212,   , MIWU, 0, 129N, 1725W,  30, 1003, TD,
CP, 08, 2015100218,   , MIWU, 0, 128N, 1722W,  35, 1001, TS,
CP, 08, 2015100300,   , MIWU, 0, 126N, 1719W,  35, 1000, TS,
CP, 08, 2015100306,   , MIWU, 0, 124N, 1716W,  40,  998, TS,
CP, 08, 2015100312,   , MIWU, 0, 122N, 1713W,  40,  997, TS,
CP, 08, 2015100318,   , MIWU, 0, 118N, 1714W,  35,  999, TS,
CP, 08, 2015100400,   , MIWU, 0, 114N, 1717W,  30, 1001, TD,
CP, 08, 2015100406,   , MIWU, 0, 112N, 1720W,  25, 1003, TD,
CP, 08, 2015100412,   , MIWU, 0, 111N, 1722W,  25, 1002, TD,
CP, 08, 2015100418,   , MIWU, 0, 111N, 1725W,  30, 1000, TD,
CP, 08, 2015100500,   , MIWU, 0, 112N, 1730W,  30, 1000, LO,
CP, 08, 2015100506,   , MIWU, 0, 113N, 1738W,  30, 1001, LO,
CP, 08, 2015100512,   , MIWU, 0, 115N, 1745W,  30, 1001, LO,
CP, 08, 2015100518,   , MIWU, 0, 119N, 1752W,  25, 1003, LO,
CP, 08, 2015100600,   , MIWU, 0, 122N, 1760W,  25, 1003, TD,
CP, 08, 2015100606,   , MIWU, 0, 125N, 1774W,  25, 1004, TD,
CP, 08, 2015100612,   , MIWU, 0, 127N, 1790W,  30, 1002, TD,
CP, 08, 2015100618,   , MIWU, 0, 129N, 1790E,  30, 1001, TD,
CP, 08, 2015100700,   , MIWU, 0, 134N, 1770E,  25, 1003, TD,
CP, 08, 2015100706,   , MIWU, 0, 141N, 1751E,  20, 1005, DB,
CP, 08, 2015100712,   , MIWU, 0, 150N, 1736E,  20, 1005, DB,
CP, 08, 2015100718,   , MIWU, 0, 158N, 1725E,  20, 1006, DB,
CP, 08, 2015100800,   , MIWU, 0, 163N, 1717E,  15, 1008, DB,
