CP, 09, 2015122718,   , MIWU, 0,   4N, 1790E,  20, 1005, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Nine-C,
CP, 09, 2015122800,   , MIWU, 0,   5N, 1799W,  20, 1005, DB,
CP, 09, 2015122806,   , MIWU, 0,   5N, 1790W,  20, 1005, DB,
CP, 09, 2015122812,   , MIWU, 0,   5N, 1783W,  20, 1005, DB,
CP, 09, 2015122818,   , MIWU, 0,   6N, 1776W,  20, 1004, DB,
CP, 09, 2015122900,   , MIWU, 0,   8N, 1770W,  20, 1004, DB,
CP, 09, 2015122906,   , MIWU, 0,  10N, 1764W,  20, 1004, DB,
CP, 09, 2015122912,   , MIWU, 0,  12N, 1761W,  25, 1002, TD,
CP, 09, 2015122918,   , MIWU, 0,  13N, 1759W,  25, 1001, TD,
CP, 09, 2015123000,   , MIWU, 0,  15N, 1758W,  25, 1001, TD,
CP, 09, 2015123006,   , MIWU, 0,  17N, 1758W,  30,  999, TD,
CP, 09, 2015123012,   , MIWU, 0,  20N, 1758W,  30,  998, TD,
CP, 09, 2015123018,   , MIWU, 0,  22N, 1758W,  35,  996, TS,
CP, 09, 2015123100,   , MIWU, 0,  23N, 1759W,  35,  996, TS,
CP, 09, 2015123106,   , MIWU, 0,  23N, 1760W,  35,  997, TS,
CP, 09, 2015123112,   , MIWU, 0,  22N, 1762W,  35,  997, TS,
CP, 09, 2015123118,   , MIWU, 0,  22N, 1765W,  30,  999, TD,
CP, 09, 2016010100,   , MIWU, 0,  23N, 1770W,  25, 1001, LO,
CP, 09, 2016010106,   , MIWU, 0,  25N, 1777W,  20, 1003, LO,
CP, 09, 2016010112,   , MIWU, 0,  27N, 1784W,  20, 1004, LO,
CP, 09, 2016010118,   , MIWU, 0,  29N, 1790W,  20, 1004, LO,
CP, 09, 2016010200,   , MIWU, 0,  32N, 1795W,  15, 1006, LO,
