EP, 01, 2015052706,   , MIWU, 0,  85N, 1052W,  20, 1009, DB,  0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Andres,
EP, 01, 2015052712,   , MIWU, 0,  88N, 1060W,  20, 1009, DB,
EP, 01, 2015052718,   , MIWU, 0,  94N, 1071W,  20, 1008, DB,
EP, 01, 2015052800,   , MIWU, 0, 100N, 1083W,  25, 1006, TD,
EP, 01, 2015052806,   , MIWU, 0, 107N, 1096W,  35, 1002, TS,
EP, 01, 2015052812,   , MIWU, 0, 112N, 1109W,  45,  998, TS,
EP, 01, 2015052818,   , MIWU, 0, 115N, 1119W,  55,  994, TS,
EP, 01, 2015052900,   , MIWU, 0, 117N, 1129W,  60,  991, TS,
EP, 01, 2015052906,   , MIWU, 0, 119N, 1136W,  60,  990, TS,
EP, 01, 2015052912,   , MIWU, 0, 122N, 1141W,  65,  986, HU,
EP, 01, 2015052918,   , MIWU, 0, 126N, 1146W,  70,  982, HU,
EP, 01, 2015053000,   , MIWU, 0, 132N, 1150W,  80,  974, HU,
EP, 01, 2015053006,   , MIWU, 0, 137N, 1153W,  85,  970, HU,
EP, 01, 2015053012,   , MIWU, 0, 140N, 1157W,  90,  964, HU,
EP, 01, 2015053018,   , MIWU, 0, 145N, 1161W, 100,  959, HU,
EP, 01, 2015053100,   , MIWU, 0, 150N, 1165W, 100,  958, HU,
EP, 01, 2015053106,   , MIWU, 0, 153N, 1171W,  90,  962, HU,
EP, 01, 2015053112,   , MIWU, 0, 154N, 1178W,  90,  961, HU,
EP, 01, 2015053118,   , MIWU, 0, 153N, 1184W, 100,  955, HU,
EP, 01, 2015060100,   , MIWU, 0, 153N, 1191W, 110,  949, HU,
EP, 01, 2015060106,   , MIWU, 0, 154N, 1196W, 120,  943, HU,
EP, 01, 2015060112,   , MIWU, 0, 156N, 1200W, 125,  941, HU,
EP, 01, 2015060118,   , MIWU, 0, 158N, 1205W, 115,  947, HU,
EP, 01, 2015060200,   , MIWU, 0, 163N, 1211W, 105,  953, HU,
EP, 01, 2015060206,   , MIWU, 0, 170N, 1217W,  95,  960, HU,
EP, 01, 2015060212,   , MIWU, 0, 176N, 1226W,  85,  968, HU,
EP, 01, 2015060218,   , MIWU, 0, 180N, 1234W,  80,  972, HU,
EP, 01, 2015060300,   , MIWU, 0, 185N, 1242W,  75,  976, HU,
EP, 01, 2015060306,   , MIWU, 0, 191N, 1247W,  65,  984, HU,
EP, 01, 2015060312,   , MIWU, 0, 195N, 1251W,  55,  990, TS,
EP, 01, 2015060318,   , MIWU, 0, 198N, 1253W,  45,  996, TS,
EP, 01, 2015060400,   , MIWU, 0, 201N, 1252W,  40,  998, TS,
EP, 01, 2015060406,   , MIWU, 0, 200N, 1250W,  40,  998, TS,
EP, 01, 2015060412,   , MIWU, 0, 200N, 1247W,  35, 1000, LO,
EP, 01, 2015060418,   , MIWU, 0, 200N, 1244W,  35, 1001, LO,
EP, 01, 2015060500,   , MIWU, 0, 198N, 1240W,  30, 1003, LO,
EP, 01, 2015060506,   , MIWU, 0, 196N, 1234W,  30, 1004, LO,
EP, 01, 2015060512,   , MIWU, 0, 195N, 1228W,  30, 1004, LO,
EP, 01, 2015060518,   , MIWU, 0, 194N, 1223W,  25, 1006, LO,
EP, 01, 2015060600,   , MIWU, 0, 193N, 1218W,  25, 1007, LO,
EP, 01, 2015060606,   , MIWU, 0, 194N, 1213W,  20, 1009, LO,
EP, 01, 2015060612,   , MIWU, 0, 192N, 1208W,  20, 1009, LO,
EP, 01, 2015060618,   , MIWU, 0, 189N, 1203W,  15, 1011, LO,
EP, 01, 2015060700,   , MIWU, 0, 185N, 1200W,  15, 1012, LO,
EP, 01, 2015060706,   , MIWU, 0, 182N, 1197W,  15, 1012, LO,
