EP, 02, 2015053100,   , MIWU, 0, 117N, 1009W,  20, 1010, DB,  0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Blanca,
EP, 02, 2015053106,   , MIWU, 0, 118N, 1015W,  20, 1010, DB,
EP, 02, 2015053112,   , MIWU, 0, 120N, 1021W,  25, 1008, TD,
EP, 02, 2015053118,   , MIWU, 0, 121N, 1026W,  25, 1008, TD,
EP, 02, 2015060100,   , MIWU, 0, 124N, 1030W,  30, 1006, TD,
EP, 02, 2015060106,   , MIWU, 0, 127N, 1033W,  35, 1004, TS,
EP, 02, 2015060112,   , MIWU, 0, 129N, 1034W,  40, 1002, TS,
EP, 02, 2015060118,   , MIWU, 0, 130N, 1037W,  45,  999, TS,
EP, 02, 2015060200,   , MIWU, 0, 130N, 1039W,  45,  998, TS,
EP, 02, 2015060206,   , MIWU, 0, 130N, 1040W,  50,  995, TS,
EP, 02, 2015060212,   , MIWU, 0, 129N, 1042W,  55,  992, TS,
EP, 02, 2015060218,   , MIWU, 0, 128N, 1044W,  60,  989, TS,
EP, 02, 2015060300,   , MIWU, 0, 126N, 1045W,  70,  983, HU,
EP, 02, 2015060306,   , MIWU, 0, 124N, 1044W,  95,  964, HU,
EP, 02, 2015060312,   , MIWU, 0, 123N, 1044W, 115,  952, HU,
EP, 02, 2015060318,   , MIWU, 0, 122N, 1045W, 115,  951, HU,
EP, 02, 2015060400,   , MIWU, 0, 121N, 1046W, 105,  953, HU,
EP, 02, 2015060406,   , MIWU, 0, 119N, 1047W,  95,  959, HU,
EP, 02, 2015060412,   , MIWU, 0, 120N, 1048W,  80,  970, HU,
EP, 02, 2015060418,   , MIWU, 0, 124N, 1049W,  65,  982, HU,
EP, 02, 2015060500,   , MIWU, 0, 132N, 1053W,  70,  980, HU,
EP, 02, 2015060506,   , MIWU, 0, 140N, 1059W,  70,  979, HU,
EP, 02, 2015060512,   , MIWU, 0, 146N, 1065W,  75,  976, HU,
EP, 02, 2015060518,   , MIWU, 0, 152N, 1073W,  80,  973, HU,
EP, 02, 2015060600,   , MIWU, 0, 158N, 1080W,  90,  966, HU,
EP, 02, 2015060606,   , MIWU, 0, 163N, 1086W, 100,  958, HU,
EP, 02, 2015060612,   , MIWU, 0, 171N, 1092W, 100,  954, HU,
EP, 02, 2015060618,   , MIWU, 0, 178N, 1097W,  95,  953, HU,
EP, 02, 2015060700,   , MIWU, 0, 185N, 1102W,  85,  959, HU,
EP, 02, 2015060706,   , MIWU, 0, 193N, 1106W,  80,  962, HU,
EP, 02, 2015060712,   , MIWU, 0, 200N, 1108W,  70,  970, HU,
EP, 02, 2015060718,   , MIWU, 0, 207N, 1109W,  60,  978, TS,
EP, 02, 2015060800,   , MIWU, 0, 216N, 1112W,  55,  982, TS,
EP, 02, 2015060806,   , MIWU, 0, 234N, 1115W,  45,  990, TS,
EP, 02, 2015060812,   , MIWU, 0, 250N, 1120W,  40,  993, TS,
EP, 02, 2015060818,   , MIWU, 0, 261N, 1125W,  35,  996, LO,
EP, 02, 2015060900,   , MIWU, 0, 273N, 1132W,  25, 1002, LO,
EP, 02, 2015060906,   , MIWU, 0, 281N, 1140W,  20, 1005, LO,
EP, 02, 2015060912,   , MIWU, 0, 287N, 1145W,  15, 1007, LO,
EP, 02, 2015060918,   , MIWU, 0, 291N, 1148W,  15, 1008, LO,
