EP, 04, 2015070612,   , MIWU, 0, 115N, 1310W,  20, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Ela,
EP, 04, 2015070618,   , MIWU, 0, 119N, 1325W,  20, 1007, DB,
EP, 04, 2015070700,   , MIWU, 0, 123N, 1340W,  20, 1006, DB,
EP, 04, 2015070706,   , MIWU, 0, 127N, 1355W,  20, 1006, DB,
EP, 04, 2015070712,   , MIWU, 0, 132N, 1369W,  25, 1006, TD,
EP, 04, 2015070718,   , MIWU, 0, 142N, 1382W,  25, 1005, TD,
EP, 04, 2015070800,   , MIWU, 0, 154N, 1395W,  30, 1003, TD,
EP, 04, 2015070806,   , MIWU, 0, 162N, 1405W,  30, 1003, TD,
EP, 04, 2015070812,   , MIWU, 0, 168N, 1419W,  30, 1002, TD,
EP, 04, 2015070818,   , MIWU, 0, 173N, 1433W,  30, 1002, TD,
EP, 04, 2015070900,   , MIWU, 0, 180N, 1442W,  35, 1000, TS,
EP, 04, 2015070906,   , MIWU, 0, 189N, 1448W,  35, 1000, TS,
EP, 04, 2015070912,   , MIWU, 0, 198N, 1456W,  35, 1000, TS,
EP, 04, 2015070918,   , MIWU, 0, 204N, 1462W,  35, 1000, TS,
EP, 04, 2015071000,   , MIWU, 0, 210N, 1470W,  35, 1001, TS,
EP, 04, 2015071006,   , MIWU, 0, 216N, 1479W,  35, 1001, TS,
EP, 04, 2015071012,   , MIWU, 0, 219N, 1486W,  35, 1001, LO,
EP, 04, 2015071018,   , MIWU, 0, 220N, 1492W,  30, 1003, LO,
EP, 04, 2015071100,   , MIWU, 0, 221N, 1499W,  30, 1004, LO,
EP, 04, 2015071106,   , MIWU, 0, 224N, 1506W,  25, 1006, LO,
EP, 04, 2015071112,   , MIWU, 0, 226N, 1514W,  25, 1007, LO,
EP, 04, 2015071118,   , MIWU, 0, 229N, 1524W,  20, 1009, LO,
EP, 04, 2015071200,   , MIWU, 0, 230N, 1535W,  20, 1010, LO,
EP, 04, 2015071206,   , MIWU, 0, 229N, 1547W,  15, 1012, LO,
EP, 04, 2015071212,   , MIWU, 0, 227N, 1559W,  15, 1013, LO,
EP, 04, 2015071218,   , MIWU, 0, 226N, 1572W,  15, 1013, LO,
EP, 04, 2015071300,   , MIWU, 0, 226N, 1586W,  15, 1013, LO,
