EP, 11, 2015081418,   , MIWU, 0, 150N, 1087W,  20, 1006, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Eleven-E,
EP, 11, 2015081500,   , MIWU, 0, 152N, 1093W,  20, 1006, DB,
EP, 11, 2015081506,   , MIWU, 0, 154N, 1100W,  20, 1005, DB,
EP, 11, 2015081512,   , MIWU, 0, 158N, 1109W,  20, 1005, DB,
EP, 11, 2015081518,   , MIWU, 0, 161N, 1119W,  25, 1003, TD,
EP, 11, 2015081600,   , MIWU, 0, 166N, 1130W,  25, 1002, TD,
EP, 11, 2015081606,   , MIWU, 0, 174N, 1140W,  30, 1000, TD,
EP, 11, 2015081612,   , MIWU, 0, 180N, 1152W,  30, 1000, TD,
EP, 11, 2015081618,   , MIWU, 0, 185N, 1166W,  30, 1000, TD,
EP, 11, 2015081700,   , MIWU, 0, 192N, 1180W,  30,  999, TD,
EP, 11, 2015081706,   , MIWU, 0, 200N, 1194W,  30,  999, TD,
EP, 11, 2015081712,   , MIWU, 0, 212N, 1208W,  30,  999, TD,
EP, 11, 2015081718,   , MIWU, 0, 226N, 1220W,  30,  999, TD,
EP, 11, 2015081800,   , MIWU, 0, 240N, 1237W,  25, 1001, LO,
EP, 11, 2015081806,   , MIWU, 0, 249N, 1250W,  25, 1001, LO,
EP, 11, 2015081812,   , MIWU, 0, 254N, 1260W,  25, 1002, LO,
EP, 11, 2015081818,   , MIWU, 0, 260N, 1270W,  20, 1004, LO,
EP, 11, 2015081900,   , MIWU, 0, 265N, 1283W,  20, 1004, LO,
EP, 11, 2015081906,   , MIWU, 0, 272N, 1296W,  20, 1005, LO,
EP, 11, 2015081912,   , MIWU, 0, 280N, 1306W,  20, 1005, LO,
EP, 11, 2015081918,   , MIWU, 0, 287N, 1315W,  15, 1007, LO,
EP, 11, 2015082000,   , MIWU, 0, 293N, 1323W,  15, 1008, LO,
EP, 11, 2015082006,   , MIWU, 0, 295N, 1328W,  15, 1008, LO,
EP, 11, 2015082012,   , MIWU, 0, 296N, 1332W,  15, 1008, LO,
