EP, 21, 2015111806,   , MIWU, 0, 130N, 1078W,  20, 1009, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Rick,
EP, 21, 2015111812,   , MIWU, 0, 128N, 1075W,  20, 1009, DB,
EP, 21, 2015111818,   , MIWU, 0, 125N, 1072W,  20, 1009, DB,
EP, 21, 2015111900,   , MIWU, 0, 126N, 1069W,  20, 1009, DB,
EP, 21, 2015111906,   , MIWU, 0, 130N, 1066W,  20, 1008, DB,
EP, 21, 2015111912,   , MIWU, 0, 136N, 1067W,  25, 1006, TD,
EP, 21, 2015111918,   , MIWU, 0, 144N, 1070W,  30, 1004, TD,
EP, 21, 2015112000,   , MIWU, 0, 152N, 1079W,  30, 1003, TD,
EP, 21, 2015112006,   , MIWU, 0, 158N, 1090W,  35, 1001, TS,
EP, 21, 2015112012,   , MIWU, 0, 160N, 1100W,  35, 1001, TS,
EP, 21, 2015112018,   , MIWU, 0, 161N, 1111W,  35, 1001, TS,
EP, 21, 2015112100,   , MIWU, 0, 164N, 1122W,  35, 1001, TS,
EP, 21, 2015112106,   , MIWU, 0, 167N, 1134W,  35, 1002, TS,
EP, 21, 2015112112,   , MIWU, 0, 169N, 1145W,  35, 1002, TS,
EP, 21, 2015112118,   , MIWU, 0, 169N, 1155W,  35, 1002, TS,
EP, 21, 2015112200,   , MIWU, 0, 168N, 1165W,  30, 1004, TD,
EP, 21, 2015112206,   , MIWU, 0, 170N, 1174W,  30, 1004, TD,
EP, 21, 2015112212,   , MIWU, 0, 174N, 1181W,  30, 1005, TD,
EP, 21, 2015112218,   , MIWU, 0, 179N, 1189W,  30, 1005, TD,
EP, 21, 2015112300,   , MIWU, 0, 183N, 1194W,  25, 1007, LO,
EP, 21, 2015112306,   , MIWU, 0, 190N, 1200W,  25, 1008, LO,
EP, 21, 2015112312,   , MIWU, 0, 197N, 1207W,  20, 1010, LO,
EP, 21, 2015112318,   , MIWU, 0, 202N, 1212W,  20, 1010, LO,
EP, 21, 2015112400,   , MIWU, 0, 207N, 1218W,  20, 1010, LO,
EP, 21, 2015112406,   , MIWU, 0, 210N, 1224W,  20, 1011, LO,
EP, 21, 2015112412,   , MIWU, 0, 213N, 1231W,  20, 1011, LO,
EP, 21, 2015112418,   , MIWU, 0, 215N, 1236W,  20, 1011, LO,
EP, 21, 2015112500,   , MIWU, 0, 216N, 1240W,  20, 1011, LO,
EP, 21, 2015112506,   , MIWU, 0, 216N, 1243W,  20, 1011, LO,
EP, 21, 2015112512,   , MIWU, 0, 214N, 1245W,  15, 1013, LO,
EP, 21, 2015112518,   , MIWU, 0, 211N, 1248W,  15, 1013, LO,
EP, 21, 2015112600,   , MIWU, 0, 206N, 1252W,  15, 1014, LO,
EP, 21, 2015112606,   , MIWU, 0, 200N, 1258W,  15, 1014, LO,
