WP, 07, 2015050512,   , MIWU, 0,  42N, 1554E,  20, 1005, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Dolphin,
WP, 07, 2015050518,   , MIWU, 0,  43N, 1557E,  20, 1005, DB,
WP, 07, 2015050600,   , MIWU, 0,  43N, 1562E,  20, 1004, DB,
WP, 07, 2015050606,   , MIWU, 0,  41N, 1570E,  20, 1004, DB,
WP, 07, 2015050612,   , MIWU, 0,  40N, 1580E,  25, 1002, TD,
WP, 07, 2015050618,   , MIWU, 0,  40N, 1588E,  25, 1002, TD,
WP, 07, 2015050700,   , MIWU, 0,  38N, 1595E,  25, 1001, TD,
WP, 07, 2015050706,   , MIWU, 0,  37N, 1602E,  30,  999, TD,
WP, 07, 2015050712,   , MIWU, 0,  37N, 1607E,  30,  999, TD,
WP, 07, 2015050718,   , MIWU, 0,  37N, 1613E,  30,  998, TD,
WP, 07, 2015050800,   , MIWU, 0,  37N, 1618E,  30,  998, TD,
WP, 07, 2015050806,   , MIWU, 0,  38N, 1622E,  30,  998, TD,
WP, 07, 2015050812,   , MIWU, 0,  40N, 1625E,  35,  996, TS,
WP, 07, 2015050818,   , MIWU, 0,  43N, 1625E,  35,  996, TS,
WP, 07, 2015050900,   , MIWU, 0,  46N, 1625E,  35,  995, TS,
WP, 07, 2015050906,   , MIWU, 0,  49N, 1624E,  40,  993, TS,
WP, 07, 2015050912,   , MIWU, 0,  53N, 1621E,  40,  993, TS,
WP, 07, 2015050918,   , MIWU, 0,  57N, 1615E,  40,  992, TS,
WP, 07, 2015051000,   , MIWU, 0,  62N, 1606E,  40,  992, TS,
WP, 07, 2015051006,   , MIWU, 0,  68N, 1601E,  45,  989, TS,
WP, 07, 2015051012,   , MIWU, 0,  75N, 1600E,  45,  989, TS,
WP, 07, 2015051018,   , MIWU, 0,  85N, 1600E,  45,  988, TS,
WP, 07, 2015051100,   , MIWU, 0,  95N, 1600E,  45,  988, TS,
WP, 07, 2015051106,   , MIWU, 0, 100N, 1599E,  40,  990, TS,
WP, 07, 2015051112,   , MIWU, 0, 102N, 1596E,  40,  991, TS,
WP, 07, 2015051118,   , MIWU, 0, 103N, 1592E,  45,  989, TS,
WP, 07, 2015051200,   , MIWU, 0, 103N, 1587E,  45,  988, TS,
WP, 07, 2015051206,   , MIWU, 0, 101N, 1581E,  50,  985, TS,
WP, 07, 2015051212,   , MIWU, 0, 100N, 1573E,  55,  982, TS,
WP, 07, 2015051218,   , MIWU, 0, 100N, 1566E,  60,  979, TS,
WP, 07, 2015051300,   , MIWU, 0, 101N, 1560E,  70,  973, TY,
WP, 07, 2015051306,   , MIWU, 0, 102N, 1552E,  85,  962, TY,
WP, 07, 2015051312,   , MIWU, 0, 105N, 1542E,  95,  954, TY,
WP, 07, 2015051318,   , MIWU, 0, 110N, 1534E,  90,  956, TY,
WP, 07, 2015051400,   , MIWU, 0, 116N, 1522E,  85,  958, TY,
WP, 07, 2015051406,   , MIWU, 0, 120N, 1510E,  85,  958, TY,
WP, 07, 2015051412,   , MIWU, 0, 124N, 1498E,  85,  957, TY,
WP, 07, 2015051418,   , MIWU, 0, 128N, 1485E,  90,  955, TY,
WP, 07, 2015051500,   , MIWU, 0, 132N, 1469E,  90,  954, TY,
WP, 07, 2015051506,   , MIWU, 0, 136N, 1455E,  95,  950, TY,
WP, 07, 2015051512,   , MIWU, 0, 140N, 1445E, 105,  940, TY,
WP, 07, 2015051518,   , MIWU, 0, 146N, 1434E, 115,  930, TY,
WP, 07, 2015051600,   , MIWU, 0, 152N, 1423E, 125,  920, TY,
WP, 07, 2015051606,   , MIWU, 0, 159N, 1414E, 140,  905, ST,
WP, 07, 2015051612,   , MIWU, 0, 165N, 1405E, 135,  905, ST,
WP, 07, 2015051618,   , MIWU, 0, 172N, 1397E, 130,  908, ST,
WP, 07, 2015051700,   , MIWU, 0, 179N, 1390E, 120,  916, TY,
WP, 07, 2015051706,   , MIWU, 0, 186N, 1386E, 115,  920, TY,
WP, 07, 2015051712,   , MIWU, 0, 194N, 1384E, 120,  920, TY,
WP, 07, 2015051718,   , MIWU, 0, 202N, 1383E, 120,  920, TY,
WP, 07, 2015051800,   , MIWU, 0, 209N, 1382E, 105,  932, TY,
WP, 07, 2015051806,   , MIWU, 0, 216N, 1383E,  90,  944, TY,
WP, 07, 2015051812,   , MIWU, 0, 224N, 1385E,  85,  948, TY,
WP, 07, 2015051818,   , MIWU, 0, 233N, 1388E,  80,  952, TY,
WP, 07, 2015051900,   , MIWU, 0, 239N, 1393E,  70,  960, TY,
WP, 07, 2015051906,   , MIWU, 0, 245N, 1400E,  65,  964, TY,
WP, 07, 2015051912,   , MIWU, 0, 255N, 1410E,  65,  966, TY,
WP, 07, 2015051918,   , MIWU, 0, 267N, 1422E,  65,  966, TY,
WP, 07, 2015052000,   , MIWU, 0, 283N, 1437E,  65,  964, TY,
WP, 07, 2015052006,   , MIWU, 0, 303N, 1460E,  60,  968, TS,
WP, 07, 2015052012,   , MIWU, 0, 330N, 1490E,  55,  972, EX,
WP, 07, 2015052018,   , MIWU, 0, 362N, 1523E,  55,  972, EX,
WP, 07, 2015052100,   , MIWU, 0, 398N, 1563E,  55,  974, EX,
WP, 07, 2015052106,   , MIWU, 0, 434N, 1604E,  50,  978, EX,
WP, 07, 2015052112,   , MIWU, 0, 476N, 1650E,  50,  980, EX,
WP, 07, 2015052118,   , MIWU, 0, 500N, 1680E,  50,  980, EX,
WP, 07, 2015052200,   , MIWU, 0, 530N, 1710E,  50,  980, EX,
WP, 07, 2015052206,   , MIWU, 0, 550N, 1723E,  45,  984, EX,
WP, 07, 2015052212,   , MIWU, 0, 563N, 1727E,  45,  986, EX,
WP, 07, 2015052218,   , MIWU, 0, 565N, 1728E,  40,  990, EX,
WP, 07, 2015052300,   , MIWU, 0, 564N, 1730E,  40,  990, EX,
WP, 07, 2015052306,   , MIWU, 0, 562N, 1732E,  40,  992, EX,
WP, 07, 2015052312,   , MIWU, 0, 559N, 1745E,  35,  994, EX,
WP, 07, 2015052318,   , MIWU, 0, 555N, 1766E,  35,  995, EX,
WP, 07, 2015052400,   , MIWU, 0, 552N, 1785E,  30,  997, EX,
WP, 07, 2015052406,   , MIWU, 0, 552N, 1796W,  30,  998, EX,
WP, 07, 2015052412,   , MIWU, 0, 553N, 1776W,  25, 1000, EX,
