WP, 09, 2015062906,   , MIWU, 0,  86N, 1615E,  20, 1006, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Chan-hom,
WP, 09, 2015062912,   , MIWU, 0,  88N, 1615E,  20, 1005, DB,
WP, 09, 2015062918,   , MIWU, 0,  92N, 1614E,  25, 1003, TD,
WP, 09, 2015063000,   , MIWU, 0,  96N, 1611E,  30, 1001, TD,
WP, 09, 2015063006,   , MIWU, 0, 100N, 1606E,  30, 1000, TD,
WP, 09, 2015063012,   , MIWU, 0, 102N, 1600E,  35,  998, TS,
WP, 09, 2015063018,   , MIWU, 0, 105N, 1594E,  40,  996, TS,
WP, 09, 2015070100,   , MIWU, 0, 108N, 1588E,  40,  995, TS,
WP, 09, 2015070106,   , MIWU, 0, 110N, 1580E,  40,  995, TS,
WP, 09, 2015070112,   , MIWU, 0, 112N, 1568E,  45,  992, TS,
WP, 09, 2015070118,   , MIWU, 0, 113N, 1552E,  45,  991, TS,
WP, 09, 2015070200,   , MIWU, 0, 113N, 1525E,  45,  991, TS,
WP, 09, 2015070206,   , MIWU, 0, 110N, 1504E,  50,  988, TS,
WP, 09, 2015070212,   , MIWU, 0, 103N, 1492E,  55,  985, TS,
WP, 09, 2015070218,   , MIWU, 0, 103N, 1486E,  50,  987, TS,
WP, 09, 2015070300,   , MIWU, 0, 104N, 1483E,  45,  989, TS,
WP, 09, 2015070306,   , MIWU, 0, 107N, 1485E,  40,  991, TS,
WP, 09, 2015070312,   , MIWU, 0, 112N, 1488E,  40,  991, TS,
WP, 09, 2015070318,   , MIWU, 0, 118N, 1487E,  40,  990, TS,
WP, 09, 2015070400,   , MIWU, 0, 125N, 1482E,  40,  990, TS,
WP, 09, 2015070406,   , MIWU, 0, 132N, 1470E,  45,  987, TS,
WP, 09, 2015070412,   , MIWU, 0, 136N, 1461E,  45,  986, TS,
WP, 09, 2015070418,   , MIWU, 0, 139N, 1455E,  50,  983, TS,
WP, 09, 2015070500,   , MIWU, 0, 140N, 1450E,  50,  983, TS,
WP, 09, 2015070506,   , MIWU, 0, 143N, 1448E,  50,  982, TS,
WP, 09, 2015070512,   , MIWU, 0, 150N, 1444E,  55,  979, TS,
WP, 09, 2015070518,   , MIWU, 0, 157N, 1434E,  55,  979, TS,
WP, 09, 2015070600,   , MIWU, 0, 164N, 1424E,  60,  976, TS,
WP, 09, 2015070606,   , MIWU, 0, 170N, 1410E,  65,  972, TY,
WP, 09, 2015070612,   , MIWU, 0, 175N, 1398E,  70,  968, TY,
WP, 09, 2015070618,   , MIWU, 0, 179N, 1387E,  75,  964, TY,
WP, 09, 2015070700,   , MIWU, 0, 180N, 1376E,  80,  960, TY,
WP, 09, 2015070706,   , MIWU, 0, 182N, 1365E,  80,  958, TY,
WP, 09, 2015070712,   , MIWU, 0, 185N, 1355E,  80,  956, TY,
WP, 09, 2015070718,   , MIWU, 0, 190N, 1345E,  85,  952, TY,
WP, 09, 2015070800,   , MIWU, 0, 196N, 1335E,  85,  950, TY,
WP, 09, 2015070806,   , MIWU, 0, 204N, 1326E,  90,  946, TY,
WP, 09, 2015070812,   , MIWU, 0, 210N, 1317E,  90,  944, TY,
WP, 09, 2015070818,   , MIWU, 0, 217N, 1306E,  90,  944, TY,
WP, 09, 2015070900,   , MIWU, 0, 224N, 1296E,  90,  944, TY,
WP, 09, 2015070906,   , MIWU, 0, 232N, 1286E,  95,  940, TY,
WP, 09, 2015070912,   , MIWU, 0, 242N, 1276E, 105,  932, TY,
WP, 09, 2015070918,   , MIWU, 0, 250N, 1265E, 115,  924, TY,
WP, 09, 2015071000,   , MIWU, 0, 256N, 1255E, 120,  920, TY,
WP, 09, 2015071006,   , MIWU, 0, 265N, 1246E, 120,  920, TY,
WP, 09, 2015071012,   , MIWU, 0, 273N, 1239E, 105,  926, TY,
WP, 09, 2015071018,   , MIWU, 0, 279N, 1232E,  90,  935, TY,
WP, 09, 2015071100,   , MIWU, 0, 286N, 1226E,  80,  942, TY,
WP, 09, 2015071106,   , MIWU, 0, 295N, 1223E,  70,  950, TY,
WP, 09, 2015071112,   , MIWU, 0, 304N, 1225E,  60,  960, TS,
WP, 09, 2015071118,   , MIWU, 0, 317N, 1230E,  55,  965, TS,
WP, 09, 2015071200,   , MIWU, 0, 335N, 1236E,  50,  970, TS,
WP, 09, 2015071206,   , MIWU, 0, 350N, 1242E,  45,  975, TS,
WP, 09, 2015071212,   , MIWU, 0, 369N, 1248E,  40,  980, TS,
WP, 09, 2015071218,   , MIWU, 0, 385N, 1255E,  35,  985, EX,
WP, 09, 2015071300,   , MIWU, 0, 400N, 1263E,  30,  989, EX,
WP, 09, 2015071306,   , MIWU, 0, 410N, 1274E,  20,  995, EX,
