WP, 18, 2015090512,   , MIWU, 0, 182N, 1405E,  20, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Etau,
WP, 18, 2015090518,   , MIWU, 0, 190N, 1401E,  20, 1010, DB,
WP, 18, 2015090600,   , MIWU, 0, 198N, 1398E,  25, 1008, TD,
WP, 18, 2015090606,   , MIWU, 0, 206N, 1394E,  30, 1006, TD,
WP, 18, 2015090612,   , MIWU, 0, 215N, 1391E,  35, 1004, TS,
WP, 18, 2015090618,   , MIWU, 0, 223N, 1388E,  35, 1003, TS,
WP, 18, 2015090700,   , MIWU, 0, 230N, 1385E,  40, 1001, TS,
WP, 18, 2015090706,   , MIWU, 0, 239N, 1382E,  45,  999, TS,
WP, 18, 2015090712,   , MIWU, 0, 250N, 1381E,  50,  996, TS,
WP, 18, 2015090718,   , MIWU, 0, 263N, 1380E,  60,  990, TS,
WP, 18, 2015090800,   , MIWU, 0, 277N, 1380E,  65,  987, TY,
WP, 18, 2015090806,   , MIWU, 0, 295N, 1381E,  70,  984, TY,
WP, 18, 2015090812,   , MIWU, 0, 315N, 1382E,  70,  983, TY,
WP, 18, 2015090818,   , MIWU, 0, 334N, 1380E,  60,  987, TS,
WP, 18, 2015090900,   , MIWU, 0, 350N, 1371E,  50,  991, TS,
WP, 18, 2015090906,   , MIWU, 0, 368N, 1361E,  45,  993, EX,
WP, 18, 2015090912,   , MIWU, 0, 380N, 1352E,  45,  993, EX,
WP, 18, 2015090918,   , MIWU, 0, 391N, 1344E,  45,  994, EX,
WP, 18, 2015091000,   , MIWU, 0, 396N, 1344E,  45,  994, EX,
WP, 18, 2015091006,   , MIWU, 0, 399N, 1346E,  45,  994, EX,
WP, 18, 2015091012,   , MIWU, 0, 400N, 1352E,  40,  996, EX,
WP, 18, 2015091018,   , MIWU, 0, 401N, 1360E,  40,  997, EX,
WP, 18, 2015091100,   , MIWU, 0, 402N, 1366E,  35,  999, EX,
WP, 18, 2015091106,   , MIWU, 0, 404N, 1373E,  35, 1000, EX,
WP, 18, 2015091112,   , MIWU, 0, 408N, 1381E,  30, 1002, EX,
WP, 18, 2015091118,   , MIWU, 0, 416N, 1390E,  25, 1004, EX,
WP, 18, 2015091200,   , MIWU, 0, 430N, 1400E,  20, 1006, EX,
