WP, 20, 2015091318,   , MIWU, 0, 139N, 1523E,  20, 1009, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Krovanh,
WP, 20, 2015091400,   , MIWU, 0, 146N, 1524E,  20, 1009, DB,
WP, 20, 2015091406,   , MIWU, 0, 154N, 1527E,  20, 1008, DB,
WP, 20, 2015091412,   , MIWU, 0, 162N, 1526E,  25, 1006, TD,
WP, 20, 2015091418,   , MIWU, 0, 170N, 1523E,  30, 1004, TD,
WP, 20, 2015091500,   , MIWU, 0, 177N, 1517E,  35, 1002, TS,
WP, 20, 2015091506,   , MIWU, 0, 180N, 1508E,  40, 1000, TS,
WP, 20, 2015091512,   , MIWU, 0, 182N, 1499E,  40,  999, TS,
WP, 20, 2015091518,   , MIWU, 0, 186N, 1490E,  45,  996, TS,
WP, 20, 2015091600,   , MIWU, 0, 193N, 1483E,  50,  993, TS,
WP, 20, 2015091606,   , MIWU, 0, 198N, 1473E,  60,  987, TS,
WP, 20, 2015091612,   , MIWU, 0, 200N, 1463E,  65,  984, TY,
WP, 20, 2015091618,   , MIWU, 0, 204N, 1455E,  70,  980, TY,
WP, 20, 2015091700,   , MIWU, 0, 210N, 1448E,  80,  972, TY,
WP, 20, 2015091706,   , MIWU, 0, 217N, 1441E,  95,  960, TY,
WP, 20, 2015091712,   , MIWU, 0, 222N, 1434E, 105,  952, TY,
WP, 20, 2015091718,   , MIWU, 0, 230N, 1428E, 105,  950, TY,
WP, 20, 2015091800,   , MIWU, 0, 237N, 1424E, 100,  952, TY,
WP, 20, 2015091806,   , MIWU, 0, 245N, 1423E,  95,  954, TY,
WP, 20, 2015091812,   , MIWU, 0, 255N, 1424E,  85,  958, TY,
WP, 20, 2015091818,   , MIWU, 0, 266N, 1427E,  90,  956, TY,
WP, 20, 2015091900,   , MIWU, 0, 276N, 1434E,  90,  957, TY,
WP, 20, 2015091906,   , MIWU, 0, 287N, 1442E,  80,  963, TY,
WP, 20, 2015091912,   , MIWU, 0, 296N, 1450E,  70,  969, TY,
WP, 20, 2015091918,   , MIWU, 0, 304N, 1459E,  60,  975, TS,
WP, 20, 2015092000,   , MIWU, 0, 313N, 1470E,  55,  978, TS,
WP, 20, 2015092006,   , MIWU, 0, 324N, 1482E,  50,  981, TS,
WP, 20, 2015092012,   , MIWU, 0, 336N, 1495E,  50,  982, TS,
WP, 20, 2015092018,   , MIWU, 0, 348N, 1504E,  55,  980, TS,
WP, 20, 2015092100,   , MIWU, 0, 358N, 1511E,  55,  981, EX,
WP, 20, 2015092106,   , MIWU, 0, 364N, 1518E,  55,  981, EX,
WP, 20, 2015092112,   , MIWU, 0, 369N, 1522E,  50,  984, EX,
WP, 20, 2015092118,   , MIWU, 0, 377N, 1526E,  45,  987, EX,
WP, 20, 2015092200,   , MIWU, 0, 390N, 1532E,  45,  986, EX,
WP, 20, 2015092206,   , MIWU, 0, 404N, 1540E,  50,  984, EX,
WP, 20, 2015092212,   , MIWU, 0, 420N, 1545E,  55,  982, EX,
WP, 20, 2015092218,   , MIWU, 0, 427N, 1545E,  55,  982, EX,
WP, 20, 2015092300,   , MIWU, 0, 423N, 1542E,  55,  983, EX,
WP, 20, 2015092306,   , MIWU, 0, 412N, 1548E,  50,  986, EX,
WP, 20, 2015092312,   , MIWU, 0, 403N, 1557E,  40,  992, EX,
WP, 20, 2015092318,   , MIWU, 0, 398N, 1572E,  30,  996, EX,
WP, 20, 2015092400,   , MIWU, 0, 397N, 1589E,  25,  998, EX,
WP, 20, 2015092406,   , MIWU, 0, 398N, 1604E,  30,  996, EX,
WP, 20, 2015092412,   , MIWU, 0, 401N, 1623E,  25,  998, EX,
WP, 20, 2015092418,   , MIWU, 0, 405N, 1643E,  25,  998, EX,
WP, 20, 2015092500,   , MIWU, 0, 411N, 1655E,  25,  999, EX,
WP, 20, 2015092506,   , MIWU, 0, 420N, 1668E,  25,  999, EX,
WP, 20, 2015092512,   , MIWU, 0, 427N, 1680E,  20, 1001, EX,
WP, 20, 2015092518,   , MIWU, 0, 433N, 1697E,  20, 1001, EX,
WP, 20, 2015092600,   , MIWU, 0, 438N, 1714E,  20, 1002, EX,
WP, 20, 2015092606,   , MIWU, 0, 445N, 1732E,  20, 1002, EX,
WP, 20, 2015092612,   , MIWU, 0, 452N, 1754E,  20, 1002, EX,
WP, 20, 2015092618,   , MIWU, 0, 462N, 1778E,  15, 1004, EX,
WP, 20, 2015092700,   , MIWU, 0, 475N, 1800E,  15, 1005, EX,
