WP, 27, 2015111518,   , MIWU, 0,  42N, 1705E,  20, 1009, WV, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, In-fa,
WP, 27, 2015111600,   , MIWU, 0,  40N, 1690E,  20, 1008, WV,
WP, 27, 2015111606,   , MIWU, 0,  39N, 1675E,  25, 1005, WV,
WP, 27, 2015111612,   , MIWU, 0,  39N, 1658E,  30, 1002, WV,
WP, 27, 2015111618,   , MIWU, 0,  40N, 1642E,  35, 1000, WV,
WP, 27, 2015111700,   , MIWU, 0,  42N, 1626E,  40,  998, WV,
WP, 27, 2015111706,   , MIWU, 0,  45N, 1612E,  45,  995, TS,
WP, 27, 2015111712,   , MIWU, 0,  49N, 1598E,  50,  992, TS,
WP, 27, 2015111718,   , MIWU, 0,  53N, 1584E,  55,  989, TS,
WP, 27, 2015111800,   , MIWU, 0,  56N, 1570E,  60,  986, TS,
WP, 27, 2015111806,   , MIWU, 0,  60N, 1558E,  70,  980, TY,
WP, 27, 2015111812,   , MIWU, 0,  64N, 1545E,  65,  982, TY,
WP, 27, 2015111818,   , MIWU, 0,  72N, 1536E,  50,  988, TS,
WP, 27, 2015111900,   , MIWU, 0,  81N, 1526E,  55,  985, TS,
WP, 27, 2015111906,   , MIWU, 0,  87N, 1514E,  65,  978, TY,
WP, 27, 2015111912,   , MIWU, 0,  93N, 1504E,  75,  970, TY,
WP, 27, 2015111918,   , MIWU, 0,  97N, 1494E,  85,  962, TY,
WP, 27, 2015112000,   , MIWU, 0, 100N, 1485E,  95,  954, TY,
WP, 27, 2015112006,   , MIWU, 0, 103N, 1473E, 105,  946, TY,
WP, 27, 2015112012,   , MIWU, 0, 106N, 1458E, 110,  942, TY,
WP, 27, 2015112018,   , MIWU, 0, 108N, 1443E, 120,  936, TY,
WP, 27, 2015112100,   , MIWU, 0, 112N, 1428E, 125,  933, TY,
WP, 27, 2015112106,   , MIWU, 0, 118N, 1413E, 120,  936, TY,
WP, 27, 2015112112,   , MIWU, 0, 123N, 1397E, 110,  942, TY,
WP, 27, 2015112118,   , MIWU, 0, 128N, 1380E, 100,  948, TY,
WP, 27, 2015112200,   , MIWU, 0, 135N, 1364E,  90,  954, TY,
WP, 27, 2015112206,   , MIWU, 0, 141N, 1350E,  85,  957, TY,
WP, 27, 2015112212,   , MIWU, 0, 146N, 1338E,  85,  956, TY,
WP, 27, 2015112218,   , MIWU, 0, 152N, 1326E,  95,  952, TY,
WP, 27, 2015112300,   , MIWU, 0, 159N, 1320E, 100,  950, TY,
WP, 27, 2015112306,   , MIWU, 0, 165N, 1317E, 100,  949, TY,
WP, 27, 2015112312,   , MIWU, 0, 170N, 1317E,  95,  952, TY,
WP, 27, 2015112318,   , MIWU, 0, 176N, 1318E,  90,  955, TY,
WP, 27, 2015112400,   , MIWU, 0, 182N, 1321E,  80,  962, TY,
WP, 27, 2015112406,   , MIWU, 0, 187N, 1328E,  75,  966, TY,
WP, 27, 2015112412,   , MIWU, 0, 190N, 1335E,  65,  974, TY,
WP, 27, 2015112418,   , MIWU, 0, 192N, 1343E,  60,  978, TS,
WP, 27, 2015112500,   , MIWU, 0, 195N, 1351E,  55,  982, TS,
WP, 27, 2015112506,   , MIWU, 0, 200N, 1360E,  50,  986, TS,
WP, 27, 2015112512,   , MIWU, 0, 208N, 1369E,  45,  990, TS,
WP, 27, 2015112518,   , MIWU, 0, 217N, 1377E,  45,  991, SS,
WP, 27, 2015112600,   , MIWU, 0, 226N, 1386E,  40,  994, SS,
WP, 27, 2015112606,   , MIWU, 0, 236N, 1398E,  40,  995, SS,
WP, 27, 2015112612,   , MIWU, 0, 252N, 1420E,  40,  995, SS,
WP, 27, 2015112618,   , MIWU, 0, 268N, 1443E,  35,  998, EX,
WP, 27, 2015112700,   , MIWU, 0, 283N, 1475E,  30, 1001, EX,
WP, 27, 2015112706,   , MIWU, 0, 297N, 1508E,  25, 1004, EX,
