WP, 28, 2015121000,   , MIWU, 0,  69N, 1456E,  20, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Melor,
WP, 28, 2015121006,   , MIWU, 0,  71N, 1439E,  20, 1010, DB,
WP, 28, 2015121012,   , MIWU, 0,  76N, 1425E,  25, 1008, TD,
WP, 28, 2015121018,   , MIWU, 0,  80N, 1410E,  30, 1006, TD,
WP, 28, 2015121100,   , MIWU, 0,  85N, 1396E,  35, 1004, TS,
WP, 28, 2015121106,   , MIWU, 0,  90N, 1380E,  40, 1002, TS,
WP, 28, 2015121112,   , MIWU, 0,  95N, 1367E,  40, 1001, TS,
WP, 28, 2015121118,   , MIWU, 0,  99N, 1354E,  45,  998, TS,
WP, 28, 2015121200,   , MIWU, 0, 102N, 1344E,  50,  995, TS,
WP, 28, 2015121206,   , MIWU, 0, 106N, 1334E,  55,  992, TS,
WP, 28, 2015121212,   , MIWU, 0, 111N, 1324E,  70,  980, TY,
WP, 28, 2015121218,   , MIWU, 0, 114N, 1312E,  85,  968, TY,
WP, 28, 2015121300,   , MIWU, 0, 118N, 1302E, 100,  956, TY,
WP, 28, 2015121306,   , MIWU, 0, 121N, 1290E, 105,  953, TY,
WP, 28, 2015121312,   , MIWU, 0, 122N, 1279E, 110,  950, TY,
WP, 28, 2015121318,   , MIWU, 0, 123N, 1268E, 115,  947, TY,
WP, 28, 2015121400,   , MIWU, 0, 125N, 1256E, 120,  944, TY,
WP, 28, 2015121403,   , MIWU, 0, 126N, 1251E, 125,  941, TY,
WP, 28, 2015121406,   , MIWU, 0, 127N, 1246E, 115,  946, TY,
WP, 28, 2015121412,   , MIWU, 0, 128N, 1236E, 105,  952, TY,
WP, 28, 2015121418,   , MIWU, 0, 129N, 1227E, 105,  952, TY,
WP, 28, 2015121421,   , MIWU, 0, 130N, 1222E, 115,  948, TY,
WP, 28, 2015121500,   , MIWU, 0, 131N, 1217E, 125,  942, TY,
WP, 28, 2015121506,   , MIWU, 0, 133N, 1211E, 105,  954, TY,
WP, 28, 2015121512,   , MIWU, 0, 137N, 1205E,  90,  964, TY,
WP, 28, 2015121518,   , MIWU, 0, 141N, 1203E,  75,  976, TY,
WP, 28, 2015121600,   , MIWU, 0, 144N, 1202E,  65,  982, TY,
WP, 28, 2015121603,   , MIWU, 0, 144N, 1203E,  55,  988, TS,
WP, 28, 2015121606,   , MIWU, 0, 142N, 1204E,  50,  991, TS,
WP, 28, 2015121612,   , MIWU, 0, 139N, 1204E,  40,  997, TS,
WP, 28, 2015121618,   , MIWU, 0, 134N, 1203E,  30, 1003, LO,
WP, 28, 2015121700,   , MIWU, 0, 127N, 1200E,  20, 1009, LO,
WP, 28, 2015121706,   , MIWU, 0, 117N, 1195E,  15, 1012, LO,
