WP, 04, 2016072118,   , MIWU, 0, 240N, 1480E,  20, 1006, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Lupit,
WP, 04, 2016072200,   , MIWU, 0, 240N, 1491E,  20, 1005, DB,
WP, 04, 2016072206,   , MIWU, 0, 240N, 1501E,  25, 1003, TD,
WP, 04, 2016072212,   , MIWU, 0, 241N, 1511E,  30, 1001, TD,
WP, 04, 2016072218,   , MIWU, 0, 245N, 1521E,  35,  998, TS,
WP, 04, 2016072300,   , MIWU, 0, 255N, 1532E,  35,  997, TS,
WP, 04, 2016072306,   , MIWU, 0, 265N, 1545E,  40,  994, TS,
WP, 04, 2016072312,   , MIWU, 0, 277N, 1556E,  45,  991, TS,                                                                                                                                                                      
WP, 04, 2016072318,   , MIWU, 0, 290N, 1569E,  50,  988, TS,
WP, 04, 2016072400,   , MIWU, 0, 306N, 1582E,  55,  985, TS,
WP, 04, 2016072406,   , MIWU, 0, 331N, 1591E,  55,  984, TS,
WP, 04, 2016072412,   , MIWU, 0, 353N, 1595E,  50,  986, TS,
WP, 04, 2016072418,   , MIWU, 0, 375N, 1594E,  45,  988, EX,
WP, 04, 2016072500,   , MIWU, 0, 405N, 1591E,  35,  994, EX,
WP, 04, 2016072506,   , MIWU, 0, 439N, 1574E,  30,  998, EX,
WP, 04, 2016072512,   , MIWU, 0, 457N, 1561E,  30, 1000, EX,
WP, 04, 2016072518,   , MIWU, 0, 468N, 1550E,  25, 1004, EX,
WP, 04, 2016072600,   , MIWU, 0, 474N, 1540E,  20, 1008, EX,
