WP, 05, 2016072418,   , MIWU, 0, 170N, 1185E,  20, 1011, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Mirinae,
WP, 05, 2016072500,   , MIWU, 0, 170N, 1172E,  20, 1010, DB,
WP, 05, 2016072506,   , MIWU, 0, 170N, 1159E,  25, 1008, TD,
WP, 05, 2016072512,   , MIWU, 0, 171N, 1148E,  30, 1006, TD,
WP, 05, 2016072518,   , MIWU, 0, 174N, 1140E,  35, 1003, TS,
WP, 05, 2016072600,   , MIWU, 0, 179N, 1130E,  40, 1000, TS,
WP, 05, 2016072606,   , MIWU, 0, 185N, 1121E,  45,  997, TS,
WP, 05, 2016072612,   , MIWU, 0, 188N, 1110E,  45,  995, TS,
WP, 05, 2016072615,   , MIWU, 0, 189N, 1105E,  45,  994, TS,
WP, 05, 2016072618,   , MIWU, 0, 190N, 1099E,  40,  996, TS,
WP, 05, 2016072700,   , MIWU, 0, 194N, 1086E,  45,  993, TS,
WP, 05, 2016072706,   , MIWU, 0, 198N, 1076E,  50,  990, TS,
WP, 05, 2016072712,   , MIWU, 0, 199N, 1068E,  55,  988, TS,
WP, 05, 2016072715,   , MIWU, 0, 200N, 1065E,  65,  984, TY,
WP, 05, 2016072718,   , MIWU, 0, 202N, 1061E,  65,  983, TY,
WP, 05, 2016072800,   , MIWU, 0, 206N, 1057E,  55,  989, TS,
WP, 05, 2016072806,   , MIWU, 0, 215N, 1052E,  40,  997, TS,
WP, 05, 2016072812,   , MIWU, 0, 226N, 1048E,  30, 1002, TD,
WP, 05, 2016072818,   , MIWU, 0, 233N, 1045E,  20, 1006, DB,
WP, 05, 2016072900,   , MIWU, 0, 236N, 1043E,  15, 1008, DB,
WP, 05, 2016072906,   , MIWU, 0, 239N, 1042E,  15, 1009, DB,
