WP, 06, 2016072800,   , MIWU, 0, 115N, 1302E,  20, 1006, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Nida,
WP, 06, 2016072806,   , MIWU, 0, 112N, 1295E,  20, 1006, DB,
WP, 06, 2016072812,   , MIWU, 0, 111N, 1290E,  20, 1005, DB,
WP, 06, 2016072818,   , MIWU, 0, 111N, 1286E,  25, 1003, TD,
WP, 06, 2016072900,   , MIWU, 0, 112N, 1281E,  25, 1002, TD,
WP, 06, 2016072906,   , MIWU, 0, 116N, 1275E,  30, 1000, TD,
WP, 06, 2016072912,   , MIWU, 0, 121N, 1271E,  30, 1000, TD,
WP, 06, 2016072918,   , MIWU, 0, 128N, 1269E,  35,  998, TS,
WP, 06, 2016073000,   , MIWU, 0, 139N, 1267E,  35,  997, TS,
WP, 06, 2016073006,   , MIWU, 0, 152N, 1261E,  40,  994, TS,
WP, 06, 2016073012,   , MIWU, 0, 161N, 1248E,  45,  991, TS,
WP, 06, 2016073018,   , MIWU, 0, 166N, 1239E,  50,  988, TS,
WP, 06, 2016073100,   , MIWU, 0, 175N, 1230E,  55,  985, TS,
WP, 06, 2016073106,   , MIWU, 0, 180N, 1222E,  55,  984, TS,
WP, 06, 2016073112,   , MIWU, 0, 185N, 1211E,  60,  981, TS,
WP, 06, 2016073118,   , MIWU, 0, 194N, 1200E,  60,  980, TS,
WP, 06, 2016080100,   , MIWU, 0, 202N, 1188E,  65,  976, TY,
WP, 06, 2016080106,   , MIWU, 0, 214N, 1175E,  70,  972, TY,
WP, 06, 2016080112,   , MIWU, 0, 219N, 1162E,  75,  968, TY,
WP, 06, 2016080118,   , MIWU, 0, 224N, 1147E,  65,  974, TY,
WP, 06, 2016080120,   , MIWU, 0, 224N, 1142E,  60,  977, TS,
WP, 06, 2016080200,   , MIWU, 0, 226N, 1134E,  55,  980, TS,
WP, 06, 2016080206,   , MIWU, 0, 235N, 1120E,  45,  988, TS,
WP, 06, 2016080212,   , MIWU, 0, 244N, 1110E,  35,  995, TS,
WP, 06, 2016080218,   , MIWU, 0, 248N, 1101E,  30,  998, TD,
WP, 06, 2016080300,   , MIWU, 0, 250N, 1092E,  20, 1002, DB,
WP, 06, 2016080306,   , MIWU, 0, 254N, 1084E,  20, 1003, DB,
WP, 06, 2016080312,   , MIWU, 0, 260N, 1077E,  15, 1005, DB,
WP, 06, 2016080318,   , MIWU, 0, 265N, 1071E,  15, 1005, DB,
WP, 06, 2016080400,   , MIWU, 0, 269N, 1065E,  15, 1006, DB,
