WP, 07, 2016080200,   , MIWU, 0, 165N, 1502E,  20, 1003, LO, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Omais,
WP, 07, 2016080206,   , MIWU, 0, 165N, 1496E,  20, 1003, LO,
WP, 07, 2016080212,   , MIWU, 0, 165N, 1490E,  20, 1002, LO,
WP, 07, 2016080218,   , MIWU, 0, 166N, 1485E,  20, 1002, LO,
WP, 07, 2016080300,   , MIWU, 0, 169N, 1481E,  25, 1000, LO,
WP, 07, 2016080306,   , MIWU, 0, 174N, 1480E,  25,  999, LO,
WP, 07, 2016080312,   , MIWU, 0, 179N, 1482E,  30,  997, LO,
WP, 07, 2016080318,   , MIWU, 0, 182N, 1484E,  35,  995, LO,
WP, 07, 2016080400,   , MIWU, 0, 185N, 1487E,  40,  993, LO,
WP, 07, 2016080406,   , MIWU, 0, 189N, 1487E,  40,  992, LO,
WP, 07, 2016080412,   , MIWU, 0, 193N, 1486E,  45,  988, TS,
WP, 07, 2016080418,   , MIWU, 0, 198N, 1482E,  45,  986, TS,
WP, 07, 2016080500,   , MIWU, 0, 206N, 1480E,  50,  982, TS,
WP, 07, 2016080506,   , MIWU, 0, 214N, 1478E,  55,  978, TS,
WP, 07, 2016080512,   , MIWU, 0, 224N, 1477E,  60,  974, TS,
WP, 07, 2016080518,   , MIWU, 0, 233N, 1478E,  65,  970, TY,
WP, 07, 2016080600,   , MIWU, 0, 241N, 1478E,  65,  968, TY,
WP, 07, 2016080606,   , MIWU, 0, 252N, 1478E,  70,  964, TY,
WP, 07, 2016080612,   , MIWU, 0, 265N, 1477E,  60,  968, TS,
WP, 07, 2016080618,   , MIWU, 0, 277N, 1472E,  55,  970, TS,
WP, 07, 2016080700,   , MIWU, 0, 289N, 1467E,  55,  972, TS,
WP, 07, 2016080706,   , MIWU, 0, 300N, 1463E,  60,  970, TS,
WP, 07, 2016080712,   , MIWU, 0, 310N, 1455E,  60,  970, TS,
WP, 07, 2016080718,   , MIWU, 0, 322N, 1448E,  60,  969, TS,
WP, 07, 2016080800,   , MIWU, 0, 335N, 1444E,  60,  969, TS,
WP, 07, 2016080806,   , MIWU, 0, 347N, 1443E,  60,  969, TS,
WP, 07, 2016080812,   , MIWU, 0, 358N, 1445E,  55,  971, TS,
WP, 07, 2016080818,   , MIWU, 0, 370N, 1450E,  50,  974, TS,
WP, 07, 2016080900,   , MIWU, 0, 380N, 1458E,  45,  977, TS,
WP, 07, 2016080906,   , MIWU, 0, 398N, 1470E,  45,  978, TS,
WP, 07, 2016080912,   , MIWU, 0, 422N, 1487E,  45,  978, EX,
WP, 07, 2016080918,   , MIWU, 0, 438N, 1505E,  45,  978, EX,
WP, 07, 2016081000,   , MIWU, 0, 459N, 1528E,  45,  978, EX,
WP, 07, 2016081006,   , MIWU, 0, 480N, 1564E,  50,  975, EX,
WP, 07, 2016081012,   , MIWU, 0, 497N, 1599E,  55,  972, EX,
WP, 07, 2016081018,   , MIWU, 0, 505N, 1631E,  55,  970, EX,
WP, 07, 2016081100,   , MIWU, 0, 520N, 1672E,  55,  968, EX,
WP, 07, 2016081106,   , MIWU, 0, 540N, 1702E,  50,  968, EX,
WP, 07, 2016081112,   , MIWU, 0, 554N, 1730E,  45,  971, EX,
WP, 07, 2016081118,   , MIWU, 0, 558N, 1746E,  45,  973, EX,
WP, 07, 2016081200,   , MIWU, 0, 561N, 1766E,  45,  973, EX,
WP, 07, 2016081206,   , MIWU, 0, 563N, 1794W,  45,  973, EX,
WP, 07, 2016081212,   , MIWU, 0, 565N, 1755W,  40,  976, EX,
WP, 07, 2016081218,   , MIWU, 0, 565N, 1720W,  40,  976, EX,
WP, 07, 2016081300,   , MIWU, 0, 564N, 1688W,  40,  976, EX,
WP, 07, 2016081306,   , MIWU, 0, 561N, 1670W,  40,  975, EX,
WP, 07, 2016081312,   , MIWU, 0, 554N, 1652W,  40,  975, EX,
WP, 07, 2016081318,   , MIWU, 0, 548N, 1630W,  35,  978, EX,
WP, 07, 2016081400,   , MIWU, 0, 544N, 1605W,  35,  980, EX,
WP, 07, 2016081406,   , MIWU, 0, 546N, 1575W,  30,  984, EX,
WP, 07, 2016081412,   , MIWU, 0, 550N, 1541W,  30,  986, EX,
WP, 07, 2016081418,   , MIWU, 0, 553N, 1511W,  30,  988, EX,
WP, 07, 2016081500,   , MIWU, 0, 555N, 1502W,  25,  992, EX,
WP, 07, 2016081506,   , MIWU, 0, 558N, 1500W,  25,  994, EX,
WP, 07, 2016081512,   , MIWU, 0, 562N, 1498W,  25,  995, EX,
WP, 07, 2016081518,   , MIWU, 0, 566N, 1495W,  25,  995, EX,
WP, 07, 2016081600,   , MIWU, 0, 572N, 1494W,  20,  997, EX,
WP, 07, 2016081606,   , MIWU, 0, 580N, 1495W,  20,  998, EX,
WP, 07, 2016081612,   , MIWU, 0, 588N, 1493W,  20,  998, EX,
