WP, 15, 2016083018,   , MIWU, 0, 207N, 1230E,  20, 1008, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Namtheun,
WP, 15, 2016083100,   , MIWU, 0, 210N, 1237E,  20, 1007, DB,
WP, 15, 2016083106,   , MIWU, 0, 214N, 1246E,  25, 1005, TD,
WP, 15, 2016083112,   , MIWU, 0, 222N, 1257E,  30, 1003, TD,
WP, 15, 2016083118,   , MIWU, 0, 232N, 1268E,  40,  999, TS,
WP, 15, 2016090100,   , MIWU, 0, 240N, 1280E,  55,  993, TS,
WP, 15, 2016090106,   , MIWU, 0, 245N, 1290E,  65,  989, TY,
WP, 15, 2016090112,   , MIWU, 0, 251N, 1301E,  70,  986, TY,
WP, 15, 2016090118,   , MIWU, 0, 257N, 1306E,  85,  977, TY,
WP, 15, 2016090200,   , MIWU, 0, 264N, 1307E,  95,  971, TY,
WP, 15, 2016090206,   , MIWU, 0, 272N, 1307E, 105,  965, TY,
WP, 15, 2016090212,   , MIWU, 0, 278N, 1307E, 100,  967, TY,
WP, 15, 2016090218,   , MIWU, 0, 285N, 1306E,  95,  969, TY,
WP, 15, 2016090300,   , MIWU, 0, 293N, 1302E,  90,  971, TY,
WP, 15, 2016090306,   , MIWU, 0, 301N, 1300E,  85,  974, TY,
WP, 15, 2016090312,   , MIWU, 0, 307N, 1299E,  75,  980, TY,
WP, 15, 2016090318,   , MIWU, 0, 311N, 1298E,  65,  986, TY,
WP, 15, 2016090400,   , MIWU, 0, 315N, 1297E,  55,  992, TS,
WP, 15, 2016090406,   , MIWU, 0, 320N, 1296E,  50,  995, TS,
WP, 15, 2016090412,   , MIWU, 0, 326N, 1298E,  40, 1001, TS,
WP, 15, 2016090418,   , MIWU, 0, 333N, 1301E,  30, 1007, TD,
WP, 15, 2016090500,   , MIWU, 0, 342N, 1307E,  25, 1010, EX,
WP, 15, 2016090506,   , MIWU, 0, 353N, 1314E,  20, 1012, EX,
WP, 15, 2016090512,   , MIWU, 0, 367N, 1330E,  20, 1013, EX,
