WP, 26, 2016103118,   , MIWU, 0, 110N, 1430E,  20, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Meari,
WP, 26, 2016110100,   , MIWU, 0, 112N, 1422E,  20, 1007, DB,
WP, 26, 2016110106,   , MIWU, 0, 115N, 1411E,  20, 1007, DB,
WP, 26, 2016110112,   , MIWU, 0, 119N, 1400E,  20, 1006, DB,
WP, 26, 2016110118,   , MIWU, 0, 122N, 1390E,  20, 1006, DB,
WP, 26, 2016110200,   , MIWU, 0, 125N, 1383E,  25, 1004, TD,
WP, 26, 2016110206,   , MIWU, 0, 127N, 1380E,  25, 1004, TD,
WP, 26, 2016110212,   , MIWU, 0, 130N, 1378E,  25, 1003, TD,
WP, 26, 2016110218,   , MIWU, 0, 132N, 1377E,  30, 1001, TD,
WP, 26, 2016110300,   , MIWU, 0, 133N, 1378E,  35,  998, TS,
WP, 26, 2016110306,   , MIWU, 0, 135N, 1380E,  35,  997, TS,
WP, 26, 2016110312,   , MIWU, 0, 139N, 1382E,  35,  997, TS,
WP, 26, 2016110318,   , MIWU, 0, 142N, 1385E,  40,  994, TS,
WP, 26, 2016110400,   , MIWU, 0, 147N, 1388E,  45,  990, TS,
WP, 26, 2016110406,   , MIWU, 0, 153N, 1392E,  55,  982, TS,
WP, 26, 2016110412,   , MIWU, 0, 160N, 1395E,  60,  978, TS,
WP, 26, 2016110418,   , MIWU, 0, 167N, 1399E,  70,  970, TY,
WP, 26, 2016110500,   , MIWU, 0, 173N, 1400E,  75,  967, TY,
WP, 26, 2016110506,   , MIWU, 0, 177N, 1404E,  85,  961, TY,
WP, 26, 2016110512,   , MIWU, 0, 180N, 1410E,  90,  958, TY,
WP, 26, 2016110518,   , MIWU, 0, 188N, 1419E,  90,  957, TY,
WP, 26, 2016110600,   , MIWU, 0, 196N, 1428E,  95,  955, TY,
WP, 26, 2016110606,   , MIWU, 0, 207N, 1439E,  95,  954, TY,
WP, 26, 2016110612,   , MIWU, 0, 222N, 1450E,  90,  956, TY,
WP, 26, 2016110618,   , MIWU, 0, 240N, 1460E,  80,  960, TY,
WP, 26, 2016110700,   , MIWU, 0, 271N, 1470E,  75,  963, TY,
WP, 26, 2016110706,   , MIWU, 0, 284N, 1476E,  70,  966, EX,
WP, 26, 2016110712,   , MIWU, 0, 286N, 1480E,  65,  969, EX,
WP, 26, 2016110718,   , MIWU, 0, 294N, 1491E,  55,  976, EX,
WP, 26, 2016110800,   , MIWU, 0, 310N, 1510E,  45,  984, EX,
WP, 26, 2016110806,   , MIWU, 0, 316N, 1523E,  35,  991, EX,
WP, 26, 2016110812,   , MIWU, 0, 328N, 1547E,  35,  991, EX,
WP, 26, 2016110818,   , MIWU, 0, 346N, 1576E,  30,  993, EX,
WP, 26, 2016110900,   , MIWU, 0, 366N, 1611E,  30,  994, EX,
WP, 26, 2016110906,   , MIWU, 0, 376N, 1629E,  25,  996, EX,
WP, 26, 2016110912,   , MIWU, 0, 385N, 1640E,  20,  998, EX,
WP, 26, 2016110918,   , MIWU, 0, 392N, 1650E,  15, 1000, EX,
