WP, 71, 2016082206,   , MIWU, 0, 184N, 1501E,  15, 1005, LO, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Unnamed-02,
WP, 71, 2016082212,   , MIWU, 0, 191N, 1491E,  20, 1003, LO,
WP, 71, 2016082218,   , MIWU, 0, 200N, 1486E,  20, 1003, LO,
WP, 71, 2016082300,   , MIWU, 0, 212N, 1484E,  20, 1002, LO,
WP, 71, 2016082306,   , MIWU, 0, 225N, 1489E,  25, 1000, TD,
WP, 71, 2016082312,   , MIWU, 0, 240N, 1490E,  30,  998, TD,
WP, 71, 2016082318,   , MIWU, 0, 253N, 1488E,  35,  996, TS,
WP, 71, 2016082400,   , MIWU, 0, 266N, 1485E,  40,  994, TS,
WP, 71, 2016082406,   , MIWU, 0, 273N, 1482E,  40,  994, TS,
WP, 71, 2016082412,   , MIWU, 0, 277N, 1480E,  40,  995, TS,
WP, 71, 2016082418,   , MIWU, 0, 281N, 1482E,  35,  997, TS,
WP, 71, 2016082500,   , MIWU, 0, 286N, 1488E,  35,  997, TS,
WP, 71, 2016082506,   , MIWU, 0, 292N, 1496E,  35,  996, LO,
WP, 71, 2016082512,   , MIWU, 0, 296N, 1505E,  30,  996, LO,
WP, 71, 2016082518,   , MIWU, 0, 300N, 1513E,  30,  996, LO,
WP, 71, 2016082600,   , MIWU, 0, 302N, 1520E,  30,  996, LO,
WP, 71, 2016082606,   , MIWU, 0, 302N, 1525E,  25,  998, LO,
WP, 71, 2016082612,   , MIWU, 0, 301N, 1528E,  25,  998, LO,
WP, 71, 2016082618,   , MIWU, 0, 300N, 1530E,  25,  999, LO,
WP, 71, 2016082700,   , MIWU, 0, 302N, 1533E,  20, 1001, LO,
WP, 71, 2016082706,   , MIWU, 0, 306N, 1538E,  20, 1002, LO,
WP, 71, 2016082712,   , MIWU, 0, 310N, 1542E,  15, 1004, LO,
