WP, 05, 2017063012,   , MIWU, 0, 139N, 1354E,  15, 1014, WV, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Nanmadol,
WP, 05, 2017063018,   , MIWU, 0, 145N, 1340E,  15, 1013, WV,
WP, 05, 2017070100,   , MIWU, 0, 155N, 1326E,  20, 1011, WV,
WP, 05, 2017070106,   , MIWU, 0, 169N, 1310E,  25, 1009, WV,
WP, 05, 2017070112,   , MIWU, 0, 182N, 1295E,  30, 1007, WV,
WP, 05, 2017070118,   , MIWU, 0, 195N, 1282E,  35, 1005, TS,
WP, 05, 2017070200,   , MIWU, 0, 208N, 1269E,  40, 1003, TS,
WP, 05, 2017070206,   , MIWU, 0, 221N, 1255E,  45, 1001, TS,
WP, 05, 2017070212,   , MIWU, 0, 236N, 1246E,  55,  995, TS,
WP, 05, 2017070218,   , MIWU, 0, 248N, 1240E,  60,  992, TS,
WP, 05, 2017070300,   , MIWU, 0, 262N, 1242E,  65,  989, TY,
WP, 05, 2017070306,   , MIWU, 0, 278N, 1249E,  75,  983, TY,
WP, 05, 2017070312,   , MIWU, 0, 296N, 1263E,  70,  985, TY,
WP, 05, 2017070318,   , MIWU, 0, 314N, 1279E,  60,  989, TS,
WP, 05, 2017070400,   , MIWU, 0, 326N, 1304E,  55,  990, TS,
WP, 05, 2017070406,   , MIWU, 0, 336N, 1345E,  55,  990, TS,
WP, 05, 2017070412,   , MIWU, 0, 344N, 1386E,  50,  990, TS,
WP, 05, 2017070418,   , MIWU, 0, 354N, 1423E,  50,  990, TS,
WP, 05, 2017070500,   , MIWU, 0, 360N, 1460E,  50,  990, TS,
WP, 05, 2017070506,   , MIWU, 0, 366N, 1502E,  50,  989, EX,
WP, 05, 2017070512,   , MIWU, 0, 377N, 1551E,  50,  989, EX,
WP, 05, 2017070518,   , MIWU, 0, 400N, 1606E,  50,  990, EX,
WP, 05, 2017070600,   , MIWU, 0, 432N, 1658E,  50,  990, EX,
WP, 05, 2017070606,   , MIWU, 0, 465N, 1700E,  45,  992, EX,
WP, 05, 2017070612,   , MIWU, 0, 497N, 1710E,  45,  992, EX,
WP, 05, 2017070618,   , MIWU, 0, 505N, 1706E,  45,  991, EX,
WP, 05, 2017070700,   , MIWU, 0, 509N, 1707E,  50,  989, EX,
WP, 05, 2017070706,   , MIWU, 0, 509N, 1712E,  50,  987, EX,
WP, 05, 2017070712,   , MIWU, 0, 508N, 1725E,  50,  987, EX,
WP, 05, 2017070718,   , MIWU, 0, 506N, 1747E,  50,  988, EX,
WP, 05, 2017070800,   , MIWU, 0, 509N, 1770E,  45,  990, EX,
WP, 05, 2017070806,   , MIWU, 0, 516N, 1798E,  40,  992, EX,
WP, 05, 2017070812,   , MIWU, 0, 530N, 1776W,  40,  992, EX,
WP, 05, 2017070818,   , MIWU, 0, 538N, 1753W,  40,  992, EX,
WP, 05, 2017070900,   , MIWU, 0, 539N, 1735W,  40,  992, EX,
WP, 05, 2017070906,   , MIWU, 0, 544N, 1716W,  40,  993, EX,
WP, 05, 2017070912,   , MIWU, 0, 552N, 1700W,  40,  993, EX,
WP, 05, 2017070918,   , MIWU, 0, 555N, 1688W,  40,  993, EX,
WP, 05, 2017071000,   , MIWU, 0, 554N, 1672W,  35,  995, EX,
WP, 05, 2017071006,   , MIWU, 0, 548N, 1650W,  35,  996, EX,
WP, 05, 2017071012,   , MIWU, 0, 548N, 1624W,  30,  998, EX,
WP, 05, 2017071018,   , MIWU, 0, 550N, 1600W,  30,  999, EX,
WP, 05, 2017071100,   , MIWU, 0, 553N, 1572W,  25, 1001, EX,
WP, 05, 2017071106,   , MIWU, 0, 557N, 1542W,  25, 1002, EX,
