WP, 06, 2017071400,   , MIWU, 0, 160N, 1140E,  20, 1005, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Talas,
WP, 06, 2017071406,   , MIWU, 0, 163N, 1136E,  20, 1005, DB,
WP, 06, 2017071412,   , MIWU, 0, 165N, 1131E,  20, 1004, DB,
WP, 06, 2017071418,   , MIWU, 0, 166N, 1127E,  25, 1002, TD,
WP, 06, 2017071500,   , MIWU, 0, 167N, 1123E,  30, 1000, TD,
WP, 06, 2017071506,   , MIWU, 0, 169N, 1118E,  35,  998, TS,
WP, 06, 2017071512,   , MIWU, 0, 172N, 1112E,  40,  995, TS,
WP, 06, 2017071518,   , MIWU, 0, 176N, 1103E,  45,  992, TS,
WP, 06, 2017071600,   , MIWU, 0, 179N, 1093E,  55,  986, TS,
WP, 06, 2017071606,   , MIWU, 0, 182N, 1083E,  65,  980, TY,
WP, 06, 2017071612,   , MIWU, 0, 184N, 1072E,  60,  982, TS,
WP, 06, 2017071618,   , MIWU, 0, 185N, 1060E,  55,  985, TS,
WP, 06, 2017071700,   , MIWU, 0, 188N, 1040E,  45,  991, TS,
WP, 06, 2017071706,   , MIWU, 0, 191N, 1021E,  35,  996, TS,
WP, 06, 2017071712,   , MIWU, 0, 195N, 1005E,  25, 1000, TD,
WP, 06, 2017071718,   , MIWU, 0, 201N,  992E,  20, 1002, DB,
WP, 06, 2017071800,   , MIWU, 0, 204N,  980E,  15, 1004, DB,
WP, 06, 2017071806,   , MIWU, 0, 209N,  971E,  15, 1005, DB,
WP, 06, 2017071812,   , MIWU, 0, 213N,  966E,  15, 1005, DB,
