WP, 09, 2017071900,   , MIWU, 0, 239N, 1798W,  20, 1011, SD, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Kulap,
WP, 09, 2017071906,   , MIWU, 0, 234N, 1797E,  20, 1011, SD,
WP, 09, 2017071912,   , MIWU, 0, 230N, 1790E,  20, 1011, SD,
WP, 09, 2017071918,   , MIWU, 0, 228N, 1784E,  20, 1010, SD,
WP, 09, 2017072000,   , MIWU, 0, 229N, 1780E,  25, 1008, SD,
WP, 09, 2017072006,   , MIWU, 0, 234N, 1776E,  25, 1007, SD,
WP, 09, 2017072012,   , MIWU, 0, 240N, 1775E,  30, 1005, SD,
WP, 09, 2017072018,   , MIWU, 0, 246N, 1774E,  35, 1003, TS,
WP, 09, 2017072100,   , MIWU, 0, 253N, 1772E,  40, 1001, TS,
WP, 09, 2017072106,   , MIWU, 0, 263N, 1770E,  45,  999, TS,
WP, 09, 2017072112,   , MIWU, 0, 283N, 1764E,  45,  998, TS,
WP, 09, 2017072118,   , MIWU, 0, 300N, 1745E,  50,  995, TS,
WP, 09, 2017072200,   , MIWU, 0, 304N, 1720E,  60,  989, TS,
WP, 09, 2017072206,   , MIWU, 0, 302N, 1704E,  55,  991, TS,
WP, 09, 2017072212,   , MIWU, 0, 301N, 1694E,  50,  994, TS,
WP, 09, 2017072218,   , MIWU, 0, 304N, 1683E,  45,  997, TS,
WP, 09, 2017072300,   , MIWU, 0, 307N, 1672E,  45,  997, TS,
WP, 09, 2017072306,   , MIWU, 0, 310N, 1662E,  45,  996, TS,
WP, 09, 2017072312,   , MIWU, 0, 314N, 1651E,  45,  996, TS,
WP, 09, 2017072318,   , MIWU, 0, 318N, 1640E,  55,  992, TS,
WP, 09, 2017072400,   , MIWU, 0, 320N, 1629E,  65,  988, TY,
WP, 09, 2017072406,   , MIWU, 0, 325N, 1616E,  60,  990, TS,
WP, 09, 2017072412,   , MIWU, 0, 330N, 1600E,  50,  994, TS,
WP, 09, 2017072418,   , MIWU, 0, 332N, 1581E,  45,  996, TS,
WP, 09, 2017072500,   , MIWU, 0, 330N, 1564E,  40,  998, TS,
WP, 09, 2017072506,   , MIWU, 0, 327N, 1550E,  40,  999, TS,
WP, 09, 2017072512,   , MIWU, 0, 322N, 1537E,  35, 1001, TS,
WP, 09, 2017072518,   , MIWU, 0, 320N, 1524E,  30, 1003, TD,
WP, 09, 2017072600,   , MIWU, 0, 317N, 1510E,  30, 1004, TD,
WP, 09, 2017072606,   , MIWU, 0, 312N, 1498E,  25, 1006, TD,
WP, 09, 2017072612,   , MIWU, 0, 302N, 1486E,  25, 1007, LO,
WP, 09, 2017072618,   , MIWU, 0, 291N, 1477E,  25, 1007, LO,
WP, 09, 2017072700,   , MIWU, 0, 280N, 1472E,  20, 1009, LO,
WP, 09, 2017072706,   , MIWU, 0, 269N, 1476E,  20, 1010, LO,
WP, 09, 2017072712,   , MIWU, 0, 260N, 1485E,  20, 1010, LO,
WP, 09, 2017072718,   , MIWU, 0, 262N, 1490E,  15, 1012, LO,
WP, 09, 2017072800,   , MIWU, 0, 270N, 1492E,  15, 1013, LO,
WP, 09, 2017072806,   , MIWU, 0, 282N, 1485E,  15, 1013, LO,
WP, 09, 2017072812,   , MIWU, 0, 294N, 1468E,  15, 1013, LO,
