WP, 20, 2017090806,   , MIWU, 0, 142N, 1483E,  20, 1005, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Talim,
WP, 20, 2017090812,   , MIWU, 0, 145N, 1472E,  20, 1004, DB,
WP, 20, 2017090818,   , MIWU, 0, 147N, 1461E,  25, 1002, TD,
WP, 20, 2017090900,   , MIWU, 0, 150N, 1450E,  25, 1001, TD,
WP, 20, 2017090906,   , MIWU, 0, 153N, 1440E,  30,  999, TD,
WP, 20, 2017090912,   , MIWU, 0, 155N, 1429E,  35,  997, TS,
WP, 20, 2017090918,   , MIWU, 0, 158N, 1417E,  40,  995, TS,
WP, 20, 2017091000,   , MIWU, 0, 162N, 1405E,  40,  994, TS,
WP, 20, 2017091006,   , MIWU, 0, 168N, 1394E,  45,  992, TS,
WP, 20, 2017091012,   , MIWU, 0, 173N, 1382E,  45,  991, TS,
WP, 20, 2017091018,   , MIWU, 0, 177N, 1370E,  55,  985, TS,
WP, 20, 2017091100,   , MIWU, 0, 181N, 1360E,  60,  982, TS,
WP, 20, 2017091106,   , MIWU, 0, 188N, 1348E,  60,  980, TS,
WP, 20, 2017091112,   , MIWU, 0, 197N, 1333E,  60,  978, TS,
WP, 20, 2017091118,   , MIWU, 0, 206N, 1320E,  65,  974, TY,
WP, 20, 2017091200,   , MIWU, 0, 215N, 1305E,  70,  970, TY,
WP, 20, 2017091206,   , MIWU, 0, 222N, 1291E,  70,  968, TY,
WP, 20, 2017091212,   , MIWU, 0, 230N, 1280E,  75,  964, TY,
WP, 20, 2017091218,   , MIWU, 0, 238N, 1271E,  80,  960, TY,
WP, 20, 2017091300,   , MIWU, 0, 243N, 1263E,  85,  956, TY,
WP, 20, 2017091306,   , MIWU, 0, 249N, 1258E,  95,  950, TY,
WP, 20, 2017091312,   , MIWU, 0, 255N, 1252E, 105,  944, TY,
WP, 20, 2017091318,   , MIWU, 0, 260N, 1248E, 115,  938, TY,
WP, 20, 2017091400,   , MIWU, 0, 265N, 1245E, 120,  935, TY,
WP, 20, 2017091406,   , MIWU, 0, 270N, 1242E, 120,  934, TY,
WP, 20, 2017091412,   , MIWU, 0, 274N, 1243E, 110,  938, TY,
WP, 20, 2017091418,   , MIWU, 0, 277N, 1244E,  95,  944, TY,
WP, 20, 2017091500,   , MIWU, 0, 279N, 1246E,  85,  948, TY,
WP, 20, 2017091506,   , MIWU, 0, 281N, 1247E,  80,  950, TY,
WP, 20, 2017091512,   , MIWU, 0, 282N, 1250E,  75,  953, TY,
WP, 20, 2017091518,   , MIWU, 0, 284N, 1254E,  70,  955, TY,
WP, 20, 2017091600,   , MIWU, 0, 285N, 1259E,  70,  956, TY,
WP, 20, 2017091606,   , MIWU, 0, 286N, 1266E,  65,  960, TY,
WP, 20, 2017091612,   , MIWU, 0, 290N, 1272E,  65,  960, TY,
WP, 20, 2017091618,   , MIWU, 0, 298N, 1284E,  65,  962, TY,
WP, 20, 2017091700,   , MIWU, 0, 310N, 1302E,  60,  966, TS,
WP, 20, 2017091706,   , MIWU, 0, 324N, 1321E,  55,  970, TS,
WP, 20, 2017091712,   , MIWU, 0, 342N, 1346E,  55,  972, TS,
WP, 20, 2017091718,   , MIWU, 0, 376N, 1380E,  55,  972, EX,
WP, 20, 2017091800,   , MIWU, 0, 410N, 1401E,  55,  972, EX,
WP, 20, 2017091806,   , MIWU, 0, 440N, 1420E,  60,  970, EX,
WP, 20, 2017091812,   , MIWU, 0, 468N, 1432E,  60,  970, EX,
WP, 20, 2017091818,   , MIWU, 0, 486N, 1440E,  60,  972, EX,
WP, 20, 2017091900,   , MIWU, 0, 499N, 1444E,  55,  976, EX,
WP, 20, 2017091906,   , MIWU, 0, 508N, 1447E,  55,  978, EX,
WP, 20, 2017091912,   , MIWU, 0, 514N, 1451E,  50,  982, EX,
WP, 20, 2017091918,   , MIWU, 0, 518N, 1454E,  45,  986, EX,
WP, 20, 2017092000,   , MIWU, 0, 522N, 1459E,  40,  989, EX,
WP, 20, 2017092006,   , MIWU, 0, 527N, 1462E,  35,  992, EX,
WP, 20, 2017092012,   , MIWU, 0, 534N, 1463E,  35,  993, EX,
WP, 20, 2017092018,   , MIWU, 0, 540N, 1464E,  30,  996, EX,
WP, 20, 2017092100,   , MIWU, 0, 547N, 1465E,  30,  996, EX,
WP, 20, 2017092106,   , MIWU, 0, 554N, 1466E,  30,  997, EX,
WP, 20, 2017092112,   , MIWU, 0, 560N, 1468E,  25, 1000, EX,
WP, 20, 2017092118,   , MIWU, 0, 565N, 1472E,  25, 1001, EX,
WP, 20, 2017092200,   , MIWU, 0, 569N, 1477E,  25, 1002, EX,
WP, 20, 2017092206,   , MIWU, 0, 574N, 1482E,  20, 1005, EX,
WP, 20, 2017092212,   , MIWU, 0, 580N, 1489E,  20, 1006, EX,
WP, 20, 2017092218,   , MIWU, 0, 588N, 1499E,  20, 1006, EX,
WP, 20, 2017092300,   , MIWU, 0, 599N, 1508E,  20, 1006, EX,
