WP, 21, 2017091000,   , MIWU, 0, 141N, 1305E,  20, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Doksuri,
WP, 21, 2017091006,   , MIWU, 0, 142N, 1295E,  20, 1007, DB,
WP, 21, 2017091012,   , MIWU, 0, 143N, 1282E,  20, 1006, DB,
WP, 21, 2017091018,   , MIWU, 0, 143N, 1270E,  20, 1006, DB,
WP, 21, 2017091100,   , MIWU, 0, 145N, 1260E,  25, 1004, TD,
WP, 21, 2017091106,   , MIWU, 0, 146N, 1249E,  30, 1002, TD,
WP, 21, 2017091112,   , MIWU, 0, 148N, 1239E,  30, 1001, TD,
WP, 21, 2017091118,   , MIWU, 0, 149N, 1228E,  35,  999, TS,
WP, 21, 2017091200,   , MIWU, 0, 148N, 1219E,  35,  999, TS,
WP, 21, 2017091206,   , MIWU, 0, 146N, 1209E,  35,  998, TS,
WP, 21, 2017091212,   , MIWU, 0, 144N, 1198E,  40,  996, TS,
WP, 21, 2017091218,   , MIWU, 0, 143N, 1186E,  45,  993, TS,
WP, 21, 2017091300,   , MIWU, 0, 146N, 1172E,  50,  990, TS,
WP, 21, 2017091306,   , MIWU, 0, 153N, 1159E,  55,  987, TS,
WP, 21, 2017091312,   , MIWU, 0, 157N, 1146E,  60,  984, TS,
WP, 21, 2017091318,   , MIWU, 0, 160N, 1134E,  65,  981, TY,
WP, 21, 2017091400,   , MIWU, 0, 162N, 1123E,  75,  974, TY,
WP, 21, 2017091406,   , MIWU, 0, 165N, 1111E,  80,  970, TY,
WP, 21, 2017091412,   , MIWU, 0, 170N, 1099E,  85,  966, TY,
WP, 21, 2017091418,   , MIWU, 0, 174N, 1085E,  95,  960, TY,
WP, 21, 2017091500,   , MIWU, 0, 177N, 1072E, 100,  958, TY,
WP, 21, 2017091503,   , MIWU, 0, 178N, 1065E, 105,  956, TY,
WP, 21, 2017091506,   , MIWU, 0, 179N, 1058E,  90,  965, TY,
WP, 21, 2017091512,   , MIWU, 0, 180N, 1045E,  65,  980, TY,
WP, 21, 2017091518,   , MIWU, 0, 182N, 1032E,  40,  995, TS,
WP, 21, 2017091600,   , MIWU, 0, 186N, 1019E,  30,  999, TD,
WP, 21, 2017091606,   , MIWU, 0, 190N, 1006E,  20, 1003, DB,
WP, 21, 2017091612,   , MIWU, 0, 195N,  992E,  15, 1005, DB,
