WP, 32, 2017121118,   , MIWU, 0, 110N, 1289E,  20, 1008, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Kai-tak,
WP, 32, 2017121200,   , MIWU, 0, 115N, 1287E,  20, 1008, DB,
WP, 32, 2017121206,   , MIWU, 0, 118N, 1286E,  20, 1007, DB,
WP, 32, 2017121212,   , MIWU, 0, 120N, 1286E,  20, 1007, DB,
WP, 32, 2017121218,   , MIWU, 0, 121N, 1286E,  25, 1005, TD,
WP, 32, 2017121300,   , MIWU, 0, 121N, 1285E,  30, 1003, TD,
WP, 32, 2017121306,   , MIWU, 0, 119N, 1283E,  30, 1002, TD,
WP, 32, 2017121312,   , MIWU, 0, 117N, 1281E,  35, 1000, TS,
WP, 32, 2017121318,   , MIWU, 0, 114N, 1280E,  40,  998, TS,
WP, 32, 2017121400,   , MIWU, 0, 111N, 1279E,  45,  996, TS,
WP, 32, 2017121406,   , MIWU, 0, 108N, 1278E,  50,  993, TS,
WP, 32, 2017121412,   , MIWU, 0, 108N, 1277E,  60,  988, TS,
WP, 32, 2017121418,   , MIWU, 0, 112N, 1276E,  60,  987, TS,
WP, 32, 2017121500,   , MIWU, 0, 116N, 1277E,  55,  989, TS,
WP, 32, 2017121506,   , MIWU, 0, 117N, 1276E,  55,  989, TS,
WP, 32, 2017121512,   , MIWU, 0, 118N, 1274E,  55,  990, TS,
WP, 32, 2017121518,   , MIWU, 0, 120N, 1270E,  50,  992, TS,
WP, 32, 2017121600,   , MIWU, 0, 122N, 1264E,  50,  993, TS,
WP, 32, 2017121606,   , MIWU, 0, 122N, 1259E,  45,  996, TS,
WP, 32, 2017121612,   , MIWU, 0, 122N, 1255E,  40,  999, TS,
WP, 32, 2017121618,   , MIWU, 0, 123N, 1250E,  35, 1002, TS,
WP, 32, 2017121700,   , MIWU, 0, 124N, 1242E,  30, 1004, TD,
WP, 32, 2017121706,   , MIWU, 0, 123N, 1230E,  30, 1005, TD,
WP, 32, 2017121712,   , MIWU, 0, 119N, 1216E,  30, 1005, TD,
WP, 32, 2017121718,   , MIWU, 0, 114N, 1202E,  30, 1004, TD,
WP, 32, 2017121800,   , MIWU, 0, 108N, 1194E,  30, 1004, TD,
WP, 32, 2017121806,   , MIWU, 0, 104N, 1190E,  30, 1004, TD,
WP, 32, 2017121812,   , MIWU, 0, 103N, 1183E,  30, 1004, TD,
WP, 32, 2017121818,   , MIWU, 0, 100N, 1173E,  30, 1003, TD,
WP, 32, 2017121900,   , MIWU, 0,  95N, 1162E,  30, 1003, TD,
WP, 32, 2017121906,   , MIWU, 0,  91N, 1154E,  35, 1001, TS,
WP, 32, 2017121912,   , MIWU, 0,  86N, 1146E,  40,  999, TS,
WP, 32, 2017121918,   , MIWU, 0,  83N, 1139E,  40,  998, TS,
WP, 32, 2017122000,   , MIWU, 0,  81N, 1132E,  45,  996, TS,
WP, 32, 2017122006,   , MIWU, 0,  79N, 1122E,  50,  994, TS,
WP, 32, 2017122012,   , MIWU, 0,  75N, 1113E,  55,  992, TS,
WP, 32, 2017122018,   , MIWU, 0,  71N, 1104E,  55,  993, TS,
WP, 32, 2017122100,   , MIWU, 0,  67N, 1097E,  50,  995, TS,
WP, 32, 2017122106,   , MIWU, 0,  63N, 1091E,  40,  999, TS,
WP, 32, 2017122112,   , MIWU, 0,  62N, 1084E,  35, 1001, TS,
WP, 32, 2017122118,   , MIWU, 0,  60N, 1074E,  30, 1003, TD,
WP, 32, 2017122200,   , MIWU, 0,  57N, 1064E,  30, 1004, TD,
WP, 32, 2017122206,   , MIWU, 0,  52N, 1060E,  25, 1006, TD,
WP, 32, 2017122212,   , MIWU, 0,  48N, 1056E,  20, 1008, DB,
WP, 32, 2017122218,   , MIWU, 0,  42N, 1050E,  20, 1007, DB,
WP, 32, 2017122300,   , MIWU, 0,  37N, 1045E,  30, 1003, TD,
WP, 32, 2017122306,   , MIWU, 0,  33N, 1044E,  30, 1004, TD,
WP, 32, 2017122312,   , MIWU, 0,  29N, 1047E,  30, 1004, TD,
WP, 32, 2017122318,   , MIWU, 0,  25N, 1051E,  25, 1006, TD,
WP, 32, 2017122400,   , MIWU, 0,  24N, 1056E,  20, 1008, DB,
WP, 32, 2017122406,   , MIWU, 0,  25N, 1063E,  15, 1010, DB,
