AL, 03, 2023061806,   , MIWU, 0,  90N,  313W,  20, 1011, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Bret,
AL, 03, 2023061812,   , MIWU, 0,  92N,  328W,  20, 1011, DB,
AL, 03, 2023061818,   , MIWU, 0,  96N,  342W,  20, 1010, DB,
AL, 03, 2023061900,   , MIWU, 0, 100N,  359W,  25, 1009, DB,
AL, 03, 2023061906,   , MIWU, 0, 103N,  375W,  30, 1008, TD,
AL, 03, 2023061912,   , MIWU, 0, 106N,  394W,  35, 1007, TS,
AL, 03, 2023061918,   , MIWU, 0, 110N,  411W,  40, 1006, TS,
AL, 03, 2023062000,   , MIWU, 0, 114N,  427W,  40, 1005, TS,
AL, 03, 2023062006,   , MIWU, 0, 117N,  446W,  40, 1005, TS,
AL, 03, 2023062012,   , MIWU, 0, 119N,  463W,  40, 1005, TS,
AL, 03, 2023062018,   , MIWU, 0, 123N,  478W,  40, 1005, TS,
AL, 03, 2023062100,   , MIWU, 0, 126N,  494W,  45, 1003, TS,
AL, 03, 2023062106,   , MIWU, 0, 128N,  508W,  50, 1001, TS,
AL, 03, 2023062112,   , MIWU, 0, 129N,  520W,  50, 1000, TS,
AL, 03, 2023062118,   , MIWU, 0, 131N,  532W,  55,  998, TS,
AL, 03, 2023062200,   , MIWU, 0, 134N,  545W,  55,  997, TS,
AL, 03, 2023062206,   , MIWU, 0, 137N,  558W,  65,  994, HU,
AL, 03, 2023062212,   , MIWU, 0, 138N,  571W,  60,  996, TS,
AL, 03, 2023062218,   , MIWU, 0, 138N,  583W,  50, 1000, TS,
AL, 03, 2023062300,   , MIWU, 0, 138N,  599W,  45, 1002, TS,
AL, 03, 2023062306,   , MIWU, 0, 136N,  620W,  45, 1003, TS,
AL, 03, 2023062312,   , MIWU, 0, 134N,  640W,  45, 1003, TS,
AL, 03, 2023062318,   , MIWU, 0, 132N,  656W,  40, 1005, TS,
AL, 03, 2023062400,   , MIWU, 0, 131N,  672W,  35, 1006, TS,
AL, 03, 2023062406,   , MIWU, 0, 132N,  688W,  35, 1006, TS,
AL, 03, 2023062412,   , MIWU, 0, 134N,  706W,  30, 1006, WV,
AL, 03, 2023062418,   , MIWU, 0, 135N,  725W,  30, 1007, WV,
AL, 03, 2023062500,   , MIWU, 0, 134N,  747W,  25, 1009, WV,
AL, 03, 2023062506,   , MIWU, 0, 133N,  765W,  25, 1009, WV,
AL, 03, 2023062512,   , MIWU, 0, 133N,  780W,  30, 1008, TD,
AL, 03, 2023062518,   , MIWU, 0, 133N,  794W,  30, 1008, TD,
AL, 03, 2023062600,   , MIWU, 0, 134N,  806W,  25, 1009, TD,
AL, 03, 2023062606,   , MIWU, 0, 136N,  819W,  20, 1010, DB,
AL, 03, 2023062612,   , MIWU, 0, 138N,  833W,  15, 1011, DB,
AL, 03, 2023062618,   , MIWU, 0, 139N,  846W,  15, 1011, DB,
AL, 03, 2023062700,   , MIWU, 0, 139N,  855W,  15, 1011, DB,
