AL, 07, 2023081812,   , MIWU, 0, 150N,  332W,  20, 1010, DB,  0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Emily,
AL, 07, 2023081818,   , MIWU, 0, 155N,  337W,  20, 1010, DB,
AL, 07, 2023081900,   , MIWU, 0, 159N,  344W,  20, 1010, DB,
AL, 07, 2023081906,   , MIWU, 0, 164N,  350W,  20, 1009, DB,
AL, 07, 2023081912,   , MIWU, 0, 171N,  356W,  25, 1007, DB,
AL, 07, 2023081918,   , MIWU, 0, 179N,  361W,  30, 1005, TD,
AL, 07, 2023082000,   , MIWU, 0, 185N,  366W,  35, 1002, TS,
AL, 07, 2023082006,   , MIWU, 0, 190N,  375W,  45,  996, TS,
AL, 07, 2023082012,   , MIWU, 0, 197N,  384W,  45,  996, TS,
AL, 07, 2023082018,   , MIWU, 0, 202N,  391W,  45,  997, TS,
AL, 07, 2023082100,   , MIWU, 0, 203N,  397W,  40,  999, TS,
AL, 07, 2023082106,   , MIWU, 0, 205N,  403W,  35, 1001, LO,
AL, 07, 2023082112,   , MIWU, 0, 208N,  412W,  30, 1003, LO,
AL, 07, 2023082118,   , MIWU, 0, 214N,  420W,  30, 1003, LO,
AL, 07, 2023082200,   , MIWU, 0, 220N,  428W,  25, 1005, LO,
AL, 07, 2023082206,   , MIWU, 0, 226N,  440W,  25, 1005, LO,
AL, 07, 2023082212,   , MIWU, 0, 234N,  451W,  25, 1006, LO,
AL, 07, 2023082218,   , MIWU, 0, 244N,  461W,  25, 1006, LO,
AL, 07, 2023082300,   , MIWU, 0, 256N,  469W,  30, 1004, LO,
AL, 07, 2023082306,   , MIWU, 0, 264N,  480W,  30, 1004, LO,
AL, 07, 2023082312,   , MIWU, 0, 269N,  489W,  30, 1004, LO,
AL, 07, 2023082318,   , MIWU, 0, 273N,  493W,  25, 1006, LO,
AL, 07, 2023082400,   , MIWU, 0, 278N,  493W,  25, 1006, LO,
AL, 07, 2023082406,   , MIWU, 0, 284N,  492W,  30, 1004, LO,
AL, 07, 2023082412,   , MIWU, 0, 290N,  490W,  30, 1004, LO,
AL, 07, 2023082418,   , MIWU, 0, 295N,  487W,  25, 1006, LO,
AL, 07, 2023082500,   , MIWU, 0, 304N,  484W,  20, 1008, LO,
AL, 07, 2023082506,   , MIWU, 0, 317N,  484W,  20, 1008, LO,
AL, 07, 2023082512,   , MIWU, 0, 330N,  484W,  20, 1008, LO,
AL, 07, 2023082518,   , MIWU, 0, 342N,  485W,  15, 1010, LO,
AL, 07, 2023082600,   , MIWU, 0, 355N,  484W,  15, 1011, LO,
