AL, 08, 2023081900,   , MIWU, 0, 121N,  566W,  20, 1010, WV,  0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Franklin,
AL, 08, 2023081906,   , MIWU, 0, 121N,  579W,  20, 1010, WV,
AL, 08, 2023081912,   , MIWU, 0, 122N,  593W,  20, 1010, WV,
AL, 08, 2023081918,   , MIWU, 0, 123N,  607W,  20, 1010, WV,
AL, 08, 2023082000,   , MIWU, 0, 126N,  620W,  25, 1009, WV,
AL, 08, 2023082006,   , MIWU, 0, 131N,  634W,  35, 1006, WV,
AL, 08, 2023082012,   , MIWU, 0, 139N,  650W,  35, 1006, WV,
AL, 08, 2023082018,   , MIWU, 0, 144N,  664W,  40, 1004, WV,
AL, 08, 2023082100,   , MIWU, 0, 145N,  675W,  40, 1004, WV,
AL, 08, 2023082106,   , MIWU, 0, 145N,  684W,  40, 1003, WV,
AL, 08, 2023082112,   , MIWU, 0, 144N,  691W,  40, 1003, WV,
AL, 08, 2023082118,   , MIWU, 0, 142N,  697W,  40, 1003, WV,
AL, 08, 2023082200,   , MIWU, 0, 141N,  702W,  35, 1005, WV,
AL, 08, 2023082206,   , MIWU, 0, 144N,  706W,  35, 1005, WV,
AL, 08, 2023082212,   , MIWU, 0, 150N,  709W,  30, 1007, WV,
AL, 08, 2023082218,   , MIWU, 0, 158N,  710W,  30, 1007, WV,
AL, 08, 2023082300,   , MIWU, 0, 164N,  710W,  30, 1007, WV,
AL, 08, 2023082306,   , MIWU, 0, 171N,  709W,  30, 1006, WV,
AL, 08, 2023082312,   , MIWU, 0, 179N,  709W,  35, 1004, TS,
AL, 08, 2023082318,   , MIWU, 0, 190N,  708W,  35, 1004, TS,
AL, 08, 2023082400,   , MIWU, 0, 202N,  704W,  35, 1004, TS,
AL, 08, 2023082406,   , MIWU, 0, 212N,  699W,  40, 1002, TS,
AL, 08, 2023082412,   , MIWU, 0, 220N,  696W,  40, 1001, TS,
AL, 08, 2023082418,   , MIWU, 0, 224N,  692W,  40, 1001, TS,
AL, 08, 2023082500,   , MIWU, 0, 225N,  688W,  40, 1001, TS,
AL, 08, 2023082506,   , MIWU, 0, 224N,  683W,  40, 1001, TS,
AL, 08, 2023082512,   , MIWU, 0, 220N,  680W,  35, 1003, TS,
AL, 08, 2023082518,   , MIWU, 0, 220N,  675W,  35, 1002, TS,
AL, 08, 2023082600,   , MIWU, 0, 221N,  669W,  40,  999, TS,
AL, 08, 2023082606,   , MIWU, 0, 225N,  663W,  50,  992, TS,
AL, 08, 2023082612,   , MIWU, 0, 233N,  665W,  60,  987, TS,
AL, 08, 2023082618,   , MIWU, 0, 237N,  672W,  65,  983, HU,
AL, 08, 2023082700,   , MIWU, 0, 242N,  678W,  70,  978, HU,
AL, 08, 2023082706,   , MIWU, 0, 244N,  684W,  70,  976, HU,
AL, 08, 2023082712,   , MIWU, 0, 249N,  692W,  75,  970, HU,
AL, 08, 2023082718,   , MIWU, 0, 256N,  699W,  75,  968, HU,
AL, 08, 2023082800,   , MIWU, 0, 262N,  704W,  80,  963, HU,
AL, 08, 2023082806,   , MIWU, 0, 268N,  706W,  95,  954, HU,
AL, 08, 2023082812,   , MIWU, 0, 275N,  709W, 120,  934, HU,
AL, 08, 2023082818,   , MIWU, 0, 282N,  711W, 130,  927, HU,
AL, 08, 2023082900,   , MIWU, 0, 290N,  711W, 125,  924, HU,
AL, 08, 2023082906,   , MIWU, 0, 298N,  710W, 120,  926, HU,
AL, 08, 2023082912,   , MIWU, 0, 304N,  706W, 110,  934, HU,
AL, 08, 2023082918,   , MIWU, 0, 310N,  701W, 105,  938, HU,
AL, 08, 2023083000,   , MIWU, 0, 318N,  695W, 105,  940, HU,
AL, 08, 2023083006,   , MIWU, 0, 325N,  687W, 105,  940, HU,
AL, 08, 2023083012,   , MIWU, 0, 334N,  677W, 105,  940, HU,
AL, 08, 2023083018,   , MIWU, 0, 339N,  666W, 100,  944, HU,
AL, 08, 2023083100,   , MIWU, 0, 343N,  654W,  90,  950, HU,
AL, 08, 2023083106,   , MIWU, 0, 345N,  640W,  85,  953, HU,
AL, 08, 2023083112,   , MIWU, 0, 349N,  625W,  75,  959, HU,
AL, 08, 2023083118,   , MIWU, 0, 355N,  612W,  65,  965, HU,
AL, 08, 2023090100,   , MIWU, 0, 363N,  596W,  55,  972, TS,
AL, 08, 2023090106,   , MIWU, 0, 373N,  580W,  55,  973, TS,
AL, 08, 2023090112,   , MIWU, 0, 381N,  563W,  55,  972, TS,
AL, 08, 2023090118,   , MIWU, 0, 387N,  543W,  55,  972, TS,
AL, 08, 2023090200,   , MIWU, 0, 396N,  520W,  50,  975, TS,
AL, 08, 2023090206,   , MIWU, 0, 411N,  487W,  50,  975, EX,
AL, 08, 2023090212,   , MIWU, 0, 430N,  456W,  50,  976, EX,
AL, 08, 2023090218,   , MIWU, 0, 445N,  433W,  55,  974, EX,
AL, 08, 2023090300,   , MIWU, 0, 457N,  408W,  55,  974, EX,
AL, 08, 2023090306,   , MIWU, 0, 466N,  384W,  55,  975, EX,
AL, 08, 2023090312,   , MIWU, 0, 473N,  361W,  50,  977, EX,
AL, 08, 2023090318,   , MIWU, 0, 475N,  334W,  50,  978, EX,
AL, 08, 2023090400,   , MIWU, 0, 475N,  310W,  50,  980, EX,
AL, 08, 2023090406,   , MIWU, 0, 474N,  292W,  45,  984, EX,
AL, 08, 2023090412,   , MIWU, 0, 473N,  278W,  45,  984, EX,
AL, 08, 2023090418,   , MIWU, 0, 471N,  271W,  40,  988, EX,
AL, 08, 2023090500,   , MIWU, 0, 465N,  268W,  40,  988, EX,
AL, 08, 2023090506,   , MIWU, 0, 446N,  263W,  40,  990, EX,
AL, 08, 2023090512,   , MIWU, 0, 423N,  253W,  35,  994, EX,
AL, 08, 2023090518,   , MIWU, 0, 405N,  237W,  35,  996, EX,
AL, 08, 2023090600,   , MIWU, 0, 400N,  210W,  35,  996, EX,
AL, 08, 2023090606,   , MIWU, 0, 403N,  189W,  40,  994, EX,
AL, 08, 2023090612,   , MIWU, 0, 414N,  176W,  40,  994, EX,
AL, 08, 2023090618,   , MIWU, 0, 432N,  172W,  50,  990, EX,
AL, 08, 2023090700,   , MIWU, 0, 454N,  168W,  50,  989, EX,
AL, 08, 2023090706,   , MIWU, 0, 469N,  166W,  50,  989, EX,
AL, 08, 2023090712,   , MIWU, 0, 481N,  167W,  45,  992, EX,
AL, 08, 2023090718,   , MIWU, 0, 487N,  166W,  45,  993, EX,
AL, 08, 2023090800,   , MIWU, 0, 489N,  169W,  40,  995, EX,
AL, 08, 2023090806,   , MIWU, 0, 488N,  175W,  35,  997, EX,
AL, 08, 2023090812,   , MIWU, 0, 484N,  183W,  30,  999, EX,
AL, 08, 2023090818,   , MIWU, 0, 476N,  189W,  30,  999, EX,
AL, 08, 2023090900,   , MIWU, 0, 464N,  192W,  30, 1000, EX,
AL, 08, 2023090906,   , MIWU, 0, 452N,  196W,  30, 1000, EX,
AL, 08, 2023090912,   , MIWU, 0, 443N,  200W,  25, 1002, EX,
AL, 08, 2023090918,   , MIWU, 0, 433N,  202W,  25, 1003, EX,
AL, 08, 2023091000,   , MIWU, 0, 422N,  205W,  20, 1005, EX,
AL, 08, 2023091006,   , MIWU, 0, 410N,  204W,  20, 1006, EX,
AL, 08, 2023091012,   , MIWU, 0, 400N,  202W,  15, 1008, EX,
