AL, 09, 2023082100,   , MIWU, 0, 245N,  860W,  20, 1009, WV, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Harold,
AL, 09, 2023082106,   , MIWU, 0, 245N,  875W,  20, 1009, WV,
AL, 09, 2023082112,   , MIWU, 0, 246N,  891W,  25, 1008, WV,
AL, 09, 2023082118,   , MIWU, 0, 250N,  908W,  30, 1006, WV,
AL, 09, 2023082200,   , MIWU, 0, 257N,  925W,  35, 1004, WV,
AL, 09, 2023082206,   , MIWU, 0, 262N,  943W,  40, 1001, WV,
AL, 09, 2023082212,   , MIWU, 0, 266N,  962W,  40,  999, TS,
AL, 09, 2023082215,   , MIWU, 0, 267N,  973W,  45,  996, TS,
AL, 09, 2023082218,   , MIWU, 0, 269N,  984W,  40, 1000, TS,
AL, 09, 2023082300,   , MIWU, 0, 275N, 1003W,  30, 1004, TD,
AL, 09, 2023082306,   , MIWU, 0, 284N, 1020W,  25, 1006, TD,
AL, 09, 2023082312,   , MIWU, 0, 295N, 1039W,  20, 1008, DB,
AL, 09, 2023082318,   , MIWU, 0, 308N, 1059W,  15, 1010, DB,
AL, 09, 2023082400,   , MIWU, 0, 320N, 1080W,  15, 1011, DB,
