AL, 10, 2023082600,   , MIWU, 0, 204N,  860W,  20, 1005, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Idalia,
AL, 10, 2023082606,   , MIWU, 0, 207N,  860W,  20, 1004, DB,
AL, 10, 2023082612,   , MIWU, 0, 210N,  861W,  25, 1002, TD,
AL, 10, 2023082618,   , MIWU, 0, 212N,  863W,  30, 1000, TD,
AL, 10, 2023082700,   , MIWU, 0, 212N,  862W,  30, 1000, TD,
AL, 10, 2023082706,   , MIWU, 0, 209N,  861W,  30,  999, TD,
AL, 10, 2023082712,   , MIWU, 0, 205N,  860W,  30,  999, TD,
AL, 10, 2023082718,   , MIWU, 0, 202N,  858W,  35,  997, TS,
AL, 10, 2023082800,   , MIWU, 0, 201N,  855W,  45,  993, TS,
AL, 10, 2023082806,   , MIWU, 0, 201N,  853W,  55,  989, TS,
AL, 10, 2023082812,   , MIWU, 0, 204N,  851W,  55,  989, TS,
AL, 10, 2023082818,   , MIWU, 0, 209N,  850W,  55,  988, TS,
AL, 10, 2023082900,   , MIWU, 0, 218N,  849W,  60,  985, TS,
AL, 10, 2023082906,   , MIWU, 0, 227N,  848W,  65,  981, HU,
AL, 10, 2023082912,   , MIWU, 0, 240N,  848W,  70,  978, HU,
AL, 10, 2023082918,   , MIWU, 0, 255N,  848W,  75,  974, HU,
AL, 10, 2023083000,   , MIWU, 0, 269N,  846W,  90,  961, HU,
AL, 10, 2023083006,   , MIWU, 0, 283N,  843W, 105,  945, HU,
AL, 10, 2023083008,   , MIWU, 0, 290N,  840W, 110,  940, HU,
AL, 10, 2023083012,   , MIWU, 0, 300N,  836W,  95,  954, HU,
AL, 10, 2023083018,   , MIWU, 0, 316N,  823W,  60,  980, TS,
AL, 10, 2023083100,   , MIWU, 0, 328N,  810W,  45,  990, TS,
AL, 10, 2023083106,   , MIWU, 0, 335N,  792W,  45,  992, TS,
AL, 10, 2023083112,   , MIWU, 0, 335N,  772W,  40,  995, EX,
AL, 10, 2023083118,   , MIWU, 0, 331N,  750W,  40,  995, EX,
AL, 10, 2023090100,   , MIWU, 0, 328N,  726W,  40,  995, EX,
AL, 10, 2023090106,   , MIWU, 0, 324N,  706W,  40,  996, EX,
AL, 10, 2023090112,   , MIWU, 0, 321N,  688W,  40,  996, EX,
AL, 10, 2023090118,   , MIWU, 0, 319N,  672W,  40,  996, EX,
AL, 10, 2023090200,   , MIWU, 0, 317N,  659W,  40,  996, EX,
AL, 10, 2023090206,   , MIWU, 0, 316N,  647W,  45,  994, EX,
AL, 10, 2023090212,   , MIWU, 0, 315N,  640W,  50,  991, EX,
AL, 10, 2023090218,   , MIWU, 0, 315N,  635W,  50,  990, EX,
AL, 10, 2023090300,   , MIWU, 0, 317N,  628W,  50,  990, EX,
AL, 10, 2023090306,   , MIWU, 0, 323N,  620W,  45,  992, EX,
AL, 10, 2023090312,   , MIWU, 0, 337N,  612W,  45,  992, EX,
AL, 10, 2023090318,   , MIWU, 0, 352N,  602W,  50,  989, EX,
AL, 10, 2023090400,   , MIWU, 0, 367N,  593W,  50,  988, EX,
AL, 10, 2023090406,   , MIWU, 0, 381N,  584W,  50,  988, EX,
AL, 10, 2023090412,   , MIWU, 0, 398N,  579W,  50,  988, EX,
AL, 10, 2023090418,   , MIWU, 0, 407N,  581W,  45,  990, EX,
AL, 10, 2023090500,   , MIWU, 0, 413N,  587W,  45,  990, EX,
AL, 10, 2023090506,   , MIWU, 0, 417N,  592W,  45,  990, EX,
AL, 10, 2023090512,   , MIWU, 0, 421N,  596W,  40,  992, EX,
AL, 10, 2023090518,   , MIWU, 0, 424N,  600W,  40,  992, EX,
AL, 10, 2023090600,   , MIWU, 0, 427N,  605W,  40,  992, EX,
AL, 10, 2023090606,   , MIWU, 0, 427N,  613W,  40,  992, EX,
AL, 10, 2023090612,   , MIWU, 0, 428N,  621W,  35,  994, EX,
AL, 10, 2023090618,   , MIWU, 0, 429N,  628W,  35,  995, EX,
AL, 10, 2023090700,   , MIWU, 0, 431N,  627W,  35,  995, EX,
AL, 10, 2023090706,   , MIWU, 0, 434N,  621W,  30,  997, EX,
AL, 10, 2023090712,   , MIWU, 0, 439N,  610W,  30,  998, EX,
AL, 10, 2023090718,   , MIWU, 0, 445N,  597W,  30,  998, EX,
AL, 10, 2023090800,   , MIWU, 0, 456N,  582W,  25, 1000, EX,
AL, 10, 2023090806,   , MIWU, 0, 468N,  560W,  25, 1001, EX,
AL, 10, 2023090812,   , MIWU, 0, 475N,  542W,  25, 1001, EX,
AL, 10, 2023090818,   , MIWU, 0, 479N,  527W,  25, 1001, EX,
AL, 10, 2023090900,   , MIWU, 0, 478N,  506W,  25, 1002, EX,
AL, 10, 2023090906,   , MIWU, 0, 474N,  477W,  20, 1004, EX,
AL, 10, 2023090912,   , MIWU, 0, 467N,  452W,  20, 1005, EX,
AL, 10, 2023090918,   , MIWU, 0, 456N,  434W,  15, 1007, EX,
