AL, 17, 2023092206,   , MIWU, 0, 151N,  316W,  20, 1011, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Philippe,
AL, 17, 2023092212,   , MIWU, 0, 154N,  330W,  20, 1009, DB,
AL, 17, 2023092218,   , MIWU, 0, 156N,  342W,  20, 1009, DB,
AL, 17, 2023092300,   , MIWU, 0, 157N,  352W,  25, 1007, TD,
AL, 17, 2023092306,   , MIWU, 0, 158N,  361W,  30, 1005, TD,
AL, 17, 2023092312,   , MIWU, 0, 159N,  370W,  30, 1005, TD,
AL, 17, 2023092318,   , MIWU, 0, 160N,  380W,  30, 1005, TD,
AL, 17, 2023092400,   , MIWU, 0, 161N,  392W,  35, 1003, TS,
AL, 17, 2023092406,   , MIWU, 0, 162N,  402W,  40, 1001, TS,
AL, 17, 2023092412,   , MIWU, 0, 164N,  410W,  40, 1000, TS,
AL, 17, 2023092418,   , MIWU, 0, 163N,  417W,  45,  998, TS,
AL, 17, 2023092500,   , MIWU, 0, 164N,  424W,  45,  998, TS,
AL, 17, 2023092506,   , MIWU, 0, 167N,  432W,  45,  998, TS,
AL, 17, 2023092512,   , MIWU, 0, 170N,  446W,  45,  999, TS,
AL, 17, 2023092518,   , MIWU, 0, 172N,  463W,  40, 1001, TS,
AL, 17, 2023092600,   , MIWU, 0, 175N,  475W,  40, 1001, TS,
AL, 17, 2023092606,   , MIWU, 0, 177N,  486W,  40, 1002, TS,
AL, 17, 2023092612,   , MIWU, 0, 174N,  498W,  35, 1004, TS,
AL, 17, 2023092618,   , MIWU, 0, 170N,  508W,  30, 1006, TD,
AL, 17, 2023092700,   , MIWU, 0, 171N,  515W,  30, 1005, TD,
AL, 17, 2023092706,   , MIWU, 0, 176N,  521W,  35, 1003, TS,
AL, 17, 2023092712,   , MIWU, 0, 180N,  530W,  35, 1002, TS,
AL, 17, 2023092718,   , MIWU, 0, 179N,  536W,  30, 1004, TD,
AL, 17, 2023092800,   , MIWU, 0, 177N,  539W,  30, 1004, TD,
AL, 17, 2023092806,   , MIWU, 0, 175N,  540W,  30, 1004, TD,
AL, 17, 2023092812,   , MIWU, 0, 176N,  541W,  30, 1004, TD,
AL, 17, 2023092818,   , MIWU, 0, 179N,  540W,  30, 1003, TD,
AL, 17, 2023092900,   , MIWU, 0, 182N,  542W,  30, 1003, TD,
AL, 17, 2023092906,   , MIWU, 0, 184N,  546W,  35, 1001, TS,
AL, 17, 2023092912,   , MIWU, 0, 184N,  551W,  35, 1000, TS,
AL, 17, 2023092918,   , MIWU, 0, 182N,  556W,  35, 1000, TS,
AL, 17, 2023093000,   , MIWU, 0, 179N,  560W,  40,  998, TS,
AL, 17, 2023093006,   , MIWU, 0, 174N,  560W,  45,  996, TS,
AL, 17, 2023093012,   , MIWU, 0, 169N,  561W,  45,  996, TS,
AL, 17, 2023093018,   , MIWU, 0, 164N,  562W,  45,  996, TS,
AL, 17, 2023100100,   , MIWU, 0, 161N,  566W,  45,  997, TS,
AL, 17, 2023100106,   , MIWU, 0, 160N,  573W,  45,  997, TS,
AL, 17, 2023100112,   , MIWU, 0, 160N,  581W,  40,  999, TS,
AL, 17, 2023100118,   , MIWU, 0, 162N,  586W,  40,  999, TS,
AL, 17, 2023100200,   , MIWU, 0, 165N,  589W,  40,  999, TS,
AL, 17, 2023100206,   , MIWU, 0, 167N,  595W,  40,  999, TS,
AL, 17, 2023100212,   , MIWU, 0, 169N,  603W,  40, 1000, TS,
AL, 17, 2023100218,   , MIWU, 0, 173N,  612W,  40, 1000, TS,
AL, 17, 2023100300,   , MIWU, 0, 177N,  619W,  35, 1002, TS,
AL, 17, 2023100306,   , MIWU, 0, 182N,  623W,  35, 1002, TS,
AL, 17, 2023100312,   , MIWU, 0, 186N,  630W,  30, 1004, TD,
AL, 17, 2023100318,   , MIWU, 0, 194N,  640W,  30, 1005, TD,
AL, 17, 2023100400,   , MIWU, 0, 200N,  651W,  30, 1005, TD,
AL, 17, 2023100406,   , MIWU, 0, 205N,  656W,  30, 1005, TD,
AL, 17, 2023100412,   , MIWU, 0, 211N,  655W,  30, 1005, TD,
AL, 17, 2023100418,   , MIWU, 0, 220N,  653W,  30, 1005, TD,
AL, 17, 2023100500,   , MIWU, 0, 230N,  654W,  30, 1004, TD,
AL, 17, 2023100506,   , MIWU, 0, 241N,  656W,  30, 1004, TD,
AL, 17, 2023100512,   , MIWU, 0, 252N,  659W,  30, 1004, TD,
AL, 17, 2023100518,   , MIWU, 0, 263N,  662W,  30, 1004, TD,
AL, 17, 2023100600,   , MIWU, 0, 275N,  660W,  30, 1004, TD,
AL, 17, 2023100606,   , MIWU, 0, 288N,  657W,  30, 1004, EX,
AL, 17, 2023100612,   , MIWU, 0, 302N,  648W,  30, 1004, EX,
AL, 17, 2023100618,   , MIWU, 0, 319N,  639W,  30, 1005, EX,
AL, 17, 2023100700,   , MIWU, 0, 332N,  627W,  30, 1005, EX,
AL, 17, 2023100706,   , MIWU, 0, 346N,  614W,  25, 1007, EX,
