EP, 03, 2023071012,   , MIWU, 0, 120N, 1016W,  15, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Calvin,
EP, 03, 2023071018,   , MIWU, 0, 119N, 1028W,  20, 1009, DB,
EP, 03, 2023071100,   , MIWU, 0, 119N, 1039W,  20, 1009, DB,
EP, 03, 2023071106,   , MIWU, 0, 120N, 1049W,  25, 1008, TD,
EP, 03, 2023071112,   , MIWU, 0, 122N, 1059W,  25, 1008, TD,
EP, 03, 2023071118,   , MIWU, 0, 123N, 1071W,  30, 1007, TD,
EP, 03, 2023071200,   , MIWU, 0, 123N, 1084W,  35, 1006, TS,
EP, 03, 2023071206,   , MIWU, 0, 122N, 1098W,  45, 1002, TS,
EP, 03, 2023071212,   , MIWU, 0, 122N, 1113W,  50,  999, TS,
EP, 03, 2023071218,   , MIWU, 0, 122N, 1128W,  55,  996, TS,
EP, 03, 2023071300,   , MIWU, 0, 123N, 1140W,  60,  993, TS,
EP, 03, 2023071306,   , MIWU, 0, 124N, 1152W,  65,  990, HU,
EP, 03, 2023071312,   , MIWU, 0, 126N, 1165W,  65,  989, HU,
EP, 03, 2023071318,   , MIWU, 0, 127N, 1180W,  75,  983, HU,
EP, 03, 2023071400,   , MIWU, 0, 130N, 1198W,  90,  974, HU,
EP, 03, 2023071406,   , MIWU, 0, 132N, 1212W, 105,  965, HU,
EP, 03, 2023071409,   , MIWU, 0, 133N, 1219W, 110,  962, HU,
EP, 03, 2023071412,   , MIWU, 0, 135N, 1226W, 105,  964, HU,
EP, 03, 2023071418,   , MIWU, 0, 138N, 1240W, 100,  966, HU,
EP, 03, 2023071500,   , MIWU, 0, 140N, 1255W,  95,  969, HU,
EP, 03, 2023071506,   , MIWU, 0, 143N, 1269W,  90,  972, HU,
EP, 03, 2023071512,   , MIWU, 0, 145N, 1283W,  80,  978, HU,
EP, 03, 2023071518,   , MIWU, 0, 148N, 1298W,  80,  978, HU,
EP, 03, 2023071600,   , MIWU, 0, 152N, 1313W,  80,  979, HU,
EP, 03, 2023071606,   , MIWU, 0, 156N, 1326W,  70,  985, HU,
EP, 03, 2023071612,   , MIWU, 0, 159N, 1340W,  60,  991, TS,
EP, 03, 2023071618,   , MIWU, 0, 161N, 1356W,  50,  995, TS,
EP, 03, 2023071700,   , MIWU, 0, 163N, 1372W,  45,  997, TS,
EP, 03, 2023071706,   , MIWU, 0, 166N, 1388W,  40,  999, TS,
EP, 03, 2023071712,   , MIWU, 0, 170N, 1406W,  40, 1000, TS,
EP, 03, 2023071718,   , MIWU, 0, 173N, 1423W,  35, 1002, TS,
EP, 03, 2023071800,   , MIWU, 0, 175N, 1443W,  35, 1003, TS,
EP, 03, 2023071806,   , MIWU, 0, 177N, 1464W,  40, 1002, TS,
EP, 03, 2023071812,   , MIWU, 0, 178N, 1485W,  45, 1001, TS,
EP, 03, 2023071818,   , MIWU, 0, 178N, 1504W,  45, 1001, TS,
EP, 03, 2023071821,   , MIWU, 0, 178N, 1513W,  45, 1001, TS,
EP, 03, 2023071900,   , MIWU, 0, 177N, 1522W,  40, 1003, TS,
EP, 03, 2023071906,   , MIWU, 0, 177N, 1539W,  35, 1005, LO,
EP, 03, 2023071912,   , MIWU, 0, 179N, 1558W,  35, 1005, LO,
EP, 03, 2023071918,   , MIWU, 0, 180N, 1578W,  30, 1006, LO,
EP, 03, 2023072000,   , MIWU, 0, 182N, 1597W,  25, 1008, LO,
EP, 03, 2023072006,   , MIWU, 0, 184N, 1613W,  20, 1009, LO,
EP, 03, 2023072012,   , MIWU, 0, 186N, 1631W,  15, 1010, LO,
EP, 03, 2023072018,   , MIWU, 0, 187N, 1650W,  15, 1011, LO,
