EP, 05, 2023073100,   , MIWU, 0, 137N, 1001W,  15, 1012, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Dora,
EP, 05, 2023073106,   , MIWU, 0, 141N, 1012W,  15, 1012, DB,
EP, 05, 2023073112,   , MIWU, 0, 146N, 1023W,  20, 1011, DB,
EP, 05, 2023073118,   , MIWU, 0, 150N, 1035W,  25, 1010, TD,
EP, 05, 2023080100,   , MIWU, 0, 154N, 1047W,  35, 1007, TS,
EP, 05, 2023080106,   , MIWU, 0, 157N, 1062W,  40, 1005, TS,
EP, 05, 2023080112,   , MIWU, 0, 159N, 1078W,  50, 1000, TS,
EP, 05, 2023080118,   , MIWU, 0, 160N, 1092W,  60,  996, TS,
EP, 05, 2023080200,   , MIWU, 0, 160N, 1107W,  70,  990, HU,
EP, 05, 2023080206,   , MIWU, 0, 159N, 1120W,  75,  987, HU,
EP, 05, 2023080212,   , MIWU, 0, 158N, 1134W,  85,  981, HU,
EP, 05, 2023080218,   , MIWU, 0, 156N, 1148W,  95,  975, HU,
EP, 05, 2023080300,   , MIWU, 0, 153N, 1162W, 110,  966, HU,
EP, 05, 2023080303,   , MIWU, 0, 151N, 1170W, 120,  960, HU,
EP, 05, 2023080306,   , MIWU, 0, 150N, 1177W, 115,  962, HU,
EP, 05, 2023080312,   , MIWU, 0, 147N, 1192W, 105,  966, HU,
EP, 05, 2023080318,   , MIWU, 0, 145N, 1210W, 110,  964, HU,
EP, 05, 2023080400,   , MIWU, 0, 142N, 1227W, 120,  957, HU,
EP, 05, 2023080406,   , MIWU, 0, 140N, 1243W, 110,  961, HU,
EP, 05, 2023080412,   , MIWU, 0, 140N, 1260W,  90,  973, HU,
EP, 05, 2023080418,   , MIWU, 0, 139N, 1277W,  75,  980, HU,
EP, 05, 2023080500,   , MIWU, 0, 138N, 1293W,  80,  978, HU,
EP, 05, 2023080506,   , MIWU, 0, 136N, 1309W,  90,  973, HU,
EP, 05, 2023080512,   , MIWU, 0, 134N, 1324W, 100,  967, HU,
EP, 05, 2023080518,   , MIWU, 0, 133N, 1340W, 120,  955, HU,
EP, 05, 2023080600,   , MIWU, 0, 132N, 1356W, 130,  949, HU,
EP, 05, 2023080606,   , MIWU, 0, 130N, 1372W, 125,  951, HU,
EP, 05, 2023080612,   , MIWU, 0, 129N, 1391W, 130,  948, HU,
EP, 05, 2023080618,   , MIWU, 0, 128N, 1412W, 135,  946, HU,
EP, 05, 2023080621,   , MIWU, 0, 127N, 1422W, 135,  945, HU,
EP, 05, 2023080700,   , MIWU, 0, 126N, 1432W, 135,  945, HU,
EP, 05, 2023080706,   , MIWU, 0, 125N, 1453W, 130,  947, HU,
EP, 05, 2023080712,   , MIWU, 0, 124N, 1473W, 125,  950, HU,
EP, 05, 2023080718,   , MIWU, 0, 123N, 1493W, 115,  954, HU,
EP, 05, 2023080800,   , MIWU, 0, 121N, 1513W, 115,  953, HU,
EP, 05, 2023080806,   , MIWU, 0, 118N, 1533W, 115,  953, HU,
EP, 05, 2023080812,   , MIWU, 0, 116N, 1552W, 110,  955, HU,
EP, 05, 2023080818,   , MIWU, 0, 115N, 1571W, 115,  953, HU,
EP, 05, 2023080900,   , MIWU, 0, 114N, 1592W, 120,  954, HU,
EP, 05, 2023080906,   , MIWU, 0, 114N, 1612W, 125,  951, HU,
EP, 05, 2023080912,   , MIWU, 0, 114N, 1632W, 135,  945, HU,
EP, 05, 2023080918,   , MIWU, 0, 115N, 1651W, 135,  943, HU,
EP, 05, 2023081000,   , MIWU, 0, 117N, 1670W, 130,  945, HU,
EP, 05, 2023081006,   , MIWU, 0, 120N, 1687W, 110,  956, HU,
EP, 05, 2023081012,   , MIWU, 0, 122N, 1706W,  90,  968, HU,
EP, 05, 2023081018,   , MIWU, 0, 124N, 1722W, 100,  964, HU,
EP, 05, 2023081100,   , MIWU, 0, 129N, 1739W, 110,  960, HU,
EP, 05, 2023081106,   , MIWU, 0, 136N, 1755W, 105,  962, HU,
EP, 05, 2023081112,   , MIWU, 0, 143N, 1772W, 105,  962, HU,
EP, 05, 2023081118,   , MIWU, 0, 149N, 1786W,  95,  968, HU,
EP, 05, 2023081200,   , MIWU, 0, 155N, 1800E, 100,  966, TY,
EP, 05, 2023081206,   , MIWU, 0, 162N, 1790E,  95,  969, TY,
EP, 05, 2023081212,   , MIWU, 0, 170N, 1779E,  85,  975, TY,
EP, 05, 2023081218,   , MIWU, 0, 176N, 1766E,  70,  984, TY,
