EP, 09, 2023081500,   , MIWU, 0,  99N,  958W,  20, 1005, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Hilary,
EP, 09, 2023081506,   , MIWU, 0, 101N,  969W,  20, 1005, DB,
EP, 09, 2023081512,   , MIWU, 0, 103N,  981W,  20, 1004, DB,
EP, 09, 2023081518,   , MIWU, 0, 106N,  994W,  20, 1004, DB,
EP, 09, 2023081600,   , MIWU, 0, 110N, 1006W,  25, 1002, TD,
EP, 09, 2023081606,   , MIWU, 0, 116N, 1014W,  30, 1000, TD,
EP, 09, 2023081612,   , MIWU, 0, 124N, 1022W,  35,  998, TS,
EP, 09, 2023081618,   , MIWU, 0, 128N, 1032W,  45,  994, TS,
EP, 09, 2023081700,   , MIWU, 0, 132N, 1044W,  55,  990, TS,
EP, 09, 2023081706,   , MIWU, 0, 142N, 1057W,  60,  987, TS,
EP, 09, 2023081712,   , MIWU, 0, 152N, 1072W,  75,  976, HU,
EP, 09, 2023081718,   , MIWU, 0, 158N, 1083W,  85,  968, HU,
EP, 09, 2023081800,   , MIWU, 0, 163N, 1094W, 100,  956, HU,
EP, 09, 2023081806,   , MIWU, 0, 167N, 1103W, 115,  943, HU,
EP, 09, 2023081812,   , MIWU, 0, 174N, 1112W, 105,  947, HU,
EP, 09, 2023081818,   , MIWU, 0, 183N, 1119W, 105,  946, HU,
EP, 09, 2023081900,   , MIWU, 0, 193N, 1124W, 115,  942, HU,
EP, 09, 2023081902,   , MIWU, 0, 197N, 1126W, 120,  940, HU,
EP, 09, 2023081906,   , MIWU, 0, 203N, 1129W, 115,  943, HU,
EP, 09, 2023081912,   , MIWU, 0, 215N, 1134W, 105,  949, HU,
EP, 09, 2023081918,   , MIWU, 0, 230N, 1138W,  85,  957, HU,
EP, 09, 2023082000,   , MIWU, 0, 245N, 1140W,  70,  963, HU,
EP, 09, 2023082006,   , MIWU, 0, 265N, 1144W,  60,  969, TS,
EP, 09, 2023082012,   , MIWU, 0, 285N, 1151W,  50,  977, TS,
EP, 09, 2023082018,   , MIWU, 0, 305N, 1161W,  40,  985, EX,
EP, 09, 2023082100,   , MIWU, 0, 336N, 1172W,  35,  989, EX,
EP, 09, 2023082106,   , MIWU, 0, 370N, 1181W,  30,  993, EX,
EP, 09, 2023082112,   , MIWU, 0, 400N, 1180W,  25,  996, EX,
EP, 09, 2023082118,   , MIWU, 0, 425N, 1175W,  20,  999, EX,
EP, 09, 2023082200,   , MIWU, 0, 442N, 1157W,  15, 1002, EX,
