EP, 12, 2023091406,   , MIWU, 0, 110N, 1320W,  20, 1010, DB,  0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Twelve-E,
EP, 12, 2023091412,   , MIWU, 0, 113N, 1328W,  20, 1010, DB,
EP, 12, 2023091418,   , MIWU, 0, 118N, 1334W,  20, 1010, DB,
EP, 12, 2023091500,   , MIWU, 0, 125N, 1340W,  20, 1010, DB,
EP, 12, 2023091506,   , MIWU, 0, 135N, 1346W,  25, 1009, TD,
EP, 12, 2023091512,   , MIWU, 0, 144N, 1351W,  30, 1007, TD,
EP, 12, 2023091518,   , MIWU, 0, 149N, 1358W,  30, 1005, TD,
EP, 12, 2023091600,   , MIWU, 0, 149N, 1364W,  30, 1005, TD,
EP, 12, 2023091606,   , MIWU, 0, 147N, 1370W,  30, 1005, TD,
EP, 12, 2023091612,   , MIWU, 0, 145N, 1379W,  30, 1004, TD,
EP, 12, 2023091618,   , MIWU, 0, 141N, 1392W,  25, 1006, TD,
EP, 12, 2023091700,   , MIWU, 0, 138N, 1403W,  20, 1008, DB,
EP, 12, 2023091706,   , MIWU, 0, 135N, 1415W,  20, 1009, DB,
EP, 12, 2023091712,   , MIWU, 0, 134N, 1428W,  25, 1007, TD,
EP, 12, 2023091718,   , MIWU, 0, 133N, 1443W,  30, 1005, TD,
EP, 12, 2023091800,   , MIWU, 0, 129N, 1454W,  30, 1005, TD,
EP, 12, 2023091806,   , MIWU, 0, 123N, 1463W,  25, 1007, TD,
EP, 12, 2023091812,   , MIWU, 0, 120N, 1476W,  20, 1009, DB,
EP, 12, 2023091818,   , MIWU, 0, 119N, 1491W,  20, 1010, DB,
EP, 12, 2023091900,   , MIWU, 0, 117N, 1504W,  20, 1009, DB,
EP, 12, 2023091906,   , MIWU, 0, 115N, 1520W,  25, 1008, TD,
EP, 12, 2023091912,   , MIWU, 0, 112N, 1535W,  25, 1008, TD,
EP, 12, 2023091918,   , MIWU, 0, 110N, 1552W,  20, 1009, DB,
EP, 12, 2023092000,   , MIWU, 0, 108N, 1571W,  20, 1009, DB,
EP, 12, 2023092006,   , MIWU, 0, 106N, 1590W,  20, 1008, DB,
EP, 12, 2023092012,   , MIWU, 0, 107N, 1608W,  20, 1008, DB,
EP, 12, 2023092018,   , MIWU, 0, 109N, 1624W,  20, 1008, DB,
EP, 12, 2023092100,   , MIWU, 0, 111N, 1642W,  20, 1008, DB,
EP, 12, 2023092106,   , MIWU, 0, 114N, 1660W,  20, 1008, DB,
EP, 12, 2023092112,   , MIWU, 0, 115N, 1679W,  15, 1009, DB,
EP, 12, 2023092118,   , MIWU, 0, 113N, 1698W,  15, 1009, DB,
EP, 12, 2023092200,   , MIWU, 0, 110N, 1717W,  15, 1009, DB,
EP, 12, 2023092206,   , MIWU, 0, 108N, 1736W,  20, 1007, DB,
EP, 12, 2023092212,   , MIWU, 0, 106N, 1753W,  20, 1008, DB,
EP, 12, 2023092218,   , MIWU, 0, 105N, 1768W,  15, 1009, DB,
EP, 12, 2023092300,   , MIWU, 0, 105N, 1780W,  15, 1009, DB,
