IO, 70, 2023012706,   , MIWU, 0,  43N,  925E,  20, 1006, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Unnamed-01,
IO, 70, 2023012712,   , MIWU, 0,  45N,  915E,  20, 1006, DB,
IO, 70, 2023012718,   , MIWU, 0,  49N,  907E,  20, 1005, DB,
IO, 70, 2023012800,   , MIWU, 0,  54N,  902E,  20, 1005, DB,
IO, 70, 2023012806,   , MIWU, 0,  61N,  900E,  25, 1003, TD,
IO, 70, 2023012812,   , MIWU, 0,  67N,  900E,  30, 1001, TD,
IO, 70, 2023012818,   , MIWU, 0,  70N,  899E,  30, 1000, TD,
IO, 70, 2023012900,   , MIWU, 0,  71N,  897E,  35,  998, TS,
IO, 70, 2023012906,   , MIWU, 0,  70N,  894E,  35,  998, TS,
IO, 70, 2023012912,   , MIWU, 0,  70N,  890E,  35,  997, TS,
IO, 70, 2023012918,   , MIWU, 0,  72N,  885E,  30,  999, TD,
IO, 70, 2023013000,   , MIWU, 0,  77N,  878E,  30,  998, TD,
IO, 70, 2023013006,   , MIWU, 0,  81N,  866E,  35,  996, TS,
IO, 70, 2023013012,   , MIWU, 0,  83N,  858E,  35,  996, TS,
IO, 70, 2023013018,   , MIWU, 0,  85N,  852E,  35,  996, TS,
IO, 70, 2023013100,   , MIWU, 0,  88N,  847E,  40,  994, TS,
IO, 70, 2023013106,   , MIWU, 0,  92N,  843E,  40,  994, TS,
IO, 70, 2023013112,   , MIWU, 0,  93N,  838E,  40,  995, TS,
IO, 70, 2023013118,   , MIWU, 0,  90N,  833E,  35,  997, TS,
IO, 70, 2023020100,   , MIWU, 0,  86N,  830E,  35,  997, TS,
IO, 70, 2023020106,   , MIWU, 0,  82N,  829E,  35,  998, TS,
IO, 70, 2023020112,   , MIWU, 0,  80N,  827E,  30, 1000, TD,
IO, 70, 2023020118,   , MIWU, 0,  81N,  822E,  30, 1000, TD,
IO, 70, 2023020200,   , MIWU, 0,  81N,  813E,  25, 1002, TD,
IO, 70, 2023020206,   , MIWU, 0,  79N,  805E,  20, 1004, DB,
IO, 70, 2023020212,   , MIWU, 0,  74N,  798E,  15, 1006, DB,
IO, 70, 2023020218,   , MIWU, 0,  71N,  792E,  15, 1007, DB,
