WP, 08, 2023082012,   , MIWU, 0, 181N, 1564E,  15, 1009, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Damrey,
WP, 08, 2023082018,   , MIWU, 0, 184N, 1561E,  15, 1009, DB,
WP, 08, 2023082100,   , MIWU, 0, 186N, 1558E,  20, 1008, DB,
WP, 08, 2023082106,   , MIWU, 0, 189N, 1555E,  20, 1007, DB,
WP, 08, 2023082112,   , MIWU, 0, 192N, 1550E,  25, 1005, TD,
WP, 08, 2023082118,   , MIWU, 0, 195N, 1544E,  25, 1005, TD,
WP, 08, 2023082200,   , MIWU, 0, 195N, 1532E,  25, 1004, TD,
WP, 08, 2023082206,   , MIWU, 0, 191N, 1524E,  25, 1004, TD,
WP, 08, 2023082212,   , MIWU, 0, 183N, 1517E,  25, 1004, TD,
WP, 08, 2023082218,   , MIWU, 0, 177N, 1512E,  30, 1002, TD,
WP, 08, 2023082300,   , MIWU, 0, 173N, 1510E,  30, 1002, TD,
WP, 08, 2023082306,   , MIWU, 0, 172N, 1507E,  30, 1003, TD,
WP, 08, 2023082312,   , MIWU, 0, 170N, 1504E,  30, 1003, TD,
WP, 08, 2023082318,   , MIWU, 0, 168N, 1503E,  30, 1003, TD,
WP, 08, 2023082400,   , MIWU, 0, 168N, 1505E,  30, 1003, TD,
WP, 08, 2023082406,   , MIWU, 0, 170N, 1509E,  30, 1003, TD,
WP, 08, 2023082412,   , MIWU, 0, 174N, 1516E,  35, 1002, TS,
WP, 08, 2023082418,   , MIWU, 0, 181N, 1528E,  40, 1000, TS,
WP, 08, 2023082500,   , MIWU, 0, 190N, 1543E,  45,  997, TS,
WP, 08, 2023082506,   , MIWU, 0, 204N, 1553E,  50,  994, TS,
WP, 08, 2023082512,   , MIWU, 0, 216N, 1553E,  45,  996, TS,
WP, 08, 2023082518,   , MIWU, 0, 232N, 1547E,  50,  993, TS,
WP, 08, 2023082600,   , MIWU, 0, 246N, 1538E,  60,  987, TS,
WP, 08, 2023082606,   , MIWU, 0, 263N, 1527E,  70,  981, TY,
WP, 08, 2023082612,   , MIWU, 0, 278N, 1510E,  70,  980, TY,
WP, 08, 2023082618,   , MIWU, 0, 297N, 1493E,  75,  977, TY,
WP, 08, 2023082700,   , MIWU, 0, 315N, 1474E,  75,  976, TY,
WP, 08, 2023082706,   , MIWU, 0, 338N, 1458E,  65,  980, TY,
WP, 08, 2023082712,   , MIWU, 0, 358N, 1447E,  60,  982, TS,
WP, 08, 2023082718,   , MIWU, 0, 375N, 1442E,  60,  983, TS,
WP, 08, 2023082800,   , MIWU, 0, 387N, 1445E,  65,  981, TY,
WP, 08, 2023082806,   , MIWU, 0, 395N, 1456E,  65,  981, TY,
WP, 08, 2023082812,   , MIWU, 0, 402N, 1477E,  60,  983, TS,
WP, 08, 2023082818,   , MIWU, 0, 407N, 1500E,  55,  985, TS,
WP, 08, 2023082900,   , MIWU, 0, 412N, 1530E,  50,  987, TS,
WP, 08, 2023082906,   , MIWU, 0, 415N, 1570E,  50,  987, EX,
WP, 08, 2023082912,   , MIWU, 0, 414N, 1616E,  50,  986, EX,
WP, 08, 2023082918,   , MIWU, 0, 414N, 1667E,  55,  982, EX,
WP, 08, 2023083000,   , MIWU, 0, 418N, 1728E,  60,  978, EX,
WP, 08, 2023083006,   , MIWU, 0, 431N, 1780E,  65,  974, EX,
WP, 08, 2023083012,   , MIWU, 0, 453N, 1782W,  65,  972, EX,
WP, 08, 2023083018,   , MIWU, 0, 476N, 1756W,  70,  968, EX,
WP, 08, 2023083100,   , MIWU, 0, 501N, 1726W,  70,  966, EX,
WP, 08, 2023083106,   , MIWU, 0, 522N, 1698W,  65,  968, EX,
WP, 08, 2023083112,   , MIWU, 0, 547N, 1664W,  55,  973, EX,
WP, 08, 2023083118,   , MIWU, 0, 570N, 1635W,  45,  980, EX,
WP, 08, 2023090100,   , MIWU, 0, 594N, 1606W,  35,  988, EX,
WP, 08, 2023090106,   , MIWU, 0, 611N, 1574W,  30,  992, EX,
