WP, 11, 2023082818,   , MIWU, 0, 105N, 1565E,  20, 1004, DB,  0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Kirogi,
WP, 11, 2023082900,   , MIWU, 0, 108N, 1561E,  20, 1004, DB,
WP, 11, 2023082906,   , MIWU, 0, 111N, 1556E,  20, 1004, DB,
WP, 11, 2023082912,   , MIWU, 0, 114N, 1550E,  30, 1000, TD,
WP, 11, 2023082918,   , MIWU, 0, 118N, 1545E,  35,  998, TS,
WP, 11, 2023083000,   , MIWU, 0, 122N, 1544E,  40,  996, TS,
WP, 11, 2023083006,   , MIWU, 0, 127N, 1544E,  50,  992, TS,
WP, 11, 2023083012,   , MIWU, 0, 134N, 1544E,  60,  988, TS,
WP, 11, 2023083018,   , MIWU, 0, 144N, 1545E,  70,  983, TY,
WP, 11, 2023083100,   , MIWU, 0, 155N, 1545E,  70,  982, TY,
WP, 11, 2023083106,   , MIWU, 0, 167N, 1544E,  70,  982, TY,
WP, 11, 2023083112,   , MIWU, 0, 180N, 1540E,  65,  984, TY,
WP, 11, 2023083118,   , MIWU, 0, 193N, 1529E,  60,  986, TS,
WP, 11, 2023090100,   , MIWU, 0, 206N, 1518E,  55,  988, TS,
WP, 11, 2023090106,   , MIWU, 0, 218N, 1506E,  50,  990, TS,
WP, 11, 2023090112,   , MIWU, 0, 230N, 1494E,  45,  992, TS,
WP, 11, 2023090118,   , MIWU, 0, 243N, 1483E,  45,  991, TS,
WP, 11, 2023090200,   , MIWU, 0, 254N, 1474E,  40,  993, TS,
WP, 11, 2023090206,   , MIWU, 0, 271N, 1462E,  35,  995, TS,
WP, 11, 2023090212,   , MIWU, 0, 284N, 1447E,  35,  996, TS,
WP, 11, 2023090218,   , MIWU, 0, 291N, 1432E,  40,  994, TS,
WP, 11, 2023090300,   , MIWU, 0, 297N, 1417E,  35,  996, TS,
WP, 11, 2023090306,   , MIWU, 0, 302N, 1406E,  35,  998, TS,
WP, 11, 2023090312,   , MIWU, 0, 307N, 1395E,  35,  996, TS,
WP, 11, 2023090318,   , MIWU, 0, 314N, 1382E,  40,  992, TS,
WP, 11, 2023090400,   , MIWU, 0, 318N, 1369E,  35,  994, SS,
WP, 11, 2023090406,   , MIWU, 0, 316N, 1357E,  35,  994, SS,
WP, 11, 2023090412,   , MIWU, 0, 313N, 1345E,  40,  992, SS,
WP, 11, 2023090418,   , MIWU, 0, 310N, 1334E,  35,  994, SS,
WP, 11, 2023090500,   , MIWU, 0, 306N, 1325E,  30,  996, SD,
WP, 11, 2023090506,   , MIWU, 0, 304N, 1322E,  30,  996, SD,
WP, 11, 2023090512,   , MIWU, 0, 308N, 1324E,  30,  995, SD,
WP, 11, 2023090518,   , MIWU, 0, 314N, 1328E,  30,  995, SD,
WP, 11, 2023090600,   , MIWU, 0, 319N, 1333E,  30,  995, SD,
WP, 11, 2023090606,   , MIWU, 0, 322N, 1340E,  25,  997, SD,
WP, 11, 2023090612,   , MIWU, 0, 321N, 1341E,  20,  999, SD,
WP, 11, 2023090618,   , MIWU, 0, 313N, 1339E,  20,  998, SD,
WP, 11, 2023090700,   , MIWU, 0, 306N, 1340E,  15, 1000, SD,
WP, 11, 2023090706,   , MIWU, 0, 302N, 1343E,  15, 1001, SD,
