WP, 14, 2023092712,   , MIWU, 0, 135N, 1434E,  20, 1006, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Koinu,
WP, 14, 2023092718,   , MIWU, 0, 143N, 1421E,  20, 1006, DB,
WP, 14, 2023092800,   , MIWU, 0, 148N, 1408E,  20, 1006, DB,
WP, 14, 2023092806,   , MIWU, 0, 150N, 1394E,  20, 1005, DB,
WP, 14, 2023092812,   , MIWU, 0, 152N, 1380E,  25, 1003, TD,
WP, 14, 2023092818,   , MIWU, 0, 153N, 1366E,  30, 1001, TD,
WP, 14, 2023092900,   , MIWU, 0, 153N, 1354E,  30, 1000, TD,
WP, 14, 2023092906,   , MIWU, 0, 153N, 1345E,  35,  998, TS,
WP, 14, 2023092912,   , MIWU, 0, 153N, 1334E,  40,  996, TS,
WP, 14, 2023092918,   , MIWU, 0, 153N, 1325E,  40,  995, TS,
WP, 14, 2023093000,   , MIWU, 0, 154N, 1320E,  45,  993, TS,
WP, 14, 2023093006,   , MIWU, 0, 157N, 1316E,  45,  992, TS,
WP, 14, 2023093012,   , MIWU, 0, 162N, 1311E,  50,  989, TS,
WP, 14, 2023093018,   , MIWU, 0, 169N, 1303E,  55,  986, TS,
WP, 14, 2023100100,   , MIWU, 0, 175N, 1295E,  60,  983, TS,
WP, 14, 2023100106,   , MIWU, 0, 180N, 1291E,  65,  980, TY,
WP, 14, 2023100112,   , MIWU, 0, 183N, 1287E,  75,  972, TY,
WP, 14, 2023100118,   , MIWU, 0, 186N, 1281E,  85,  964, TY,
WP, 14, 2023100200,   , MIWU, 0, 190N, 1273E, 100,  952, TY,
WP, 14, 2023100206,   , MIWU, 0, 195N, 1265E, 105,  948, TY,
WP, 14, 2023100212,   , MIWU, 0, 198N, 1260E, 110,  944, TY,
WP, 14, 2023100218,   , MIWU, 0, 202N, 1256E, 100,  948, TY,
WP, 14, 2023100300,   , MIWU, 0, 207N, 1252E,  90,  952, TY,
WP, 14, 2023100306,   , MIWU, 0, 212N, 1249E,  80,  956, TY,
WP, 14, 2023100312,   , MIWU, 0, 216N, 1245E,  85,  954, TY,
WP, 14, 2023100318,   , MIWU, 0, 219N, 1240E,  95,  950, TY,
WP, 14, 2023100400,   , MIWU, 0, 221N, 1234E, 105,  944, TY,
WP, 14, 2023100406,   , MIWU, 0, 222N, 1227E, 125,  935, TY,
WP, 14, 2023100412,   , MIWU, 0, 222N, 1219E, 125,  935, TY,
WP, 14, 2023100418,   , MIWU, 0, 219N, 1212E, 120,  936, TY,
WP, 14, 2023100500,   , MIWU, 0, 219N, 1207E, 100,  946, TY,
WP, 14, 2023100506,   , MIWU, 0, 220N, 1200E,  85,  956, TY,
WP, 14, 2023100512,   , MIWU, 0, 220N, 1192E,  80,  961, TY,
WP, 14, 2023100518,   , MIWU, 0, 219N, 1184E,  75,  967, TY,
WP, 14, 2023100600,   , MIWU, 0, 217N, 1176E,  90,  962, TY,
WP, 14, 2023100606,   , MIWU, 0, 215N, 1169E, 105,  956, TY,
WP, 14, 2023100612,   , MIWU, 0, 213N, 1162E, 115,  952, TY,
WP, 14, 2023100615,   , MIWU, 0, 212N, 1159E, 120,  950, TY,
WP, 14, 2023100618,   , MIWU, 0, 211N, 1156E, 120,  952, TY,
WP, 14, 2023100700,   , MIWU, 0, 211N, 1153E, 110,  959, TY,
WP, 14, 2023100706,   , MIWU, 0, 211N, 1151E, 105,  963, TY,
WP, 14, 2023100712,   , MIWU, 0, 212N, 1150E,  95,  968, TY,
WP, 14, 2023100718,   , MIWU, 0, 213N, 1149E,  80,  977, TY,
WP, 14, 2023100800,   , MIWU, 0, 214N, 1146E,  75,  981, TY,
WP, 14, 2023100806,   , MIWU, 0, 215N, 1142E,  80,  981, TY,
WP, 14, 2023100812,   , MIWU, 0, 216N, 1139E,  80,  980, TY,
WP, 14, 2023100818,   , MIWU, 0, 218N, 1137E,  70,  988, TY,
WP, 14, 2023100900,   , MIWU, 0, 218N, 1134E,  50,  995, TS,
WP, 14, 2023100906,   , MIWU, 0, 217N, 1129E,  35, 1004, TS,
WP, 14, 2023100912,   , MIWU, 0, 214N, 1123E,  25, 1009, TD,
WP, 14, 2023100918,   , MIWU, 0, 210N, 1118E,  20, 1011, DB,
WP, 14, 2023101000,   , MIWU, 0, 207N, 1110E,  15, 1013, DB,
WP, 14, 2023101006,   , MIWU, 0, 208N, 1103E,  15, 1014, DB,
WP, 14, 2023101012,   , MIWU, 0, 207N, 1096E,  15, 1014, DB,
