WP, 18, 2023121506,   , MIWU, 0,  60N, 1383E,  15, 1012, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Jelawat,
WP, 18, 2023121512,   , MIWU, 0,  63N, 1371E,  20, 1010, DB,
WP, 18, 2023121518,   , MIWU, 0,  65N, 1360E,  20, 1009, DB,
WP, 18, 2023121600,   , MIWU, 0,  66N, 1348E,  20, 1009, DB,
WP, 18, 2023121606,   , MIWU, 0,  67N, 1335E,  25, 1007, TD,
WP, 18, 2023121612,   , MIWU, 0,  68N, 1322E,  30, 1005, TD,
WP, 18, 2023121618,   , MIWU, 0,  68N, 1312E,  35, 1002, TS,
WP, 18, 2023121700,   , MIWU, 0,  69N, 1302E,  40, 1000, TS,
WP, 18, 2023121706,   , MIWU, 0,  72N, 1293E,  40, 1000, TS,
WP, 18, 2023121712,   , MIWU, 0,  76N, 1283E,  40,  999, TS,
WP, 18, 2023121718,   , MIWU, 0,  78N, 1273E,  35, 1001, TS,
WP, 18, 2023121800,   , MIWU, 0,  79N, 1263E,  30, 1003, TD,
WP, 18, 2023121806,   , MIWU, 0,  78N, 1254E,  25, 1005, TD,
WP, 18, 2023121812,   , MIWU, 0,  79N, 1245E,  20, 1007, DB,
WP, 18, 2023121818,   , MIWU, 0,  82N, 1235E,  15, 1009, DB,
WP, 18, 2023121900,   , MIWU, 0,  85N, 1224E,  10, 1011, DB,
WP, 18, 2023121906,   , MIWU, 0,  85N, 1212E,  10, 1012, DB,
WP, 18, 2023121912,   , MIWU, 0,  84N, 1199E,  15, 1010, DB,
WP, 18, 2023121918,   , MIWU, 0,  85N, 1185E,  15, 1009, DB,
WP, 18, 2023122000,   , MIWU, 0,  88N, 1170E,  15, 1009, DB,
WP, 18, 2023122006,   , MIWU, 0,  95N, 1152E,  20, 1007, DB,
WP, 18, 2023122012,   , MIWU, 0,  96N, 1138E,  20, 1007, DB,
WP, 18, 2023122018,   , MIWU, 0,  94N, 1129E,  25, 1005, TD,
WP, 18, 2023122100,   , MIWU, 0,  85N, 1122E,  25, 1005, TD,
WP, 18, 2023122106,   , MIWU, 0,  77N, 1114E,  30, 1003, TD,
WP, 18, 2023122112,   , MIWU, 0,  68N, 1106E,  30, 1003, TD,
WP, 18, 2023122118,   , MIWU, 0,  61N, 1096E,  35, 1001, TS,
WP, 18, 2023122200,   , MIWU, 0,  54N, 1090E,  35, 1000, TS,
WP, 18, 2023122206,   , MIWU, 0,  52N, 1090E,  30, 1002, TD,
WP, 18, 2023122212,   , MIWU, 0,  49N, 1086E,  25, 1004, TD,
WP, 18, 2023122218,   , MIWU, 0,  46N, 1080E,  20, 1006, DB,
WP, 18, 2023122300,   , MIWU, 0,  42N, 1072E,  20, 1007, DB,
WP, 18, 2023122306,   , MIWU, 0,  37N, 1059E,  25, 1005, TD,
WP, 18, 2023122312,   , MIWU, 0,  35N, 1044E,  25, 1004, TD,
WP, 18, 2023122318,   , MIWU, 0,  34N, 1032E,  20, 1006, DB,
WP, 18, 2023122400,   , MIWU, 0,  35N, 1022E,  15, 1008, DB,
WP, 18, 2023122406,   , MIWU, 0,  38N, 1015E,  10, 1010, DB,
