WP, B0, 2023040918,   , MIWU, 0, 100N, 1344E,  20, 1008, DB,  0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Amang-PH,
WP, B0, 2023041000,   , MIWU, 0, 106N, 1335E,  20, 1008, DB,
WP, B0, 2023041006,   , MIWU, 0, 114N, 1322E,  20, 1007, DB,
WP, B0, 2023041012,   , MIWU, 0, 124N, 1306E,  25, 1005, TD,
WP, B0, 2023041018,   , MIWU, 0, 133N, 1288E,  30, 1003, TD,
WP, B0, 2023041100,   , MIWU, 0, 137N, 1270E,  40,  999, TS,
WP, B0, 2023041106,   , MIWU, 0, 139N, 1256E,  35, 1001, TS,
WP, B0, 2023041112,   , MIWU, 0, 138N, 1248E,  30, 1003, TD,
WP, B0, 2023041118,   , MIWU, 0, 138N, 1243E,  30, 1004, TD,
WP, B0, 2023041200,   , MIWU, 0, 138N, 1242E,  30, 1004, TD,
WP, B0, 2023041206,   , MIWU, 0, 139N, 1240E,  25, 1006, TD,
WP, B0, 2023041212,   , MIWU, 0, 140N, 1236E,  20, 1008, DB,
WP, B0, 2023041218,   , MIWU, 0, 141N, 1230E,  20, 1009, DB,
WP, B0, 2023041300,   , MIWU, 0, 143N, 1223E,  15, 1011, DB,
WP, B0, 2023041306,   , MIWU, 0, 147N, 1219E,  15, 1011, DB,
WP, B0, 2023041312,   , MIWU, 0, 152N, 1215E,  20, 1009, DB,
WP, B0, 2023041318,   , MIWU, 0, 155N, 1210E,  15, 1011, DB,
WP, B0, 2023041400,   , MIWU, 0, 156N, 1206E,  10, 1013, DB,
