WP, 71, 2023060812,   , MIWU, 0, 198N, 1501E,  20, 1014, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Unnamed-02,
WP, 71, 2023060818,   , MIWU, 0, 200N, 1492E,  20, 1014, DB,
WP, 71, 2023060900,   , MIWU, 0, 204N, 1481E,  20, 1013, DB,
WP, 71, 2023060906,   , MIWU, 0, 210N, 1468E,  30, 1009, TD,
WP, 71, 2023060912,   , MIWU, 0, 220N, 1461E,  40, 1005, TS,
WP, 71, 2023060918,   , MIWU, 0, 230N, 1455E,  40, 1005, TS,
WP, 71, 2023061000,   , MIWU, 0, 241N, 1450E,  30, 1006, TD,
WP, 71, 2023061006,   , MIWU, 0, 254N, 1443E,  25, 1008, TD,
WP, 71, 2023061012,   , MIWU, 0, 269N, 1430E,  25, 1008, TD,
WP, 71, 2023061018,   , MIWU, 0, 283N, 1420E,  30, 1006, TD,
WP, 71, 2023061100,   , MIWU, 0, 300N, 1417E,  30, 1007, SD,
WP, 71, 2023061106,   , MIWU, 0, 319N, 1423E,  25, 1009, SD,
WP, 71, 2023061112,   , MIWU, 0, 333N, 1434E,  20, 1011, SD,
WP, 71, 2023061118,   , MIWU, 0, 342N, 1446E,  15, 1012, SD,
