AL, 02, 2024062706,   , MIWU, 0,  99N,  326W,  20, 1012, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Beryl,
AL, 02, 2024062712,   , MIWU, 0,  97N,  340W,  20, 1012, DB,
AL, 02, 2024062718,   , MIWU, 0,  95N,  354W,  20, 1012, DB,
AL, 02, 2024062800,   , MIWU, 0,  93N,  368W,  25, 1010, TD,
AL, 02, 2024062806,   , MIWU, 0,  91N,  383W,  30, 1008, TD,
AL, 02, 2024062812,   , MIWU, 0,  91N,  399W,  35, 1006, TS,
AL, 02, 2024062818,   , MIWU, 0,  91N,  417W,  40, 1004, TS,
AL, 02, 2024062900,   , MIWU, 0,  92N,  434W,  45, 1002, TS,
AL, 02, 2024062906,   , MIWU, 0,  95N,  452W,  55,  998, TS,
AL, 02, 2024062912,   , MIWU, 0,  99N,  470W,  60,  996, TS,
AL, 02, 2024062918,   , MIWU, 0, 101N,  488W,  65,  993, HU,
AL, 02, 2024063000,   , MIWU, 0, 102N,  504W,  75,  987, HU,
AL, 02, 2024063006,   , MIWU, 0, 104N,  521W,  90,  976, HU,
AL, 02, 2024063012,   , MIWU, 0, 106N,  539W, 105,  966, HU,
AL, 02, 2024063015,   , MIWU, 0, 107N,  548W, 115,  960, HU,
AL, 02, 2024063018,   , MIWU, 0, 109N,  557W, 115,  958, HU,
AL, 02, 2024070100,   , MIWU, 0, 112N,  575W, 105,  958, HU,
AL, 02, 2024070106,   , MIWU, 0, 117N,  592W,  95,  957, HU,
AL, 02, 2024070112,   , MIWU, 0, 123N,  608W, 120,  950, HU,
AL, 02, 2024070118,   , MIWU, 0, 130N,  625W, 130,  944, HU,
AL, 02, 2024070200,   , MIWU, 0, 137N,  643W, 140,  938, HU,
AL, 02, 2024070206,   , MIWU, 0, 144N,  661W, 145,  935, HU,
AL, 02, 2024070209,   , MIWU, 0, 148N,  672W, 150,  932, HU,
AL, 02, 2024070212,   , MIWU, 0, 151N,  682W, 140,  938, HU,
AL, 02, 2024070218,   , MIWU, 0, 157N,  701W, 135,  940, HU,
AL, 02, 2024070300,   , MIWU, 0, 162N,  720W, 130,  942, HU,
AL, 02, 2024070306,   , MIWU, 0, 164N,  738W, 125,  946, HU,
AL, 02, 2024070312,   , MIWU, 0, 168N,  753W, 125,  948, HU,
AL, 02, 2024070318,   , MIWU, 0, 173N,  767W, 120,  952, HU,
AL, 02, 2024070321,   , MIWU, 0, 177N,  777W, 115,  956, HU,
AL, 02, 2024070400,   , MIWU, 0, 179N,  784W, 110,  960, HU,
AL, 02, 2024070406,   , MIWU, 0, 182N,  800W, 100,  966, HU,
AL, 02, 2024070412,   , MIWU, 0, 187N,  818W,  90,  972, HU,
AL, 02, 2024070418,   , MIWU, 0, 193N,  835W,  95,  970, HU,
AL, 02, 2024070421,   , MIWU, 0, 195N,  842W, 105,  966, HU,
AL, 02, 2024070500,   , MIWU, 0, 196N,  848W, 100,  969, HU,
AL, 02, 2024070506,   , MIWU, 0, 198N,  860W,  90,  975, HU,
AL, 02, 2024070512,   , MIWU, 0, 202N,  872W,  75,  984, HU,
AL, 02, 2024070518,   , MIWU, 0, 208N,  883W,  55,  994, TS,
AL, 02, 2024070600,   , MIWU, 0, 216N,  894W,  45,  998, TS,
AL, 02, 2024070606,   , MIWU, 0, 222N,  904W,  45,  999, TS,
AL, 02, 2024070612,   , MIWU, 0, 227N,  915W,  45,  999, TS,
AL, 02, 2024070618,   , MIWU, 0, 233N,  924W,  50,  997, TS,
AL, 02, 2024070700,   , MIWU, 0, 240N,  934W,  50,  997, TS,
AL, 02, 2024070706,   , MIWU, 0, 248N,  943W,  50,  996, TS,
AL, 02, 2024070712,   , MIWU, 0, 255N,  949W,  55,  994, TS,
AL, 02, 2024070718,   , MIWU, 0, 264N,  953W,  55,  993, TS,
AL, 02, 2024070800,   , MIWU, 0, 272N,  956W,  60,  990, TS,
AL, 02, 2024070806,   , MIWU, 0, 281N,  958W,  75,  981, HU,
AL, 02, 2024070809,   , MIWU, 0, 287N,  958W,  80,  978, HU,
AL, 02, 2024070812,   , MIWU, 0, 293N,  957W,  70,  984, HU,
AL, 02, 2024070818,   , MIWU, 0, 308N,  953W,  50,  996, TS,
AL, 02, 2024070900,   , MIWU, 0, 322N,  947W,  30, 1004, TD,
AL, 02, 2024070906,   , MIWU, 0, 335N,  936W,  30, 1004, EX,
AL, 02, 2024070912,   , MIWU, 0, 350N,  920W,  30, 1004, EX,
AL, 02, 2024070918,   , MIWU, 0, 366N,  904W,  25, 1006, EX,
AL, 02, 2024071000,   , MIWU, 0, 379N,  886W,  25, 1006, EX,
AL, 02, 2024071006,   , MIWU, 0, 393N,  870W,  25, 1006, EX,
AL, 02, 2024071012,   , MIWU, 0, 406N,  851W,  20, 1007, EX,
AL, 02, 2024071018,   , MIWU, 0, 416N,  832W,  20, 1007, EX,
AL, 02, 2024071100,   , MIWU, 0, 424N,  810W,  20, 1007, EX,
AL, 02, 2024071106,   , MIWU, 0, 430N,  788W,  20, 1007, EX,
AL, 02, 2024071112,   , MIWU, 0, 436N,  764W,  20, 1007, EX,
