AL, 03, 2024062900,   , MIWU, 0, 183N,  863W,  20, 1009, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Chris,
AL, 03, 2024062906,   , MIWU, 0, 182N,  876W,  20, 1009, DB,
AL, 03, 2024062912,   , MIWU, 0, 182N,  889W,  20, 1009, DB,
AL, 03, 2024062918,   , MIWU, 0, 184N,  902W,  20, 1009, DB,
AL, 03, 2024063000,   , MIWU, 0, 187N,  915W,  25, 1009, DB,
AL, 03, 2024063006,   , MIWU, 0, 190N,  927W,  25, 1008, TD,
AL, 03, 2024063012,   , MIWU, 0, 194N,  937W,  25, 1007, TD,
AL, 03, 2024063018,   , MIWU, 0, 197N,  947W,  30, 1005, TD,
AL, 03, 2024070100,   , MIWU, 0, 200N,  958W,  40, 1003, TS,
AL, 03, 2024070103,   , MIWU, 0, 201N,  963W,  40, 1003, TS,
AL, 03, 2024070106,   , MIWU, 0, 201N,  970W,  35, 1006, TS,
AL, 03, 2024070112,   , MIWU, 0, 201N,  983W,  25, 1010, TD,
AL, 03, 2024070118,   , MIWU, 0, 200N,  996W,  15, 1012, DB,
