AL, 06, 2024090712,   , MIWU, 0, 187N,  906W,  20, 1008, LO, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Francine,
AL, 06, 2024090718,   , MIWU, 0, 192N,  916W,  20, 1008, LO,
AL, 06, 2024090800,   , MIWU, 0, 196N,  926W,  25, 1006, LO,
AL, 06, 2024090806,   , MIWU, 0, 201N,  935W,  30, 1003, LO,
AL, 06, 2024090812,   , MIWU, 0, 206N,  943W,  35, 1001, LO,
AL, 06, 2024090818,   , MIWU, 0, 212N,  946W,  35, 1000, LO,
AL, 06, 2024090900,   , MIWU, 0, 218N,  949W,  40,  998, LO,
AL, 06, 2024090906,   , MIWU, 0, 224N,  952W,  40,  997, LO,
AL, 06, 2024090912,   , MIWU, 0, 230N,  955W,  45,  995, TS,
AL, 06, 2024090918,   , MIWU, 0, 235N,  958W,  45,  994, TS,
AL, 06, 2024091000,   , MIWU, 0, 239N,  959W,  45,  994, TS,
AL, 06, 2024091006,   , MIWU, 0, 242N,  957W,  50,  991, TS,
AL, 06, 2024091012,   , MIWU, 0, 246N,  954W,  50,  990, TS,
AL, 06, 2024091018,   , MIWU, 0, 250N,  950W,  55,  986, TS,
AL, 06, 2024091100,   , MIWU, 0, 257N,  944W,  65,  978, HU,
AL, 06, 2024091106,   , MIWU, 0, 265N,  938W,  75,  974, HU,
AL, 06, 2024091112,   , MIWU, 0, 275N,  929W,  80,  972, HU,
AL, 06, 2024091118,   , MIWU, 0, 284N,  918W,  85,  970, HU,
AL, 06, 2024091119,   , MIWU, 0, 286N,  916W,  85,  970, HU,
AL, 06, 2024091200,   , MIWU, 0, 294N,  908W,  60,  983, TS,
AL, 06, 2024091206,   , MIWU, 0, 305N,  900W,  40,  993, TS,
AL, 06, 2024091212,   , MIWU, 0, 317N,  898W,  30,  998, TD,
AL, 06, 2024091218,   , MIWU, 0, 335N,  897W,  30,  998, EX,
AL, 06, 2024091300,   , MIWU, 0, 348N,  900W,  30,  999, EX,
AL, 06, 2024091306,   , MIWU, 0, 358N,  908W,  25, 1001, EX,
AL, 06, 2024091312,   , MIWU, 0, 359N,  914W,  20, 1003, EX,
AL, 06, 2024091318,   , MIWU, 0, 356N,  918W,  15, 1005, EX,
AL, 06, 2024091400,   , MIWU, 0, 351N,  916W,  15, 1006, EX,
