AL, 08, 2024091500,   , MIWU, 0, 315N,  765W,  25, 1010, EX, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Eight-L,
AL, 08, 2024091506,   , MIWU, 0, 317N,  769W,  25, 1009, EX,
AL, 08, 2024091512,   , MIWU, 0, 318N,  772W,  30, 1007, EX,
AL, 08, 2024091518,   , MIWU, 0, 320N,  775W,  35, 1005, EX,
AL, 08, 2024091600,   , MIWU, 0, 323N,  778W,  35, 1005, EX,
AL, 08, 2024091606,   , MIWU, 0, 326N,  780W,  40, 1003, SS,
AL, 08, 2024091612,   , MIWU, 0, 329N,  783W,  40, 1002, SS,
AL, 08, 2024091618,   , MIWU, 0, 333N,  790W,  35, 1002, SS,
AL, 08, 2024091700,   , MIWU, 0, 339N,  799W,  35, 1002, EX,
AL, 08, 2024091706,   , MIWU, 0, 345N,  808W,  30, 1004, EX,
AL, 08, 2024091712,   , MIWU, 0, 349N,  816W,  25, 1006, EX,
AL, 08, 2024091718,   , MIWU, 0, 350N,  823W,  20, 1008, EX,
AL, 08, 2024091800,   , MIWU, 0, 348N,  830W,  15, 1010, EX,
AL, 08, 2024091806,   , MIWU, 0, 344N,  835W,  15, 1011, EX,
