AL, 15, 2024101718,   , MIWU, 0, 155N,  810W,  20, 1012, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Nadine,
AL, 15, 2024101800,   , MIWU, 0, 160N,  817W,  20, 1012, DB,
AL, 15, 2024101806,   , MIWU, 0, 166N,  825W,  20, 1012, DB,
AL, 15, 2024101812,   , MIWU, 0, 172N,  835W,  30, 1010, TD,
AL, 15, 2024101818,   , MIWU, 0, 174N,  845W,  30, 1009, TD,
AL, 15, 2024101900,   , MIWU, 0, 172N,  854W,  35, 1007, TS,
AL, 15, 2024101906,   , MIWU, 0, 171N,  865W,  40, 1005, TS,
AL, 15, 2024101912,   , MIWU, 0, 171N,  875W,  50, 1001, TS,
AL, 15, 2024101915,   , MIWU, 0, 171N,  880W,  50, 1000, TS,
AL, 15, 2024101918,   , MIWU, 0, 172N,  886W,  45, 1002, TS,
AL, 15, 2024102000,   , MIWU, 0, 172N,  901W,  35, 1006, TS,
AL, 15, 2024102006,   , MIWU, 0, 171N,  916W,  25, 1009, TD,
AL, 15, 2024102012,   , MIWU, 0, 169N,  929W,  15, 1011, DB,
AL, 15, 2024102018,   , MIWU, 0, 166N,  941W,  10, 1012, DB,
