AL, 17, 2024103100,   , MIWU, 0, 406N,  418W,  25, 1002, EX, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Patty,
AL, 17, 2024103106,   , MIWU, 0, 403N,  419W,  30, 1000, EX,
AL, 17, 2024103112,   , MIWU, 0, 401N,  415W,  35,  997, EX,
AL, 17, 2024103118,   , MIWU, 0, 400N,  410W,  35,  997, EX,
AL, 17, 2024110100,   , MIWU, 0, 399N,  401W,  35,  996, EX,
AL, 17, 2024110106,   , MIWU, 0, 400N,  390W,  40,  993, EX,
AL, 17, 2024110112,   , MIWU, 0, 402N,  374W,  40,  992, EX,
AL, 17, 2024110118,   , MIWU, 0, 405N,  362W,  45,  990, SS,
AL, 17, 2024110200,   , MIWU, 0, 405N,  352W,  50,  988, SS,
AL, 17, 2024110206,   , MIWU, 0, 401N,  342W,  55,  986, SS,
AL, 17, 2024110212,   , MIWU, 0, 394N,  330W,  60,  984, SS,
AL, 17, 2024110218,   , MIWU, 0, 385N,  312W,  65,  982, SS,
AL, 17, 2024110300,   , MIWU, 0, 381N,  290W,  65,  983, SS,
AL, 17, 2024110306,   , MIWU, 0, 380N,  270W,  55,  987, SS,
AL, 17, 2024110312,   , MIWU, 0, 378N,  251W,  45,  992, SS,
AL, 17, 2024110318,   , MIWU, 0, 378N,  229W,  45,  992, TS,
AL, 17, 2024110400,   , MIWU, 0, 380N,  207W,  50,  990, TS,
AL, 17, 2024110406,   , MIWU, 0, 382N,  188W,  40,  994, TS,
AL, 17, 2024110412,   , MIWU, 0, 385N,  170W,  30,  998, TD,
AL, 17, 2024110418,   , MIWU, 0, 390N,  150W,  25, 1000, TD,
AL, 17, 2024110500,   , MIWU, 0, 397N,  133W,  25, 1002, EX,
AL, 17, 2024110506,   , MIWU, 0, 405N,  118W,  20, 1004, EX,
AL, 17, 2024110512,   , MIWU, 0, 412N,  105W,  20, 1004, EX,
AL, 17, 2024110518,   , MIWU, 0, 419N,   97W,  20, 1005, EX,
AL, 17, 2024110600,   , MIWU, 0, 427N,   98W,  20, 1005, EX,
AL, 17, 2024110606,   , MIWU, 0, 438N,  102W,  15, 1007, EX,
AL, 17, 2024110612,   , MIWU, 0, 452N,  108W,  15, 1007, EX,
AL, 17, 2024110618,   , MIWU, 0, 470N,  117W,  15, 1008, EX,
