AL, 18, 2024110218,   , MIWU, 0, 110N,  790W,  20, 1007, LO, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Rafael,
AL, 18, 2024110300,   , MIWU, 0, 114N,  784W,  20, 1007, LO,
AL, 18, 2024110306,   , MIWU, 0, 118N,  778W,  20, 1006, LO,
AL, 18, 2024110312,   , MIWU, 0, 122N,  772W,  25, 1004, LO,
AL, 18, 2024110318,   , MIWU, 0, 126N,  766W,  25, 1004, LO,
AL, 18, 2024110400,   , MIWU, 0, 130N,  765W,  25, 1003, LO,
AL, 18, 2024110406,   , MIWU, 0, 135N,  765W,  30, 1001, TD,
AL, 18, 2024110412,   , MIWU, 0, 142N,  766W,  30, 1000, TD,
AL, 18, 2024110418,   , MIWU, 0, 152N,  767W,  35,  998, TS,
AL, 18, 2024110500,   , MIWU, 0, 161N,  770W,  40,  996, TS,
AL, 18, 2024110506,   , MIWU, 0, 168N,  775W,  45,  994, TS,
AL, 18, 2024110512,   , MIWU, 0, 175N,  782W,  50,  992, TS,
AL, 18, 2024110518,   , MIWU, 0, 185N,  791W,  60,  988, TS,
AL, 18, 2024110600,   , MIWU, 0, 195N,  800W,  70,  984, HU,
AL, 18, 2024110606,   , MIWU, 0, 203N,  810W,  80,  976, HU,
AL, 18, 2024110612,   , MIWU, 0, 212N,  817W,  95,  965, HU,
AL, 18, 2024110615,   , MIWU, 0, 216N,  820W, 105,  955, HU,
AL, 18, 2024110618,   , MIWU, 0, 221N,  823W, 100,  957, HU,
AL, 18, 2024110700,   , MIWU, 0, 228N,  830W,  85,  966, HU,
AL, 18, 2024110706,   , MIWU, 0, 237N,  839W,  80,  969, HU,
AL, 18, 2024110712,   , MIWU, 0, 243N,  848W,  85,  969, HU,
AL, 18, 2024110718,   , MIWU, 0, 245N,  858W,  90,  968, HU,
AL, 18, 2024110800,   , MIWU, 0, 245N,  868W, 100,  962, HU,
AL, 18, 2024110806,   , MIWU, 0, 243N,  877W,  95,  963, HU,
AL, 18, 2024110812,   , MIWU, 0, 242N,  885W,  90,  965, HU,
AL, 18, 2024110818,   , MIWU, 0, 243N,  892W,  80,  972, HU,
AL, 18, 2024110900,   , MIWU, 0, 246N,  898W,  70,  980, HU,
AL, 18, 2024110906,   , MIWU, 0, 249N,  902W,  60,  988, TS,
AL, 18, 2024110912,   , MIWU, 0, 252N,  906W,  55,  992, TS,
AL, 18, 2024110918,   , MIWU, 0, 255N,  910W,  45,  999, TS,
AL, 18, 2024111000,   , MIWU, 0, 257N,  913W,  40, 1001, LO,
AL, 18, 2024111006,   , MIWU, 0, 258N,  915W,  35, 1003, LO,
AL, 18, 2024111012,   , MIWU, 0, 257N,  916W,  30, 1005, LO,
AL, 18, 2024111018,   , MIWU, 0, 257N,  914W,  25, 1007, LO,
AL, 18, 2024111100,   , MIWU, 0, 258N,  911W,  25, 1008, LO,
AL, 18, 2024111106,   , MIWU, 0, 261N,  907W,  20, 1010, LO,
AL, 18, 2024111112,   , MIWU, 0, 266N,  902W,  20, 1010, LO,
AL, 18, 2024111118,   , MIWU, 0, 270N,  898W,  20, 1011, LO,
AL, 18, 2024111200,   , MIWU, 0, 273N,  895W,  20, 1011, LO,
AL, 18, 2024111206,   , MIWU, 0, 275N,  895W,  15, 1013, LO,
AL, 18, 2024111212,   , MIWU, 0, 278N,  897W,  15, 1014, LO,
AL, 18, 2024111218,   , MIWU, 0, 282N,  901W,  15, 1014, LO,
