EP, 03, 2024073000,   , MIWU, 0, 129N, 1005W,  20, 1010, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Carlotta,
EP, 03, 2024073006,   , MIWU, 0, 130N, 1015W,  20, 1010, DB,
EP, 03, 2024073012,   , MIWU, 0, 133N, 1025W,  20, 1010, DB,
EP, 03, 2024073018,   , MIWU, 0, 137N, 1037W,  20, 1010, DB,
EP, 03, 2024073100,   , MIWU, 0, 142N, 1050W,  25, 1008, TD,
EP, 03, 2024073106,   , MIWU, 0, 148N, 1060W,  30, 1006, TD,
EP, 03, 2024073112,   , MIWU, 0, 154N, 1069W,  30, 1005, TD,
EP, 03, 2024073118,   , MIWU, 0, 160N, 1078W,  35, 1003, TS,
EP, 03, 2024080100,   , MIWU, 0, 164N, 1086W,  40, 1000, TS,
EP, 03, 2024080106,   , MIWU, 0, 166N, 1096W,  50,  994, TS,
EP, 03, 2024080112,   , MIWU, 0, 170N, 1106W,  50,  993, TS,
EP, 03, 2024080118,   , MIWU, 0, 174N, 1115W,  55,  990, TS,
EP, 03, 2024080200,   , MIWU, 0, 179N, 1125W,  60,  987, TS,
EP, 03, 2024080206,   , MIWU, 0, 182N, 1135W,  70,  981, HU,
EP, 03, 2024080212,   , MIWU, 0, 184N, 1146W,  80,  974, HU,
EP, 03, 2024080218,   , MIWU, 0, 185N, 1158W,  85,  970, HU,
EP, 03, 2024080300,   , MIWU, 0, 186N, 1171W,  85,  969, HU,
EP, 03, 2024080306,   , MIWU, 0, 187N, 1183W,  80,  971, HU,
EP, 03, 2024080312,   , MIWU, 0, 188N, 1195W,  75,  973, HU,
EP, 03, 2024080318,   , MIWU, 0, 190N, 1205W,  70,  976, HU,
EP, 03, 2024080400,   , MIWU, 0, 193N, 1215W,  65,  982, HU,
EP, 03, 2024080406,   , MIWU, 0, 197N, 1225W,  55,  988, TS,
EP, 03, 2024080412,   , MIWU, 0, 199N, 1235W,  50,  991, TS,
EP, 03, 2024080418,   , MIWU, 0, 200N, 1245W,  45,  993, TS,
EP, 03, 2024080500,   , MIWU, 0, 200N, 1253W,  45,  994, TS,
EP, 03, 2024080506,   , MIWU, 0, 201N, 1260W,  45,  994, TS,
EP, 03, 2024080512,   , MIWU, 0, 203N, 1266W,  40,  996, TS,
EP, 03, 2024080518,   , MIWU, 0, 206N, 1272W,  40,  997, LO,
EP, 03, 2024080600,   , MIWU, 0, 207N, 1279W,  35,  999, LO,
EP, 03, 2024080606,   , MIWU, 0, 207N, 1286W,  35, 1000, LO,
EP, 03, 2024080612,   , MIWU, 0, 206N, 1294W,  35, 1000, LO,
EP, 03, 2024080618,   , MIWU, 0, 205N, 1301W,  30, 1002, LO,
EP, 03, 2024080700,   , MIWU, 0, 204N, 1309W,  30, 1003, LO,
EP, 03, 2024080706,   , MIWU, 0, 202N, 1317W,  30, 1003, LO,
EP, 03, 2024080712,   , MIWU, 0, 200N, 1325W,  25, 1005, LO,
EP, 03, 2024080718,   , MIWU, 0, 200N, 1333W,  20, 1007, LO,
EP, 03, 2024080800,   , MIWU, 0, 200N, 1342W,  20, 1007, LO,
EP, 03, 2024080806,   , MIWU, 0, 199N, 1351W,  20, 1008, LO,
EP, 03, 2024080812,   , MIWU, 0, 197N, 1360W,  15, 1010, LO,
EP, 03, 2024080818,   , MIWU, 0, 193N, 1370W,  15, 1010, LO,
EP, 03, 2024080900,   , MIWU, 0, 186N, 1380W,  15, 1011, LO,
