EP, 06, 2024080312,   , MIWU, 0, 130N, 1015W,  20, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Fabio,
EP, 06, 2024080318,   , MIWU, 0, 131N, 1020W,  20, 1007, DB,
EP, 06, 2024080400,   , MIWU, 0, 131N, 1025W,  20, 1006, DB,
EP, 06, 2024080406,   , MIWU, 0, 130N, 1030W,  25, 1004, TD,
EP, 06, 2024080412,   , MIWU, 0, 130N, 1035W,  25, 1003, TD,
EP, 06, 2024080418,   , MIWU, 0, 130N, 1041W,  30, 1001, TD,
EP, 06, 2024080500,   , MIWU, 0, 132N, 1048W,  30, 1000, TD,
EP, 06, 2024080506,   , MIWU, 0, 135N, 1055W,  35,  998, TS,
EP, 06, 2024080512,   , MIWU, 0, 141N, 1062W,  35,  998, TS,
EP, 06, 2024080518,   , MIWU, 0, 149N, 1071W,  40,  996, TS,
EP, 06, 2024080600,   , MIWU, 0, 158N, 1080W,  50,  992, TS,
EP, 06, 2024080606,   , MIWU, 0, 168N, 1094W,  55,  990, TS,
EP, 06, 2024080612,   , MIWU, 0, 180N, 1110W,  60,  988, TS,
EP, 06, 2024080618,   , MIWU, 0, 189N, 1125W,  55,  990, TS,
EP, 06, 2024080700,   , MIWU, 0, 198N, 1145W,  50,  992, TS,
EP, 06, 2024080706,   , MIWU, 0, 206N, 1167W,  45,  994, TS,
EP, 06, 2024080712,   , MIWU, 0, 203N, 1189W,  40,  996, TS,
EP, 06, 2024080718,   , MIWU, 0, 196N, 1198W,  35,  998, LO,
EP, 06, 2024080800,   , MIWU, 0, 191N, 1193W,  25, 1002, LO,
EP, 06, 2024080806,   , MIWU, 0, 193N, 1190W,  15, 1006, LO,
