EP, 08, 2024082206,   , MIWU, 0, 140N, 1111W,  20, 1012, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Hector,
EP, 08, 2024082212,   , MIWU, 0, 137N, 1115W,  20, 1012, DB,
EP, 08, 2024082218,   , MIWU, 0, 136N, 1119W,  20, 1011, DB,
EP, 08, 2024082300,   , MIWU, 0, 137N, 1123W,  20, 1011, DB,
EP, 08, 2024082306,   , MIWU, 0, 139N, 1129W,  25, 1009, TD,
EP, 08, 2024082312,   , MIWU, 0, 142N, 1135W,  25, 1009, TD,
EP, 08, 2024082318,   , MIWU, 0, 146N, 1142W,  25, 1008, TD,
EP, 08, 2024082400,   , MIWU, 0, 150N, 1150W,  25, 1008, TD,
EP, 08, 2024082406,   , MIWU, 0, 154N, 1158W,  30, 1006, TD,
EP, 08, 2024082412,   , MIWU, 0, 157N, 1166W,  30, 1006, TD,
EP, 08, 2024082418,   , MIWU, 0, 158N, 1175W,  35, 1004, TS,
EP, 08, 2024082500,   , MIWU, 0, 158N, 1186W,  35, 1004, TS,
EP, 08, 2024082506,   , MIWU, 0, 157N, 1198W,  35, 1003, TS,
EP, 08, 2024082512,   , MIWU, 0, 155N, 1210W,  40, 1001, TS,
EP, 08, 2024082518,   , MIWU, 0, 154N, 1220W,  40, 1001, TS,
EP, 08, 2024082600,   , MIWU, 0, 156N, 1230W,  40, 1000, TS,
EP, 08, 2024082606,   , MIWU, 0, 158N, 1238W,  40, 1000, TS,
EP, 08, 2024082612,   , MIWU, 0, 161N, 1245W,  45,  998, TS,
EP, 08, 2024082618,   , MIWU, 0, 164N, 1252W,  50,  996, TS,
EP, 08, 2024082700,   , MIWU, 0, 168N, 1261W,  50,  995, TS,
EP, 08, 2024082706,   , MIWU, 0, 172N, 1271W,  45,  997, TS,
EP, 08, 2024082712,   , MIWU, 0, 175N, 1281W,  40,  999, TS,
EP, 08, 2024082718,   , MIWU, 0, 177N, 1292W,  45,  997, TS,
EP, 08, 2024082800,   , MIWU, 0, 178N, 1302W,  45,  996, TS,
EP, 08, 2024082806,   , MIWU, 0, 179N, 1312W,  40,  998, TS,
EP, 08, 2024082812,   , MIWU, 0, 179N, 1322W,  35, 1000, TS,
EP, 08, 2024082818,   , MIWU, 0, 177N, 1330W,  35, 1001, LO,
EP, 08, 2024082900,   , MIWU, 0, 174N, 1338W,  30, 1003, LO,
EP, 08, 2024082906,   , MIWU, 0, 171N, 1346W,  25, 1005, LO,
EP, 08, 2024082912,   , MIWU, 0, 170N, 1354W,  20, 1007, LO,
EP, 08, 2024082918,   , MIWU, 0, 170N, 1364W,  20, 1008, LO,
EP, 08, 2024083000,   , MIWU, 0, 171N, 1375W,  15, 1010, LO,
EP, 08, 2024083006,   , MIWU, 0, 172N, 1390W,  15, 1010, LO,
EP, 08, 2024083012,   , MIWU, 0, 172N, 1408W,  15, 1010, LO,
EP, 08, 2024083018,   , MIWU, 0, 171N, 1428W,  15, 1011, LO,
EP, 08, 2024083100,   , MIWU, 0, 168N, 1450W,  15, 1011, LO,
EP, 08, 2024083106,   , MIWU, 0, 164N, 1472W,  15, 1012, LO,
