EP, 09, 2024091112,   , MIWU, 0, 174N, 1068W,  20, 1012, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Ileana,
EP, 09, 2024091118,   , MIWU, 0, 175N, 1070W,  20, 1009, DB,
EP, 09, 2024091200,   , MIWU, 0, 177N, 1071W,  25, 1007, TD,
EP, 09, 2024091206,   , MIWU, 0, 180N, 1072W,  30, 1005, TD,
EP, 09, 2024091212,   , MIWU, 0, 185N, 1074W,  30, 1004, TD,
EP, 09, 2024091218,   , MIWU, 0, 195N, 1078W,  35, 1002, TS,
EP, 09, 2024091300,   , MIWU, 0, 205N, 1083W,  40, 1000, TS,
EP, 09, 2024091306,   , MIWU, 0, 214N, 1087W,  45,  998, TS,
EP, 09, 2024091312,   , MIWU, 0, 220N, 1090W,  45,  998, TS,
EP, 09, 2024091318,   , MIWU, 0, 226N, 1092W,  40, 1000, TS,
EP, 09, 2024091400,   , MIWU, 0, 234N, 1092W,  45,  998, TS,
EP, 09, 2024091406,   , MIWU, 0, 243N, 1090W,  45,  997, TS,
EP, 09, 2024091412,   , MIWU, 0, 249N, 1089W,  40,  999, TS,
EP, 09, 2024091418,   , MIWU, 0, 253N, 1089W,  40, 1000, TS,
EP, 09, 2024091500,   , MIWU, 0, 255N, 1091W,  35, 1002, TS,
EP, 09, 2024091506,   , MIWU, 0, 257N, 1094W,  30, 1004, TD,
EP, 09, 2024091512,   , MIWU, 0, 257N, 1098W,  25, 1006, LO,
EP, 09, 2024091518,   , MIWU, 0, 257N, 1100W,  25, 1007, LO,
EP, 09, 2024091600,   , MIWU, 0, 258N, 1101W,  20, 1009, LO,
EP, 09, 2024091606,   , MIWU, 0, 260N, 1103W,  15, 1011, LO,
EP, 09, 2024091612,   , MIWU, 0, 263N, 1107W,  15, 1012, LO,
