EP, 14, 2024110112,   , MIWU, 0, 115N, 1091W,  20, 1014, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Fourteen-E,
EP, 14, 2024110118,   , MIWU, 0, 116N, 1093W,  20, 1014, DB,
EP, 14, 2024110200,   , MIWU, 0, 117N, 1096W,  20, 1013, DB,
EP, 14, 2024110206,   , MIWU, 0, 117N, 1100W,  25, 1011, TD,
EP, 14, 2024110212,   , MIWU, 0, 117N, 1104W,  30, 1009, TD,
EP, 14, 2024110218,   , MIWU, 0, 116N, 1107W,  30, 1008, TD,
EP, 14, 2024110300,   , MIWU, 0, 115N, 1109W,  30, 1008, TD,
EP, 14, 2024110306,   , MIWU, 0, 114N, 1110W,  35, 1007, TS,
EP, 14, 2024110312,   , MIWU, 0, 113N, 1109W,  35, 1006, TS,
EP, 14, 2024110318,   , MIWU, 0, 112N, 1108W,  35, 1006, TS,
EP, 14, 2024110400,   , MIWU, 0, 111N, 1106W,  30, 1008, TD,
EP, 14, 2024110406,   , MIWU, 0, 110N, 1103W,  25, 1010, LO,
EP, 14, 2024110412,   , MIWU, 0, 109N, 1099W,  25, 1010, LO,
EP, 14, 2024110418,   , MIWU, 0, 109N, 1094W,  25, 1010, LO,
EP, 14, 2024110500,   , MIWU, 0, 110N, 1088W,  30, 1008, TD,
EP, 14, 2024110506,   , MIWU, 0, 113N, 1082W,  30, 1008, TD,
EP, 14, 2024110512,   , MIWU, 0, 117N, 1077W,  30, 1008, TD,
EP, 14, 2024110518,   , MIWU, 0, 122N, 1072W,  20, 1012, DB,
EP, 14, 2024110600,   , MIWU, 0, 126N, 1068W,  20, 1011, DB,
EP, 14, 2024110606,   , MIWU, 0, 129N, 1064W,  25, 1009, TD,
EP, 14, 2024110612,   , MIWU, 0, 132N, 1060W,  25, 1008, TD,
EP, 14, 2024110618,   , MIWU, 0, 135N, 1055W,  20, 1010, DB,
EP, 14, 2024110700,   , MIWU, 0, 136N, 1050W,  20, 1011, DB,
EP, 14, 2024110706,   , MIWU, 0, 134N, 1046W,  20, 1011, DB,
EP, 14, 2024110712,   , MIWU, 0, 130N, 1042W,  15, 1013, DB,
EP, 14, 2024110718,   , MIWU, 0, 126N, 1037W,  15, 1014, DB,
