IO, 01, 2024052300,   , MIWU, 0, 130N,  870E,  20, 1005, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Remal,
IO, 01, 2024052306,   , MIWU, 0, 134N,  873E,  20, 1005, DB,
IO, 01, 2024052312,   , MIWU, 0, 137N,  878E,  20, 1004, DB,
IO, 01, 2024052318,   , MIWU, 0, 141N,  884E,  20, 1004, DB,
IO, 01, 2024052400,   , MIWU, 0, 148N,  889E,  20, 1004, DB,
IO, 01, 2024052406,   , MIWU, 0, 157N,  893E,  25, 1002, TD,
IO, 01, 2024052412,   , MIWU, 0, 165N,  896E,  25, 1001, TD,
IO, 01, 2024052418,   , MIWU, 0, 170N,  897E,  30,  999, TD,
IO, 01, 2024052500,   , MIWU, 0, 174N,  896E,  30,  998, TD,
IO, 01, 2024052506,   , MIWU, 0, 178N,  894E,  35,  995, TS,
IO, 01, 2024052512,   , MIWU, 0, 183N,  893E,  40,  992, TS,
IO, 01, 2024052518,   , MIWU, 0, 189N,  894E,  45,  988, TS,
IO, 01, 2024052600,   , MIWU, 0, 195N,  892E,  50,  984, TS,
IO, 01, 2024052606,   , MIWU, 0, 203N,  890E,  55,  980, TS,
IO, 01, 2024052612,   , MIWU, 0, 210N,  890E,  60,  976, TS,
IO, 01, 2024052615,   , MIWU, 0, 214N,  889E,  65,  972, TY,
IO, 01, 2024052618,   , MIWU, 0, 218N,  887E,  65,  974, TY,
IO, 01, 2024052700,   , MIWU, 0, 224N,  889E,  55,  981, TS,
IO, 01, 2024052706,   , MIWU, 0, 228N,  893E,  45,  987, TS,
IO, 01, 2024052712,   , MIWU, 0, 232N,  898E,  40,  990, TS,
IO, 01, 2024052718,   , MIWU, 0, 237N,  905E,  35,  993, TS,
IO, 01, 2024052800,   , MIWU, 0, 244N,  913E,  30,  996, TD,
IO, 01, 2024052806,   , MIWU, 0, 252N,  924E,  25,  998, TD,
IO, 01, 2024052812,   , MIWU, 0, 260N,  938E,  20, 1000, DB,
IO, 01, 2024052818,   , MIWU, 0, 270N,  954E,  15, 1002, DB,
