IO, 02, 2024082518,   , MIWU, 0, 235N,  747E,  20, 1004, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Asna,
IO, 02, 2024082600,   , MIWU, 0, 234N,  742E,  20, 1004, DB,
IO, 02, 2024082606,   , MIWU, 0, 234N,  738E,  20, 1003, DB,
IO, 02, 2024082612,   , MIWU, 0, 233N,  734E,  20, 1003, DB,
IO, 02, 2024082618,   , MIWU, 0, 232N,  729E,  25, 1001, TD,
IO, 02, 2024082700,   , MIWU, 0, 232N,  722E,  25, 1001, TD,
IO, 02, 2024082706,   , MIWU, 0, 234N,  714E,  25, 1001, TD,
IO, 02, 2024082712,   , MIWU, 0, 236N,  708E,  25, 1000, TD,
IO, 02, 2024082718,   , MIWU, 0, 237N,  704E,  25, 1000, TD,
IO, 02, 2024082800,   , MIWU, 0, 237N,  702E,  25, 1000, TD,
IO, 02, 2024082806,   , MIWU, 0, 236N,  701E,  30,  998, TD,
IO, 02, 2024082812,   , MIWU, 0, 235N,  701E,  30,  998, TD,
IO, 02, 2024082818,   , MIWU, 0, 235N,  700E,  30,  997, TD,
IO, 02, 2024082900,   , MIWU, 0, 236N,  699E,  35,  995, TS,
IO, 02, 2024082906,   , MIWU, 0, 236N,  697E,  35,  994, TS,
IO, 02, 2024082912,   , MIWU, 0, 236N,  694E,  40,  992, TS,
IO, 02, 2024082918,   , MIWU, 0, 235N,  690E,  45,  990, TS,
IO, 02, 2024083000,   , MIWU, 0, 234N,  685E,  45,  991, TS,
IO, 02, 2024083006,   , MIWU, 0, 233N,  680E,  40,  993, TS,
IO, 02, 2024083012,   , MIWU, 0, 233N,  674E,  40,  994, TS,
IO, 02, 2024083018,   , MIWU, 0, 234N,  667E,  35,  996, TS,
IO, 02, 2024083100,   , MIWU, 0, 235N,  657E,  35,  995, TS,
IO, 02, 2024083106,   , MIWU, 0, 236N,  648E,  40,  993, TS,
IO, 02, 2024083112,   , MIWU, 0, 236N,  638E,  45,  991, TS,
IO, 02, 2024083118,   , MIWU, 0, 234N,  631E,  45,  990, TS,
IO, 02, 2024090100,   , MIWU, 0, 231N,  625E,  40,  992, TS,
IO, 02, 2024090106,   , MIWU, 0, 226N,  620E,  35,  994, TS,
IO, 02, 2024090112,   , MIWU, 0, 220N,  616E,  30,  996, TD,
IO, 02, 2024090118,   , MIWU, 0, 215N,  613E,  30,  997, TD,
IO, 02, 2024090200,   , MIWU, 0, 210N,  611E,  30,  997, TD,
IO, 02, 2024090206,   , MIWU, 0, 205N,  610E,  25,  999, TD,
IO, 02, 2024090212,   , MIWU, 0, 200N,  609E,  25, 1000, TD,
IO, 02, 2024090218,   , MIWU, 0, 196N,  608E,  20, 1002, DB,
IO, 02, 2024090300,   , MIWU, 0, 194N,  606E,  20, 1003, DB,
IO, 02, 2024090306,   , MIWU, 0, 194N,  603E,  20, 1003, DB,
IO, 02, 2024090312,   , MIWU, 0, 196N,  599E,  15, 1005, DB,
IO, 02, 2024090318,   , MIWU, 0, 199N,  593E,  15, 1006, DB,
IO, 02, 2024090400,   , MIWU, 0, 202N,  585E,  15, 1006, DB,
