IO, 04, 2024112418,   , MIWU, 0,  35N,  840E,  20, 1008, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Fengal,
IO, 04, 2024112500,   , MIWU, 0,  40N,  837E,  20, 1008, DB,
IO, 04, 2024112506,   , MIWU, 0,  46N,  834E,  20, 1007, DB,
IO, 04, 2024112512,   , MIWU, 0,  52N,  832E,  20, 1007, DB,
IO, 04, 2024112518,   , MIWU, 0,  57N,  830E,  25, 1005, TD,
IO, 04, 2024112600,   , MIWU, 0,  63N,  828E,  30, 1003, TD,
IO, 04, 2024112606,   , MIWU, 0,  70N,  827E,  35, 1001, TS,
IO, 04, 2024112612,   , MIWU, 0,  76N,  826E,  35, 1000, TS,
IO, 04, 2024112618,   , MIWU, 0,  80N,  825E,  35, 1000, TS,
IO, 04, 2024112700,   , MIWU, 0,  84N,  825E,  40,  998, TS,
IO, 04, 2024112706,   , MIWU, 0,  87N,  825E,  40,  997, TS,
IO, 04, 2024112712,   , MIWU, 0,  89N,  827E,  40,  997, TS,
IO, 04, 2024112718,   , MIWU, 0,  90N,  831E,  35,  999, TS,
IO, 04, 2024112800,   , MIWU, 0,  92N,  835E,  30, 1001, TD,
IO, 04, 2024112806,   , MIWU, 0,  94N,  840E,  30, 1001, TD,
IO, 04, 2024112812,   , MIWU, 0,  99N,  843E,  30, 1000, TD,
IO, 04, 2024112818,   , MIWU, 0, 104N,  842E,  35,  998, TS,
IO, 04, 2024112900,   , MIWU, 0, 110N,  839E,  40,  995, TS,
IO, 04, 2024112906,   , MIWU, 0, 117N,  834E,  45,  992, TS,
IO, 04, 2024112912,   , MIWU, 0, 121N,  828E,  50,  989, TS,
IO, 04, 2024112918,   , MIWU, 0, 124N,  823E,  55,  986, TS,
IO, 04, 2024113000,   , MIWU, 0, 126N,  817E,  55,  985, TS,
IO, 04, 2024113006,   , MIWU, 0, 126N,  811E,  50,  987, TS,
IO, 04, 2024113012,   , MIWU, 0, 124N,  805E,  45,  990, TS,
IO, 04, 2024113018,   , MIWU, 0, 122N,  801E,  40,  993, TS,
IO, 04, 2024120100,   , MIWU, 0, 121N,  798E,  35,  996, TS,
IO, 04, 2024120106,   , MIWU, 0, 121N,  795E,  30,  998, TD,
IO, 04, 2024120112,   , MIWU, 0, 123N,  791E,  25, 1000, TD,
IO, 04, 2024120118,   , MIWU, 0, 126N,  787E,  25, 1000, TD,
IO, 04, 2024120200,   , MIWU, 0, 129N,  782E,  25, 1001, TD,
IO, 04, 2024120206,   , MIWU, 0, 131N,  777E,  20, 1003, DB,
IO, 04, 2024120212,   , MIWU, 0, 132N,  771E,  20, 1004, DB,
IO, 04, 2024120218,   , MIWU, 0, 133N,  762E,  25, 1002, TD,
IO, 04, 2024120300,   , MIWU, 0, 134N,  751E,  30, 1000, TD,
IO, 04, 2024120306,   , MIWU, 0, 135N,  739E,  30, 1000, TD,
IO, 04, 2024120312,   , MIWU, 0, 134N,  728E,  20, 1004, DB,
IO, 04, 2024120318,   , MIWU, 0, 131N,  718E,  20, 1005, DB,
IO, 04, 2024120400,   , MIWU, 0, 128N,  708E,  20, 1005, DB,
IO, 04, 2024120406,   , MIWU, 0, 124N,  700E,  15, 1007, DB,
IO, 04, 2024120412,   , MIWU, 0, 122N,  690E,  15, 1008, DB,
IO, 04, 2024120418,   , MIWU, 0, 121N,  678E,  15, 1008, DB,
