SH, 03, 2023120300,   , MIWU, 0,  75S, 1624E,  20, 1004, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Jasper,
SH, 03, 2023120306,   , MIWU, 0,  75S, 1614E,  20, 1004, DB,
SH, 03, 2023120312,   , MIWU, 0,  76S, 1605E,  20, 1003, DB,
SH, 03, 2023120318,   , MIWU, 0,  79S, 1597E,  25, 1001, TD,
SH, 03, 2023120400,   , MIWU, 0,  83S, 1590E,  25, 1001, TD,
SH, 03, 2023120406,   , MIWU, 0,  87S, 1585E,  25, 1000, TD,
SH, 03, 2023120412,   , MIWU, 0,  90S, 1579E,  30,  998, TD,
SH, 03, 2023120418,   , MIWU, 0,  91S, 1574E,  30,  997, TD,
SH, 03, 2023120500,   , MIWU, 0,  91S, 1570E,  35,  995, TS,
SH, 03, 2023120506,   , MIWU, 0,  92S, 1567E,  40,  993, TS,
SH, 03, 2023120512,   , MIWU, 0,  95S, 1565E,  45,  990, TS,
SH, 03, 2023120518,   , MIWU, 0,  99S, 1567E,  50,  987, TS,
SH, 03, 2023120600,   , MIWU, 0, 105S, 1571E,  55,  984, TS,
SH, 03, 2023120606,   , MIWU, 0, 111S, 1572E,  60,  981, TS,
SH, 03, 2023120612,   , MIWU, 0, 116S, 1572E,  65,  978, TY,
SH, 03, 2023120618,   , MIWU, 0, 120S, 1571E,  70,  974, TY,
SH, 03, 2023120700,   , MIWU, 0, 123S, 1571E,  75,  970, TY,
SH, 03, 2023120706,   , MIWU, 0, 127S, 1570E,  80,  966, TY,
SH, 03, 2023120712,   , MIWU, 0, 133S, 1567E,  90,  958, TY,
SH, 03, 2023120718,   , MIWU, 0, 138S, 1565E, 100,  950, TY,
SH, 03, 2023120800,   , MIWU, 0, 143S, 1564E, 110,  942, TY,
SH, 03, 2023120802,   , MIWU, 0, 145S, 1563E, 120,  934, TY,
SH, 03, 2023120806,   , MIWU, 0, 147S, 1563E, 115,  936, TY,
SH, 03, 2023120812,   , MIWU, 0, 150S, 1564E, 105,  942, TY,
SH, 03, 2023120818,   , MIWU, 0, 153S, 1563E,  90,  951, TY,
SH, 03, 2023120900,   , MIWU, 0, 155S, 1561E,  75,  960, TY,
SH, 03, 2023120906,   , MIWU, 0, 157S, 1559E,  60,  972, TS,
SH, 03, 2023120912,   , MIWU, 0, 158S, 1556E,  60,  974, TS,
SH, 03, 2023120918,   , MIWU, 0, 160S, 1551E,  55,  978, TS,
SH, 03, 2023121000,   , MIWU, 0, 163S, 1544E,  50,  982, TS,
SH, 03, 2023121006,   , MIWU, 0, 166S, 1534E,  45,  986, TS,
SH, 03, 2023121012,   , MIWU, 0, 171S, 1525E,  45,  988, TS,
SH, 03, 2023121018,   , MIWU, 0, 176S, 1515E,  40,  992, TS,
SH, 03, 2023121100,   , MIWU, 0, 178S, 1504E,  40,  994, TS,
SH, 03, 2023121106,   , MIWU, 0, 177S, 1495E,  40,  994, TS,
SH, 03, 2023121112,   , MIWU, 0, 173S, 1491E,  45,  992, TS,
SH, 03, 2023121118,   , MIWU, 0, 167S, 1487E,  50,  990, TS,
SH, 03, 2023121200,   , MIWU, 0, 162S, 1483E,  55,  988, TS,
SH, 03, 2023121206,   , MIWU, 0, 158S, 1478E,  50,  990, TS,
SH, 03, 2023121212,   , MIWU, 0, 155S, 1474E,  50,  991, TS,
SH, 03, 2023121218,   , MIWU, 0, 155S, 1470E,  50,  991, TS,
SH, 03, 2023121300,   , MIWU, 0, 155S, 1465E,  60,  986, TS,
SH, 03, 2023121306,   , MIWU, 0, 156S, 1458E,  70,  980, TY,
SH, 03, 2023121312,   , MIWU, 0, 157S, 1450E,  65,  982, TY,
SH, 03, 2023121318,   , MIWU, 0, 159S, 1444E,  50,  990, TS,
SH, 03, 2023121400,   , MIWU, 0, 161S, 1440E,  40,  996, TS,
SH, 03, 2023121406,   , MIWU, 0, 163S, 1439E,  30, 1002, TD,
SH, 03, 2023121412,   , MIWU, 0, 163S, 1438E,  30, 1003, TD,
SH, 03, 2023121418,   , MIWU, 0, 162S, 1435E,  25, 1005, TD,
SH, 03, 2023121500,   , MIWU, 0, 160S, 1431E,  25, 1005, TD,
SH, 03, 2023121506,   , MIWU, 0, 158S, 1427E,  25, 1005, TD,
SH, 03, 2023121512,   , MIWU, 0, 158S, 1423E,  25, 1004, TD,
SH, 03, 2023121518,   , MIWU, 0, 159S, 1420E,  25, 1004, TD,
SH, 03, 2023121600,   , MIWU, 0, 159S, 1417E,  25, 1004, TD,
SH, 03, 2023121606,   , MIWU, 0, 158S, 1414E,  25, 1004, TD,
SH, 03, 2023121612,   , MIWU, 0, 157S, 1412E,  25, 1004, TD,
SH, 03, 2023121618,   , MIWU, 0, 158S, 1412E,  30, 1002, TD,
SH, 03, 2023121700,   , MIWU, 0, 160S, 1414E,  25, 1004, TD,
SH, 03, 2023121706,   , MIWU, 0, 161S, 1417E,  20, 1006, DB,
SH, 03, 2023121712,   , MIWU, 0, 160S, 1420E,  20, 1007, DB,
SH, 03, 2023121718,   , MIWU, 0, 159S, 1424E,  20, 1007, DB,
SH, 03, 2023121800,   , MIWU, 0, 158S, 1430E,  20, 1007, DB,
SH, 03, 2023121806,   , MIWU, 0, 159S, 1435E,  15, 1009, DB,
SH, 03, 2023121812,   , MIWU, 0, 160S, 1438E,  15, 1010, DB,
