SH, 09, 2024012900,   , MIWU, 0, 150S,  646E,  20, 1007, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Nine-S,
SH, 09, 2024012906,   , MIWU, 0, 154S,  645E,  20, 1007, DB,
SH, 09, 2024012912,   , MIWU, 0, 160S,  644E,  20, 1006, DB,
SH, 09, 2024012918,   , MIWU, 0, 167S,  643E,  25, 1004, TD,
SH, 09, 2024013000,   , MIWU, 0, 175S,  643E,  30, 1002, TD,
SH, 09, 2024013006,   , MIWU, 0, 182S,  643E,  30, 1001, TD,
SH, 09, 2024013012,   , MIWU, 0, 188S,  645E,  35,  999, TS,
SH, 09, 2024013018,   , MIWU, 0, 192S,  649E,  40,  997, TS,
SH, 09, 2024013100,   , MIWU, 0, 196S,  654E,  40,  996, TS,
SH, 09, 2024013106,   , MIWU, 0, 198S,  658E,  35,  998, TS,
SH, 09, 2024013112,   , MIWU, 0, 199S,  660E,  35,  999, TS,
SH, 09, 2024013118,   , MIWU, 0, 198S,  663E,  40,  996, TS,
SH, 09, 2024020100,   , MIWU, 0, 195S,  663E,  40,  995, TS,
SH, 09, 2024020106,   , MIWU, 0, 191S,  661E,  30,  999, TD,
SH, 09, 2024020112,   , MIWU, 0, 186S,  662E,  30,  998, TD,
SH, 09, 2024020118,   , MIWU, 0, 185S,  667E,  35,  996, TS,
SH, 09, 2024020200,   , MIWU, 0, 190S,  678E,  35,  996, TS,
SH, 09, 2024020206,   , MIWU, 0, 200S,  690E,  35,  997, LO,
SH, 09, 2024020212,   , MIWU, 0, 210S,  705E,  30,  999, LO,
SH, 09, 2024020218,   , MIWU, 0, 220S,  719E,  30, 1000, LO,
SH, 09, 2024020300,   , MIWU, 0, 233S,  730E,  25, 1002, LO,
SH, 09, 2024020306,   , MIWU, 0, 250S,  740E,  20, 1004, LO,
