SH, 13, 2024021312,   , MIWU, 0, 138S,  657E,  20, 1005, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Djoungou,
SH, 13, 2024021318,   , MIWU, 0, 139S,  654E,  20, 1005, DB,
SH, 13, 2024021400,   , MIWU, 0, 142S,  652E,  20, 1004, DB,
SH, 13, 2024021406,   , MIWU, 0, 146S,  650E,  20, 1004, DB,
SH, 13, 2024021412,   , MIWU, 0, 150S,  650E,  25, 1002, TD,
SH, 13, 2024021418,   , MIWU, 0, 153S,  650E,  25, 1001, TD,
SH, 13, 2024021500,   , MIWU, 0, 155S,  650E,  30,  999, TD,
SH, 13, 2024021506,   , MIWU, 0, 156S,  651E,  35,  997, TS,
SH, 13, 2024021512,   , MIWU, 0, 157S,  652E,  40,  994, TS,
SH, 13, 2024021518,   , MIWU, 0, 158S,  653E,  40,  993, TS,
SH, 13, 2024021600,   , MIWU, 0, 159S,  655E,  45,  990, TS,
SH, 13, 2024021606,   , MIWU, 0, 160S,  658E,  50,  987, TS,
SH, 13, 2024021612,   , MIWU, 0, 161S,  662E,  55,  984, TS,
SH, 13, 2024021618,   , MIWU, 0, 161S,  667E,  60,  980, TS,
SH, 13, 2024021700,   , MIWU, 0, 160S,  675E,  65,  976, TY,
SH, 13, 2024021706,   , MIWU, 0, 161S,  687E,  75,  968, TY,
SH, 13, 2024021712,   , MIWU, 0, 164S,  702E,  85,  960, TY,
SH, 13, 2024021718,   , MIWU, 0, 168S,  720E,  95,  952, TY,
SH, 13, 2024021800,   , MIWU, 0, 175S,  742E, 110,  940, TY,
SH, 13, 2024021806,   , MIWU, 0, 185S,  763E, 130,  920, ST,
SH, 13, 2024021809,   , MIWU, 0, 193S,  774E, 135,  915, ST,
SH, 13, 2024021812,   , MIWU, 0, 200S,  786E, 135,  916, ST,
SH, 13, 2024021818,   , MIWU, 0, 217S,  811E, 120,  926, TY,
SH, 13, 2024021900,   , MIWU, 0, 234S,  834E, 105,  938, TY,
SH, 13, 2024021906,   , MIWU, 0, 253S,  856E,  90,  950, TY,
SH, 13, 2024021912,   , MIWU, 0, 271S,  883E,  75,  962, TY,
SH, 13, 2024021918,   , MIWU, 0, 290S,  918E,  65,  970, EX,
SH, 13, 2024022000,   , MIWU, 0, 310S,  961E,  50,  982, EX,
SH, 13, 2024022006,   , MIWU, 0, 330S, 1008E,  40,  990, EX,
SH, 13, 2024022012,   , MIWU, 0, 345S, 1065E,  30,  996, EX,
SH, 13, 2024022018,   , MIWU, 0, 360S, 1135E,  20, 1000, EX,
